NB_recommended_files,Best_solution,Recommended_files,Co_modified_files,Commits_hash,PRECISION,RECALL,FSCORE,SUCCESS_RATE,MRR
[7],"[[65, 42, 43, 76, 75, 49, 115, 27, 60, 62]]","[['algo/roles/common/tasks/unattended-upgrades.yml_(IaC)_', 'algo/roles/strongswan/handlers/main.yml_(IaC)_', 'algo/roles/ssh_tunneling/tasks/main.yml_(IaC)_', 'algo/roles/common/handlers/main.yml_(IaC)_', 'algo/roles/common/templates/rules.v4.j2_(Other)_', 'algo/roles/cloud-gce/tasks/main.yml_(IaC)_', 'algo/roles/client/tasks/systems/CentOS.yml_(IaC)_', 'algo/roles/strongswan/tasks/openssl.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_', 'algo/roles/common/tasks/freebsd.yml_(IaC)_']]","[['algo/Vagrantfile_(Other)_', 'algo/config.cfg_(Other)_', 'algo/library/cloudstack_zones.py_(Other)_', 'algo/main.yml_(Other)_', 'algo/playbooks/cloud-pre.yml_(IaC)_', 'algo/roles/cloud-azure/tasks/venv.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-openstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-scaleway/tasks/main.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_']]",['4e739b518f1f9f1ff564f2db4ca39b6fd600d6b8'],[0.0],[0.0],[0],[0],[0]
[7],"[[4, 136, 43, 76, 47, 112, 50, 116, 123, 92, 29, 30]]","[['algo/users.yml_(Other)_', 'algo/playbooks/rescue.yml_(IaC)_', 'algo/roles/ssh_tunneling/tasks/main.yml_(IaC)_', 'algo/roles/common/handlers/main.yml_(IaC)_', 'algo/roles/cloud-gce/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-digitalocean/tasks/main.yml_(IaC)_', 'algo/roles/cloud-linode/tasks/prompts.yml_(IaC)_', 'algo/roles/client/tasks/systems/Ubuntu.yml_(IaC)_', 'algo/roles/cloud-azure/tasks/main.yml_(IaC)_', 'algo/roles/wireguard/tasks/keys.yml_(IaC)_', 'algo/roles/strongswan/tasks/distribute_keys.yml_(IaC)_', 'algo/roles/strongswan/tasks/main.yml_(IaC)_']]","[['algo/Vagrantfile_(Other)_', 'algo/config.cfg_(Other)_', 'algo/library/cloudstack_zones.py_(Other)_', 'algo/main.yml_(Other)_', 'algo/playbooks/cloud-pre.yml_(IaC)_', 'algo/roles/cloud-azure/tasks/venv.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-openstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-scaleway/tasks/main.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_']]",['4e739b518f1f9f1ff564f2db4ca39b6fd600d6b8'],[0.0],[0.0],[0],[0],[0]
[7],"[[4, 43, 77, 110, 80, 16, 113, 84, 53, 92]]","[['algo/users.yml_(Other)_', 'algo/roles/ssh_tunneling/tasks/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/cloudformation.yml_(IaC)_', 'algo/roles/dns/handlers/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/tests/cloud-init.sh_(Other)_', 'algo/roles/client/tasks/main.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/venv.yml_(IaC)_', 'algo/roles/cloud-linode/defaults/main.yml_(Other)_', 'algo/roles/wireguard/tasks/keys.yml_(IaC)_']]","[['algo/Vagrantfile_(Other)_', 'algo/config.cfg_(Other)_', 'algo/library/cloudstack_zones.py_(Other)_', 'algo/main.yml_(Other)_', 'algo/playbooks/cloud-pre.yml_(IaC)_', 'algo/roles/cloud-azure/tasks/venv.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-openstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-scaleway/tasks/main.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_']]",['4e739b518f1f9f1ff564f2db4ca39b6fd600d6b8'],[0.14285714285714285],[0.07692307692307693],[0.1],[1],[0.2]
[7],"[[76, 141, 80, 62, 22, 86, 87, 57, 122, 60, 94]]","[['algo/roles/common/handlers/main.yml_(IaC)_', 'algo/playbooks/tmpfs/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/roles/common/tasks/freebsd.yml_(IaC)_', 'algo/roles/cloud-lightsail/tasks/venv.yml_(IaC)_', 'algo/roles/cloud-hetzner/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-hetzner/tasks/venv.yml_(IaC)_', 'algo/roles/cloud-vultr/tasks/main.yml_(IaC)_', 'algo/roles/cloud-azure/tasks/venv.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_', 'algo/roles/wireguard/defaults/main.yml_(Other)_']]","[['algo/Vagrantfile_(Other)_', 'algo/config.cfg_(Other)_', 'algo/library/cloudstack_zones.py_(Other)_', 'algo/main.yml_(Other)_', 'algo/playbooks/cloud-pre.yml_(IaC)_', 'algo/roles/cloud-azure/tasks/venv.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-openstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-scaleway/tasks/main.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_']]",['4e739b518f1f9f1ff564f2db4ca39b6fd600d6b8'],[0.14285714285714285],[0.07692307692307693],[0.1],[1],[0.3333333333333333]
[7],"[[4, 123, 75, 76, 60, 79, 112, 116, 120, 59, 28, 126]]","[['algo/users.yml_(Other)_', 'algo/roles/cloud-azure/tasks/main.yml_(IaC)_', 'algo/roles/common/templates/rules.v4.j2_(Other)_', 'algo/roles/common/handlers/main.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/venv.yml_(IaC)_', 'algo/roles/cloud-digitalocean/tasks/main.yml_(IaC)_', 'algo/roles/client/tasks/systems/Ubuntu.yml_(IaC)_', 'algo/roles/client/handlers/main.yml_(IaC)_', 'algo/roles/local/tasks/main.yml_(IaC)_', 'algo/roles/strongswan/tasks/ipsec_configuration.yml_(IaC)_', 'algo/roles/cloud-scaleway/tasks/prompts.yml_(IaC)_']]","[['algo/Vagrantfile_(Other)_', 'algo/config.cfg_(Other)_', 'algo/library/cloudstack_zones.py_(Other)_', 'algo/main.yml_(Other)_', 'algo/playbooks/cloud-pre.yml_(IaC)_', 'algo/roles/cloud-azure/tasks/venv.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-openstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-scaleway/tasks/main.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_']]",['4e739b518f1f9f1ff564f2db4ca39b6fd600d6b8'],[0.14285714285714285],[0.07692307692307693],[0.1],[1],[0.2]
[7],"[[43, 76, 112, 80, 18, 53, 25, 60, 93, 62, 95]]","[['algo/roles/ssh_tunneling/tasks/main.yml_(IaC)_', 'algo/roles/common/handlers/main.yml_(IaC)_', 'algo/roles/cloud-digitalocean/tasks/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/tests/ipsec-client.sh_(Other)_', 'algo/roles/cloud-linode/defaults/main.yml_(Other)_', 'algo/roles/strongswan/tasks/client_configs.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_', 'algo/roles/wireguard/tasks/main.yml_(IaC)_', 'algo/roles/common/tasks/freebsd.yml_(IaC)_', 'algo/roles/wireguard/files/wireguard.sh_(Other)_']]","[['algo/Vagrantfile_(Other)_', 'algo/config.cfg_(Other)_', 'algo/library/cloudstack_zones.py_(Other)_', 'algo/main.yml_(Other)_', 'algo/playbooks/cloud-pre.yml_(IaC)_', 'algo/roles/cloud-azure/tasks/venv.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-openstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-scaleway/tasks/main.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_']]",['4e739b518f1f9f1ff564f2db4ca39b6fd600d6b8'],[0.14285714285714285],[0.07692307692307693],[0.1],[1],[0.25]
[7],"[[65, 66, 80, 50, 52, 23, 62, 123, 60, 29, 126]]","[['algo/roles/common/tasks/unattended-upgrades.yml_(IaC)_', 'algo/roles/common/tasks/aip/placeholder.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/roles/cloud-linode/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-linode/tasks/main.yml_(IaC)_', 'algo/roles/cloud-lightsail/tasks/main.yml_(IaC)_', 'algo/roles/common/tasks/freebsd.yml_(IaC)_', 'algo/roles/cloud-azure/tasks/main.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_', 'algo/roles/strongswan/tasks/distribute_keys.yml_(IaC)_', 'algo/roles/cloud-scaleway/tasks/prompts.yml_(IaC)_']]","[['algo/Vagrantfile_(Other)_', 'algo/config.cfg_(Other)_', 'algo/library/cloudstack_zones.py_(Other)_', 'algo/main.yml_(Other)_', 'algo/playbooks/cloud-pre.yml_(IaC)_', 'algo/roles/cloud-azure/tasks/venv.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-openstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-scaleway/tasks/main.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_']]",['4e739b518f1f9f1ff564f2db4ca39b6fd600d6b8'],[0.14285714285714285],[0.07692307692307693],[0.1],[1],[0.3333333333333333]
[7],"[[90, 104, 59, 113, 55, 89, 58, 27, 60, 57]]","[['algo/roles/wireguard/tasks/mobileconfig.yml_(IaC)_', 'algo/roles/dns/tasks/main.yml_(IaC)_', 'algo/roles/local/tasks/main.yml_(IaC)_', 'algo/roles/client/tasks/main.yml_(IaC)_', 'algo/roles/cloud-openstack/tasks/main.yml_(IaC)_', 'algo/roles/wireguard/tasks/ubuntu.yml_(IaC)_', 'algo/roles/local/tasks/prompts.yml_(IaC)_', 'algo/roles/strongswan/tasks/openssl.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_', 'algo/roles/cloud-vultr/tasks/main.yml_(IaC)_']]","[['algo/Vagrantfile_(Other)_', 'algo/config.cfg_(Other)_', 'algo/library/cloudstack_zones.py_(Other)_', 'algo/main.yml_(Other)_', 'algo/playbooks/cloud-pre.yml_(IaC)_', 'algo/roles/cloud-azure/tasks/venv.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-openstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-scaleway/tasks/main.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_']]",['4e739b518f1f9f1ff564f2db4ca39b6fd600d6b8'],[0.14285714285714285],[0.07692307692307693],[0.1],[1],[0.2]
[7],"[[66, 7, 43, 80, 112, 82, 49, 57, 90, 124, 62]]","[['algo/roles/common/tasks/aip/placeholder.yml_(IaC)_', 'algo/config.cfg_(Other)_', 'algo/roles/ssh_tunneling/tasks/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/roles/cloud-digitalocean/tasks/main.yml_(IaC)_', 'algo/roles/cloud-ec2/files/stack.yaml_(Other)_', 'algo/roles/cloud-gce/tasks/main.yml_(IaC)_', 'algo/roles/cloud-vultr/tasks/main.yml_(IaC)_', 'algo/roles/wireguard/tasks/mobileconfig.yml_(IaC)_', 'algo/roles/cloud-azure/defaults/main.yml_(Other)_', 'algo/roles/common/tasks/freebsd.yml_(IaC)_']]","[['algo/Vagrantfile_(Other)_', 'algo/config.cfg_(Other)_', 'algo/library/cloudstack_zones.py_(Other)_', 'algo/main.yml_(Other)_', 'algo/playbooks/cloud-pre.yml_(IaC)_', 'algo/roles/cloud-azure/tasks/venv.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-openstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-scaleway/tasks/main.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_']]",['4e739b518f1f9f1ff564f2db4ca39b6fd600d6b8'],[0.2857142857142857],[0.15384615384615385],[0.2],[1],[0.5]
[7],"[[59, 76, 46, 60, 113, 146, 52, 27, 92, 29]]","[['algo/roles/local/tasks/main.yml_(IaC)_', 'algo/roles/common/handlers/main.yml_(IaC)_', 'algo/roles/ssh_tunneling/handlers/main.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_', 'algo/roles/client/tasks/main.yml_(IaC)_', 'algo/files/cloud-init/base.yml_(Other)_', 'algo/roles/cloud-linode/tasks/main.yml_(IaC)_', 'algo/roles/strongswan/tasks/openssl.yml_(IaC)_', 'algo/roles/wireguard/tasks/keys.yml_(IaC)_', 'algo/roles/strongswan/tasks/distribute_keys.yml_(IaC)_']]","[['algo/Vagrantfile_(Other)_', 'algo/config.cfg_(Other)_', 'algo/library/cloudstack_zones.py_(Other)_', 'algo/main.yml_(Other)_', 'algo/playbooks/cloud-pre.yml_(IaC)_', 'algo/roles/cloud-azure/tasks/venv.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-cloudstack/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/main.yml_(IaC)_', 'algo/roles/cloud-ec2/tasks/prompts.yml_(IaC)_', 'algo/roles/cloud-openstack/tasks/main.yml_(IaC)_', 'algo/roles/cloud-scaleway/tasks/main.yml_(IaC)_', 'algo/roles/common/tasks/ubuntu.yml_(IaC)_']]",['4e739b518f1f9f1ff564f2db4ca39b6fd600d6b8'],[0.14285714285714285],[0.07692307692307693],[0.1],[1],[0.25]
