NB_recommended_files,Best_solution,Recommended_files,Co_modified_files,Commits_hash,PRECISION,RECALL,FSCORE,SUCCESS_RATE,MRR
[7],"[[227, 213, 91, 345, 71, 83, 298, 45, 9, 58]]","[['attack_range/packer/ansible/roles/windows_dns_server/tasks/main.yaml_(IaC)_', 'attack_range/packer/ansible/roles/nginx_web_proxy/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/update_sysmon_config/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/sysmon_linux/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_byo_linux/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/phantom_server_configure.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_common/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/linux_server_post/tasks/main.yml_(IaC)_', 'attack_range/terraform/azure/modules/phantom-server/resources.tf_(Other)_', 'attack_range/terraform/ansible/roles/guacamole/tasks/guacamole_server_post.yml_(IaC)_']]","[['attack_range/attack_range.yml_(Other)_', 'attack_range/configs/attack_range_default.yml_(Other)_', 'attack_range/packer/ansible/roles/guacamole/tasks/setup_tomcat.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/install_app_from_s3.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_universal_forwarder/files/aurora_agent_inputs.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/docker.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/mltk.local.meta_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/handlers/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_botsv3_dataset.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_dltk.yml_(IaC)_']]",['c396070aaf2f130a7290b887f197912f6f409e52'],[0.0],[0.0],[0],[0],[0]
[7],"[[44, 102, 285, 107, 52, 71, 109, 265, 30, 371]]","[['attack_range/terraform/ansible/roles/linux_server_post/tasks/change_splunk_password.yml_(IaC)_', 'attack_range/terraform/ansible/roles/prelude/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_domain_client/tasks/main.yaml_(IaC)_', 'attack_range/terraform/ansible/roles/windows_agent_prelude/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/linux_agent_prelude/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_byo_linux/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/update_sysmon_config_linux/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/linux_sysmon/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/windows_post.yml_(Other)_', 'attack_range/packer/ansible/roles/windows_universal_forwarder/tasks/main.yml_(IaC)_']]","[['attack_range/attack_range.yml_(Other)_', 'attack_range/configs/attack_range_default.yml_(Other)_', 'attack_range/packer/ansible/roles/guacamole/tasks/setup_tomcat.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/install_app_from_s3.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_universal_forwarder/files/aurora_agent_inputs.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/docker.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/mltk.local.meta_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/handlers/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_botsv3_dataset.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_dltk.yml_(IaC)_']]",['c396070aaf2f130a7290b887f197912f6f409e52'],[0.0],[0.0],[0],[0],[0]
[7],"[[271, 83, 345, 45, 302, 222, 176, 109, 92, 94]]","[['attack_range/packer/ansible/roles/zeek_sensor/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/phantom_server_configure.yml_(IaC)_', 'attack_range/packer/ansible/roles/sysmon_linux/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/linux_server_post/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/create_serverclass.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_phantom/tasks/main.yml_(IaC)_', 'attack_range/modules/yml_reader.py_(Other)_', 'attack_range/terraform/ansible/roles/update_sysmon_config_linux/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/update_sysmon_config/files/SwiftOnSecurity.xml_(Other)_', 'attack_range/terraform/ansible/roles/bad_blood/tasks/install_badblood.yml_(IaC)_']]","[['attack_range/attack_range.yml_(Other)_', 'attack_range/configs/attack_range_default.yml_(Other)_', 'attack_range/packer/ansible/roles/guacamole/tasks/setup_tomcat.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/install_app_from_s3.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_universal_forwarder/files/aurora_agent_inputs.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/docker.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/mltk.local.meta_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/handlers/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_botsv3_dataset.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_dltk.yml_(IaC)_']]",['c396070aaf2f130a7290b887f197912f6f409e52'],[0.0],[0.0],[0],[0],[0]
[7],"[[227, 45, 102, 69, 386, 213, 325, 309, 397, 136, 228]]","[['attack_range/packer/ansible/roles/windows_dns_server/tasks/main.yaml_(IaC)_', 'attack_range/terraform/ansible/roles/linux_server_post/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/prelude/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_byo_linux/tasks/collect_aurora_agent_logs.yml_(IaC)_', 'attack_range/packer/ansible/roles/osquery_linux/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/nginx_web_proxy/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/files/server.conf_(Other)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/install_botsv2_dataset.yml_(IaC)_', 'attack_range/packer/ansible/roles/sysmon/templates/SysmonConfig-TSwift.xml.j2_(Other)_', 'attack_range/terraform/aws/modules/zeek-server/ressources.tf_(Other)_', 'attack_range/packer/ansible/roles/windows_dns_server/tasks/features.yml_(IaC)_']]","[['attack_range/attack_range.yml_(Other)_', 'attack_range/configs/attack_range_default.yml_(Other)_', 'attack_range/packer/ansible/roles/guacamole/tasks/setup_tomcat.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/install_app_from_s3.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_universal_forwarder/files/aurora_agent_inputs.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/docker.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/mltk.local.meta_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/handlers/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_botsv3_dataset.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_dltk.yml_(IaC)_']]",['c396070aaf2f130a7290b887f197912f6f409e52'],[0.0],[0.0],[0],[0],[0]
[7],"[[271, 45, 298, 371, 63, 354, 5, 330, 100, 261]]","[['attack_range/packer/ansible/roles/zeek_sensor/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/linux_server_post/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_common/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_universal_forwarder/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/crowdstrike_falcon_logging/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/sysmon_linux/templates/SysmonConfig-Neo23x0-server.xml.j2_(Other)_', 'attack_range/.readthedocs.yaml_(Other)_', 'attack_range/packer/ansible/roles/splunk_server/files/props.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_byo_windows/templates/outputs.conf.j2_(Other)_', 'attack_range/packer/ansible/roles/atomic_red_team/tasks/main.yml_(IaC)_']]","[['attack_range/attack_range.yml_(Other)_', 'attack_range/configs/attack_range_default.yml_(Other)_', 'attack_range/packer/ansible/roles/guacamole/tasks/setup_tomcat.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/install_app_from_s3.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_universal_forwarder/files/aurora_agent_inputs.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/docker.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/mltk.local.meta_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/handlers/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_botsv3_dataset.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_dltk.yml_(IaC)_']]",['c396070aaf2f130a7290b887f197912f6f409e52'],[0.0],[0.0],[0],[0],[0]
[7],"[[99, 91, 298, 264, 247, 415, 316, 355, 397, 103]]","[['attack_range/terraform/ansible/roles/splunk_byo_windows/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/update_sysmon_config/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_common/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/linux_sysmon/tasks/install_sysmon_linux.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_phantom_configure/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/linux_common/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/install_botsv3_dataset.yml_(IaC)_', 'attack_range/packer/ansible/roles/sysmon_linux/templates/SysmonConfig-TSwift2.xml.j2_(Other)_', 'attack_range/packer/ansible/roles/sysmon/templates/SysmonConfig-TSwift.xml.j2_(Other)_', 'attack_range/terraform/ansible/roles/windows_aurora_agent/tasks/install_aurora_agent.yml_(IaC)_']]","[['attack_range/attack_range.yml_(Other)_', 'attack_range/configs/attack_range_default.yml_(Other)_', 'attack_range/packer/ansible/roles/guacamole/tasks/setup_tomcat.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/install_app_from_s3.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_universal_forwarder/files/aurora_agent_inputs.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/docker.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/mltk.local.meta_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/handlers/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_botsv3_dataset.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_dltk.yml_(IaC)_']]",['c396070aaf2f130a7290b887f197912f6f409e52'],[0.0],[0.0],[0],[0],[0]
[7],"[[49, 71, 386, 107, 45, 32, 82, 320, 171, 227]]","[['attack_range/terraform/ansible/roles/create_domain_controller/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_byo_linux/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/osquery_linux/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/windows_agent_prelude/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/linux_server_post/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/join_domain/tasks/main.yaml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_dltk.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/configure_limits.yml_(IaC)_', 'attack_range/modules/art_simulation_controller.py_(Other)_', 'attack_range/packer/ansible/roles/windows_dns_server/tasks/main.yaml_(IaC)_']]","[['attack_range/attack_range.yml_(Other)_', 'attack_range/configs/attack_range_default.yml_(Other)_', 'attack_range/packer/ansible/roles/guacamole/tasks/setup_tomcat.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/install_app_from_s3.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_universal_forwarder/files/aurora_agent_inputs.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/docker.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/mltk.local.meta_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/handlers/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_botsv3_dataset.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_dltk.yml_(IaC)_']]",['c396070aaf2f130a7290b887f197912f6f409e52'],[0.14285714285714285],[0.09090909090909091],[0.1111111111111111],[1],[0.14285714285714285]
[7],"[[83, 45, 130, 81, 67, 113, 396, 38, 409, 389]]","[['attack_range/terraform/ansible/roles/splunk_server_post/tasks/phantom_server_configure.yml_(IaC)_', 'attack_range/terraform/ansible/roles/linux_server_post/tasks/main.yml_(IaC)_', 'attack_range/terraform/aws/modules/linux-server/variable.tf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_enterprise_security.yml_(IaC)_', 'attack_range/terraform/ansible/roles/phantom_byo_splunk/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/phantom/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/sysmon/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/carbon_black_cloud_agent/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/badblood/tasks/run_badblood.yml_(IaC)_', 'attack_range/packer/ansible/roles/osquery_linux/files/deb_template_inputs.conf_(Other)_']]","[['attack_range/attack_range.yml_(Other)_', 'attack_range/configs/attack_range_default.yml_(Other)_', 'attack_range/packer/ansible/roles/guacamole/tasks/setup_tomcat.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/install_app_from_s3.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_universal_forwarder/files/aurora_agent_inputs.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/docker.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/mltk.local.meta_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/handlers/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_botsv3_dataset.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_dltk.yml_(IaC)_']]",['c396070aaf2f130a7290b887f197912f6f409e52'],[0.0],[0.0],[0],[0],[0]
[7],"[[371, 253, 308, 415, 83, 298, 49, 306, 66, 46]]","[['attack_range/packer/ansible/roles/windows_universal_forwarder/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/guacamole/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/configure_cim.yml_(IaC)_', 'attack_range/packer/ansible/roles/linux_common/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/phantom_server_configure.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_common/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/create_domain_controller/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/configure_phantom.yml_(IaC)_', 'attack_range/terraform/ansible/roles/phantom_byo_splunk/tasks/config.yml_(IaC)_', 'attack_range/terraform/ansible/roles/nginx_server_post/tasks/main.yml_(IaC)_']]","[['attack_range/attack_range.yml_(Other)_', 'attack_range/configs/attack_range_default.yml_(Other)_', 'attack_range/packer/ansible/roles/guacamole/tasks/setup_tomcat.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/install_app_from_s3.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_universal_forwarder/files/aurora_agent_inputs.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/docker.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/mltk.local.meta_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/handlers/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_botsv3_dataset.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_dltk.yml_(IaC)_']]",['c396070aaf2f130a7290b887f197912f6f409e52'],[0.0],[0.0],[0],[0],[0]
[7],"[[45, 49, 102, 40, 406, 222, 243, 421, 293, 153]]","[['attack_range/terraform/ansible/roles/linux_server_post/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/create_domain_controller/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/prelude/tasks/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/carbon_black_cloud_logs/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_prelude_agent/tasks/install.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_phantom/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/reboot/tasks/main.yml_(IaC)_', 'attack_range/packer/phantom_server/phantom_azure.pkr.hcl_(Other)_', 'attack_range/packer/ansible/roles/windows_common/tasks/install_app_chocolatey.yml_(IaC)_', 'attack_range/.github/config.yml_(Other)_']]","[['attack_range/attack_range.yml_(Other)_', 'attack_range/configs/attack_range_default.yml_(Other)_', 'attack_range/packer/ansible/roles/guacamole/tasks/setup_tomcat.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/install_app_from_s3.yml_(IaC)_', 'attack_range/packer/ansible/roles/splunk_server/tasks/main.yml_(IaC)_', 'attack_range/packer/ansible/roles/windows_universal_forwarder/files/aurora_agent_inputs.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/docker.conf_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/files/mltk.local.meta_(Other)_', 'attack_range/terraform/ansible/roles/splunk_server_post/handlers/main.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_botsv3_dataset.yml_(IaC)_', 'attack_range/terraform/ansible/roles/splunk_server_post/tasks/install_dltk.yml_(IaC)_']]",['c396070aaf2f130a7290b887f197912f6f409e52'],[0.0],[0.0],[0],[0],[0]
