NB_recommended_files,Best_solution,Recommended_files,Co_modified_files,Commits_hash,PRECISION,RECALL,FSCORE,SUCCESS_RATE,MRR
[5],"[[135, 16, 129, 120, 17, 138, 121, 122, 116, 9, 18, 11, 8, 14, 117, 118]]","[['control-repo/site-modules/profile/manifests/platform/baseline/windows/common.pp_(IaC)_', 'control-repo/site-modules/role/manifests/cd4pe_server.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/users/windows.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows.pp_(IaC)_', 'control-repo/site-modules/role/manifests/puppet_master.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/compliance/hipaa.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/firewall.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_cis.pp_(IaC)_', 'control-repo/site-modules/role/manifests/git_server.pp_(IaC)_', 'control-repo/site-modules/role/manifests/puppet_webapp/lb.pp_(IaC)_', 'control-repo/site-modules/role/manifests/seteam_puppet_master.pp_(IaC)_', 'control-repo/site-modules/role/manifests/rgbank_standalone.pp_(IaC)_', 'control-repo/site-modules/role/manifests/jenkins_master.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_hipaa.pp_(IaC)_']]","[['control-repo/site-modules/profile/manifests/platform/baseline/windows/win_corp_baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/secteam_cis/redhat/redhat_7.pp_(IaC)_']]",['f03c70400a8a0041849f2df74c9dcfb34ecaa222'],[0.0],[0.0],[0],[0],[0]
[5],"[[8, 117, 135, 122, 118, 11, 129, 14, 138, 116, 9, 121]]","[['control-repo/site-modules/role/manifests/rgbank_standalone.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows/common.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/firewall.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_hipaa.pp_(IaC)_', 'control-repo/site-modules/role/manifests/seteam_puppet_master.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/users/windows.pp_(IaC)_', 'control-repo/site-modules/role/manifests/jenkins_master.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/compliance/hipaa.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_cis.pp_(IaC)_', 'control-repo/site-modules/role/manifests/git_server.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux.pp_(IaC)_']]","[['control-repo/site-modules/profile/manifests/platform/baseline/windows/win_corp_baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/secteam_cis/redhat/redhat_7.pp_(IaC)_']]",['f03c70400a8a0041849f2df74c9dcfb34ecaa222'],[0.0],[0.0],[0],[0],[0]
[5],"[[14, 135, 116, 125, 138, 118, 117, 134, 121, 9, 129, 8, 120, 122]]","[['control-repo/site-modules/role/manifests/jenkins_master.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows/common.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_cis.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/packages.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/compliance/hipaa.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_hipaa.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows/motd.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux.pp_(IaC)_', 'control-repo/site-modules/role/manifests/git_server.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/users/windows.pp_(IaC)_', 'control-repo/site-modules/role/manifests/rgbank_standalone.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/firewall.pp_(IaC)_']]","[['control-repo/site-modules/profile/manifests/platform/baseline/windows/win_corp_baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/secteam_cis/redhat/redhat_7.pp_(IaC)_']]",['f03c70400a8a0041849f2df74c9dcfb34ecaa222'],[0.0],[0.0],[0],[0],[0]
[5],"[[11, 121, 14, 117, 118, 125, 116, 8, 9, 137, 138, 129, 134, 135, 122, 120]]","[['control-repo/site-modules/role/manifests/seteam_puppet_master.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux.pp_(IaC)_', 'control-repo/site-modules/role/manifests/jenkins_master.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_hipaa.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/packages.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_cis.pp_(IaC)_', 'control-repo/site-modules/role/manifests/rgbank_standalone.pp_(IaC)_', 'control-repo/site-modules/role/manifests/git_server.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/compliance/cis.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/compliance/hipaa.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/users/windows.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows/motd.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows/common.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/firewall.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows.pp_(IaC)_']]","[['control-repo/site-modules/profile/manifests/platform/baseline/windows/win_corp_baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/secteam_cis/redhat/redhat_7.pp_(IaC)_']]",['f03c70400a8a0041849f2df74c9dcfb34ecaa222'],[0.0],[0.0],[0],[0],[0]
[5],"[[8, 116, 121, 122, 117, 118, 11, 120, 14, 138, 135, 129, 9, 125]]","[['control-repo/site-modules/role/manifests/rgbank_standalone.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_cis.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/firewall.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_hipaa.pp_(IaC)_', 'control-repo/site-modules/role/manifests/seteam_puppet_master.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows.pp_(IaC)_', 'control-repo/site-modules/role/manifests/jenkins_master.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/compliance/hipaa.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows/common.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/users/windows.pp_(IaC)_', 'control-repo/site-modules/role/manifests/git_server.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/packages.pp_(IaC)_']]","[['control-repo/site-modules/profile/manifests/platform/baseline/windows/win_corp_baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/secteam_cis/redhat/redhat_7.pp_(IaC)_']]",['f03c70400a8a0041849f2df74c9dcfb34ecaa222'],[0.0],[0.0],[0],[0],[0]
[5],"[[121, 129, 117, 8, 118, 9, 14, 138, 116, 122, 135, 120]]","[['control-repo/site-modules/profile/manifests/platform/baseline/linux.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/users/windows.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline.pp_(IaC)_', 'control-repo/site-modules/role/manifests/rgbank_standalone.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_hipaa.pp_(IaC)_', 'control-repo/site-modules/role/manifests/git_server.pp_(IaC)_', 'control-repo/site-modules/role/manifests/jenkins_master.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/compliance/hipaa.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_cis.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/firewall.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows/common.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows.pp_(IaC)_']]","[['control-repo/site-modules/profile/manifests/platform/baseline/windows/win_corp_baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/secteam_cis/redhat/redhat_7.pp_(IaC)_']]",['f03c70400a8a0041849f2df74c9dcfb34ecaa222'],[0.0],[0.0],[0],[0],[0]
[5],"[[8, 9, 116, 129, 120, 118, 125, 117, 138, 122, 121, 135]]","[['control-repo/site-modules/role/manifests/rgbank_standalone.pp_(IaC)_', 'control-repo/site-modules/role/manifests/git_server.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_cis.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/users/windows.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_hipaa.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/packages.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/compliance/hipaa.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/firewall.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows/common.pp_(IaC)_']]","[['control-repo/site-modules/profile/manifests/platform/baseline/windows/win_corp_baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/secteam_cis/redhat/redhat_7.pp_(IaC)_']]",['f03c70400a8a0041849f2df74c9dcfb34ecaa222'],[0.0],[0.0],[0],[0],[0]
[5],"[[118, 116, 125, 121, 129, 122, 9, 135, 117, 120, 138]]","[['control-repo/site-modules/profile/manifests/platform/baseline_hipaa.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_cis.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/packages.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/users/windows.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/firewall.pp_(IaC)_', 'control-repo/site-modules/role/manifests/git_server.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows/common.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/compliance/hipaa.pp_(IaC)_']]","[['control-repo/site-modules/profile/manifests/platform/baseline/windows/win_corp_baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/secteam_cis/redhat/redhat_7.pp_(IaC)_']]",['f03c70400a8a0041849f2df74c9dcfb34ecaa222'],[0.0],[0.0],[0],[0],[0]
[5],"[[11, 17, 8, 16, 122, 121, 129, 9, 117, 14, 116, 118]]","[['control-repo/site-modules/role/manifests/seteam_puppet_master.pp_(IaC)_', 'control-repo/site-modules/role/manifests/puppet_master.pp_(IaC)_', 'control-repo/site-modules/role/manifests/rgbank_standalone.pp_(IaC)_', 'control-repo/site-modules/role/manifests/cd4pe_server.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/firewall.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/users/windows.pp_(IaC)_', 'control-repo/site-modules/role/manifests/git_server.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline.pp_(IaC)_', 'control-repo/site-modules/role/manifests/jenkins_master.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_cis.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_hipaa.pp_(IaC)_']]","[['control-repo/site-modules/profile/manifests/platform/baseline/windows/win_corp_baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/secteam_cis/redhat/redhat_7.pp_(IaC)_']]",['f03c70400a8a0041849f2df74c9dcfb34ecaa222'],[0.0],[0.0],[0],[0],[0]
[5],"[[138, 134, 129, 14, 9, 118, 135, 122, 117, 8, 116, 121, 125, 120]]","[['control-repo/site-modules/profile/manifests/platform/compliance/hipaa.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows/motd.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/users/windows.pp_(IaC)_', 'control-repo/site-modules/role/manifests/jenkins_master.pp_(IaC)_', 'control-repo/site-modules/role/manifests/git_server.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_hipaa.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows/common.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/firewall.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline.pp_(IaC)_', 'control-repo/site-modules/role/manifests/rgbank_standalone.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline_cis.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/linux/packages.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/baseline/windows.pp_(IaC)_']]","[['control-repo/site-modules/profile/manifests/platform/baseline/windows/win_corp_baseline.pp_(IaC)_', 'control-repo/site-modules/profile/manifests/platform/secteam_cis/redhat/redhat_7.pp_(IaC)_']]",['f03c70400a8a0041849f2df74c9dcfb34ecaa222'],[0.0],[0.0],[0],[0],[0]
