NB_recommended_files,Best_solution,Recommended_files,Co_modified_files,Commits_hash,PRECISION,RECALL,FSCORE,SUCCESS_RATE,MRR
"[5, 5]","[[2, 54, 64, 67, 66], [2, 54, 64, 67, 66]]","[['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_'], ['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_']]","[['eyp-systemd/metadata.json_(Other)_'], ['eyp-systemd/manifests/automount.pp_(IaC)_', 'eyp-systemd/manifests/mount.pp_(IaC)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/service/dropin.pp_(IaC)_', 'eyp-systemd/manifests/socket.pp_(IaC)_', 'eyp-systemd/manifests/sysvwrapper.pp_(IaC)_', 'eyp-systemd/metadata.json_(Other)_']]","['d9b822e4556c69096317c2132ba5c9430e1962dd', '22ec9da16aa57601105b4b514f0c5116c13298fa']","[0.2, 0.4]","[1.0, 0.2857142857142857]","[0.33333333333333337, 0.3333333333333333]","[1, 1]","[1.0, 1.0]"
"[5, 5]","[[2, 64, 67, 66, 60], [2, 64, 67, 66, 60]]","[['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_', 'eyp-systemd/manifests/journald.pp_(IaC)_'], ['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_', 'eyp-systemd/manifests/journald.pp_(IaC)_']]","[['eyp-systemd/metadata.json_(Other)_'], ['eyp-systemd/manifests/automount.pp_(IaC)_', 'eyp-systemd/manifests/mount.pp_(IaC)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/service/dropin.pp_(IaC)_', 'eyp-systemd/manifests/socket.pp_(IaC)_', 'eyp-systemd/manifests/sysvwrapper.pp_(IaC)_', 'eyp-systemd/metadata.json_(Other)_']]","['d9b822e4556c69096317c2132ba5c9430e1962dd', '22ec9da16aa57601105b4b514f0c5116c13298fa']","[0.2, 0.2]","[1.0, 0.14285714285714285]","[0.33333333333333337, 0.16666666666666666]","[1, 1]","[1.0, 1.0]"
"[5, 5]","[[2, 54, 64, 67, 66], [2, 54, 64, 67, 66]]","[['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_'], ['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_']]","[['eyp-systemd/metadata.json_(Other)_'], ['eyp-systemd/manifests/automount.pp_(IaC)_', 'eyp-systemd/manifests/mount.pp_(IaC)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/service/dropin.pp_(IaC)_', 'eyp-systemd/manifests/socket.pp_(IaC)_', 'eyp-systemd/manifests/sysvwrapper.pp_(IaC)_', 'eyp-systemd/metadata.json_(Other)_']]","['d9b822e4556c69096317c2132ba5c9430e1962dd', '22ec9da16aa57601105b4b514f0c5116c13298fa']","[0.2, 0.4]","[1.0, 0.2857142857142857]","[0.33333333333333337, 0.3333333333333333]","[1, 1]","[1.0, 1.0]"
"[5, 5]","[[2, 54, 64, 67, 66], [2, 54, 64, 67, 66]]","[['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_'], ['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_']]","[['eyp-systemd/metadata.json_(Other)_'], ['eyp-systemd/manifests/automount.pp_(IaC)_', 'eyp-systemd/manifests/mount.pp_(IaC)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/service/dropin.pp_(IaC)_', 'eyp-systemd/manifests/socket.pp_(IaC)_', 'eyp-systemd/manifests/sysvwrapper.pp_(IaC)_', 'eyp-systemd/metadata.json_(Other)_']]","['d9b822e4556c69096317c2132ba5c9430e1962dd', '22ec9da16aa57601105b4b514f0c5116c13298fa']","[0.2, 0.4]","[1.0, 0.2857142857142857]","[0.33333333333333337, 0.3333333333333333]","[1, 1]","[1.0, 1.0]"
"[5, 5]","[[2, 54, 64, 67, 66], [2, 54, 64, 67, 66]]","[['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_'], ['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_']]","[['eyp-systemd/metadata.json_(Other)_'], ['eyp-systemd/manifests/automount.pp_(IaC)_', 'eyp-systemd/manifests/mount.pp_(IaC)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/service/dropin.pp_(IaC)_', 'eyp-systemd/manifests/socket.pp_(IaC)_', 'eyp-systemd/manifests/sysvwrapper.pp_(IaC)_', 'eyp-systemd/metadata.json_(Other)_']]","['d9b822e4556c69096317c2132ba5c9430e1962dd', '22ec9da16aa57601105b4b514f0c5116c13298fa']","[0.2, 0.4]","[1.0, 0.2857142857142857]","[0.33333333333333337, 0.3333333333333333]","[1, 1]","[1.0, 1.0]"
"[5, 5]","[[2, 54, 64, 67, 66], [2, 54, 64, 67, 66]]","[['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_'], ['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_']]","[['eyp-systemd/metadata.json_(Other)_'], ['eyp-systemd/manifests/automount.pp_(IaC)_', 'eyp-systemd/manifests/mount.pp_(IaC)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/service/dropin.pp_(IaC)_', 'eyp-systemd/manifests/socket.pp_(IaC)_', 'eyp-systemd/manifests/sysvwrapper.pp_(IaC)_', 'eyp-systemd/metadata.json_(Other)_']]","['d9b822e4556c69096317c2132ba5c9430e1962dd', '22ec9da16aa57601105b4b514f0c5116c13298fa']","[0.2, 0.4]","[1.0, 0.2857142857142857]","[0.33333333333333337, 0.3333333333333333]","[1, 1]","[1.0, 1.0]"
"[5, 5]","[[2, 54, 64, 67, 66], [2, 54, 64, 67, 66]]","[['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_'], ['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_']]","[['eyp-systemd/metadata.json_(Other)_'], ['eyp-systemd/manifests/automount.pp_(IaC)_', 'eyp-systemd/manifests/mount.pp_(IaC)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/service/dropin.pp_(IaC)_', 'eyp-systemd/manifests/socket.pp_(IaC)_', 'eyp-systemd/manifests/sysvwrapper.pp_(IaC)_', 'eyp-systemd/metadata.json_(Other)_']]","['d9b822e4556c69096317c2132ba5c9430e1962dd', '22ec9da16aa57601105b4b514f0c5116c13298fa']","[0.2, 0.4]","[1.0, 0.2857142857142857]","[0.33333333333333337, 0.3333333333333333]","[1, 1]","[1.0, 1.0]"
"[5, 5]","[[2, 54, 64, 67, 66], [2, 54, 64, 67, 66]]","[['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_'], ['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_']]","[['eyp-systemd/metadata.json_(Other)_'], ['eyp-systemd/manifests/automount.pp_(IaC)_', 'eyp-systemd/manifests/mount.pp_(IaC)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/service/dropin.pp_(IaC)_', 'eyp-systemd/manifests/socket.pp_(IaC)_', 'eyp-systemd/manifests/sysvwrapper.pp_(IaC)_', 'eyp-systemd/metadata.json_(Other)_']]","['d9b822e4556c69096317c2132ba5c9430e1962dd', '22ec9da16aa57601105b4b514f0c5116c13298fa']","[0.2, 0.4]","[1.0, 0.2857142857142857]","[0.33333333333333337, 0.3333333333333333]","[1, 1]","[1.0, 1.0]"
"[5, 5]","[[2, 54, 64, 67, 66], [2, 54, 64, 67, 66]]","[['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_'], ['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_']]","[['eyp-systemd/metadata.json_(Other)_'], ['eyp-systemd/manifests/automount.pp_(IaC)_', 'eyp-systemd/manifests/mount.pp_(IaC)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/service/dropin.pp_(IaC)_', 'eyp-systemd/manifests/socket.pp_(IaC)_', 'eyp-systemd/manifests/sysvwrapper.pp_(IaC)_', 'eyp-systemd/metadata.json_(Other)_']]","['d9b822e4556c69096317c2132ba5c9430e1962dd', '22ec9da16aa57601105b4b514f0c5116c13298fa']","[0.2, 0.4]","[1.0, 0.2857142857142857]","[0.33333333333333337, 0.3333333333333333]","[1, 1]","[1.0, 1.0]"
"[5, 5]","[[2, 54, 64, 67, 66], [2, 54, 64, 67, 66]]","[['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_'], ['eyp-systemd/metadata.json_(Other)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/init.pp_(IaC)_', 'eyp-systemd/manifests/timesyncd.pp_(IaC)_', 'eyp-systemd/manifests/resolved.pp_(IaC)_']]","[['eyp-systemd/metadata.json_(Other)_'], ['eyp-systemd/manifests/automount.pp_(IaC)_', 'eyp-systemd/manifests/mount.pp_(IaC)_', 'eyp-systemd/manifests/service.pp_(IaC)_', 'eyp-systemd/manifests/service/dropin.pp_(IaC)_', 'eyp-systemd/manifests/socket.pp_(IaC)_', 'eyp-systemd/manifests/sysvwrapper.pp_(IaC)_', 'eyp-systemd/metadata.json_(Other)_']]","['d9b822e4556c69096317c2132ba5c9430e1962dd', '22ec9da16aa57601105b4b514f0c5116c13298fa']","[0.2, 0.4]","[1.0, 0.2857142857142857]","[0.33333333333333337, 0.3333333333333333]","[1, 1]","[1.0, 1.0]"
