Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.14888666],[0.17798615],[0.10367173],"[65, 60, 67, 58, 69, 3, 47, 55, 37, 7]"
2,[0.17434568],[0.20003693],[0.14620646],"[65, 66, 58, 74, 60, 67, 55, 47, 14, 45]"
3,[0.19301602],[0.21253752],[0.],"[65, 56, 58, 74, 60, 67, 55, 47, 14, 45]"
4,[0.21089389],[0.22544375],[0.17451184],"[65, 56, 58, 74, 60, 67, 61, 55, 37, 7]"
5,[0.22171658],[0.23009835],[0.19824151],"[65, 58, 56, 74, 61, 67, 55, 47, 28, 60]"
6,[0.22542246],[0.23009835],[0.19933939],"[65, 58, 56, 74, 61, 67, 55, 47, 28, 60]"
7,[0.22780587],[0.23223851],[0.21069007],"[65, 56, 74, 61, 58, 67, 55, 60, 47, 28]"
8,[0.22377417],[0.23288923],[0.],"[65, 58, 56, 74, 61, 67, 55, 60, 47, 28]"
9,[0.22908296],[0.2344451],[0.],"[65, 58, 61, 74, 56, 67, 55, 60, 47, 28]"
10,[0.23179406],[0.23531627],[0.18978266],"[65, 58, 61, 74, 56, 67, 60, 55, 28, 47]"
11,[0.23322409],[0.23531627],[0.21676264],"[65, 58, 61, 74, 56, 67, 60, 55, 28, 47]"
12,[0.23393886],[0.23531627],[0.22698596],"[65, 58, 61, 74, 56, 67, 60, 55, 28, 47]"
13,[0.23423375],[0.23536466],[0.22323721],"[61, 65, 58, 56, 74, 67, 60, 28, 55, 47]"
14,[0.23428898],[0.23615701],[0.20172422],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
15,[0.23470799],[0.23615701],[0.21707302],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
16,[0.23475076],[0.23615701],[0.21264395],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
17,[0.23480034],[0.23615701],[0.20964697],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
18,[0.23475747],[0.23615701],[0.21338561],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
19,[0.23483875],[0.23615701],[0.20441461],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
20,[0.23496178],[0.23615701],[0.21753672],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
21,[0.23511541],[0.23615701],[0.22605344],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
22,[0.23520696],[0.23615701],[0.22665294],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
23,[0.23497829],[0.23615701],[0.20846871],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
24,[0.234844],[0.23615701],[0.21480269],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
25,[0.23501614],[0.23615701],[0.21929479],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
26,[0.23514858],[0.23615701],[0.22491967],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
27,[0.23526156],[0.23615701],[0.22584366],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
28,[0.23499228],[0.23615701],[0.2162618],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
29,[0.23500975],[0.23615701],[0.19822847],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
30,[0.23514649],[0.23615701],[0.22029647],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
31,[0.23531615],[0.23615701],[0.22521774],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
32,[0.23529751],[0.23615701],[0.21055562],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
33,[0.23517941],[0.23615701],[0.2086253],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
34,[0.23531132],[0.23615701],[0.22257337],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
35,[0.23527623],[0.23615701],[0.21692256],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
36,[0.23525062],[0.23615701],[0.21544185],"[61, 65, 58, 56, 74, 67, 60, 55, 28, 47]"
