Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.09804144],[0.11445808],[0.06829362],"[64, 66, 67, 2, 69, 39, 20, 54, 56, 58, 28, 30]"
2,[0.112277],[0.12069554],[0.0975559],"[64, 2, 68, 60, 67, 19, 20, 54, 56, 58, 28]"
3,[0.12090597],[0.1275627],[0.10837708],"[2, 66, 68, 60, 67, 63, 56, 26, 7, 32]"
4,[0.12706678],[0.13347422],[0.11856143],"[2, 66, 68, 60, 67, 63, 70, 72, 56, 58]"
5,[0.13282157],[0.14052823],[0.12208853],"[2, 66, 54, 60, 67, 64, 70, 72, 56, 58]"
6,[0.13650565],[0.14052823],[0.12921322],"[2, 66, 54, 60, 67, 64, 70, 72, 56, 58]"
7,[0.13835784],[0.14187181],[0.13193103],"[2, 66, 54, 60, 67, 64, 58, 72, 56, 70]"
8,[0.13661849],[0.14188446],[0.],"[2, 60, 54, 67, 64, 58, 66, 72, 56, 70]"
9,[0.1356327],[0.14255512],[0.],"[2, 54, 56, 66, 64, 58, 67, 60, 72, 70]"
10,[0.1370936],[0.14255512],[0.],"[2, 54, 56, 66, 64, 58, 67, 60, 72, 70]"
11,[0.13953595],[0.14256603],[0.],"[2, 54, 56, 67, 64, 58, 66, 60, 72, 70]"
12,[0.14046572],[0.14256603],[0.],"[2, 54, 56, 67, 64, 58, 66, 60, 72, 70]"
13,[0.14182113],[0.14283479],[0.13326356],"[2, 54, 64, 66, 60, 56, 67, 58, 72, 70]"
14,[0.14187321],[0.14283479],[0.13234605],"[2, 54, 64, 66, 60, 56, 67, 58, 72, 70]"
15,[0.14206266],[0.14283479],[0.13386651],"[2, 54, 64, 66, 60, 56, 67, 58, 72, 70]"
16,[0.1421064],[0.14294126],[0.13448089],"[2, 54, 64, 66, 60, 58, 67, 56, 70, 72]"
17,[0.14150454],[0.14294194],[0.],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
18,[0.14255532],[0.14294194],[0.13795847],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
19,[0.14269609],[0.14294194],[0.13951497],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
20,[0.14269326],[0.14294194],[0.13546242],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
21,[0.14272683],[0.14294194],[0.13642452],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
22,[0.14273055],[0.14294194],[0.13949156],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
23,[0.1428059],[0.14294194],[0.14186286],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
24,[0.14275619],[0.14294194],[0.13886135],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
25,[0.14279038],[0.14294194],[0.13737029],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
26,[0.14280032],[0.14294194],[0.14073653],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
27,[0.14279782],[0.14294194],[0.14097628],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
28,[0.14281174],[0.14294194],[0.13826862],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
29,[0.14275602],[0.14294194],[0.13868804],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
30,[0.14274022],[0.14294194],[0.13760823],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
31,[0.14273616],[0.14294194],[0.13362773],"[2, 54, 64, 66, 60, 58, 67, 56, 72, 70]"
32,[0.14279949],[0.14295285],[0.14021415],"[2, 54, 64, 67, 60, 58, 66, 56, 72, 70]"
33,[0.14284707],[0.14295285],[0.13767022],"[2, 54, 64, 67, 60, 58, 66, 56, 72, 70]"
34,[0.14288191],[0.14295285],[0.1405942],"[2, 54, 64, 67, 60, 58, 66, 56, 72, 70]"
35,[0.14286067],[0.14295285],[0.1397422],"[2, 54, 64, 67, 60, 58, 66, 56, 72, 70]"
36,[0.14289567],[0.14295285],[0.14113761],"[2, 54, 64, 67, 60, 58, 66, 56, 72, 70]"
37,[0.14284783],[0.14295285],[0.13871019],"[2, 54, 64, 67, 60, 58, 66, 56, 72, 70]"
