Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.16233863],[0.19411997],[0.11622417],"[65, 67, 70, 71, 73, 12, 13, 60, 45, 28]"
2,[0.19058914],[0.21423025],[0.16108358],"[67, 70, 71, 73, 42, 72, 21, 54, 55, 56]"
3,[0.20970641],[0.22066806],[0.18420086],"[64, 67, 70, 71, 73, 72, 13, 60, 54, 28]"
4,[0.21640074],[0.22910485],[0.2004578],"[64, 67, 70, 71, 73, 72, 65, 54, 55, 28]"
5,[0.22349978],[0.23197331],[0.20690922],"[64, 67, 70, 71, 73, 72, 65, 60, 55, 56]"
6,[0.22956791],[0.23446398],[0.21593606],"[71, 67, 70, 60, 65, 54, 72, 73, 55, 64]"
7,[0.23093396],[0.23590673],[0.20763145],"[70, 67, 71, 56, 64, 72, 55, 60, 73, 65]"
8,[0.22866426],[0.23738702],[0.],"[70, 67, 71, 72, 64, 73, 55, 60, 56, 65]"
9,[0.23400769],[0.23786885],[0.],"[70, 67, 71, 72, 64, 73, 54, 60, 56, 65]"
10,[0.23542334],[0.23786885],[0.],"[70, 67, 71, 72, 64, 73, 54, 60, 56, 65]"
11,[0.23684131],[0.23921551],[0.21511017],"[70, 67, 71, 72, 64, 60, 73, 54, 56, 65]"
12,[0.2368118],[0.23928128],[0.],"[70, 67, 71, 72, 64, 60, 73, 54, 55, 65]"
13,[0.23805609],[0.23928128],[0.23068533],"[70, 67, 71, 72, 64, 60, 73, 54, 55, 65]"
14,[0.238406],[0.23935267],[0.22755507],"[70, 67, 71, 64, 72, 60, 73, 54, 65, 55]"
15,[0.23881099],[0.23935267],[0.23212939],"[70, 67, 71, 64, 72, 60, 73, 54, 65, 55]"
16,[0.23884528],[0.23935267],[0.23051749],"[70, 67, 71, 64, 72, 60, 73, 54, 65, 55]"
17,[0.2389696],[0.23935267],[0.23045292],"[70, 67, 71, 64, 72, 60, 73, 54, 65, 55]"
18,[0.23894928],[0.23935267],[0.22832563],"[70, 67, 71, 64, 72, 60, 73, 54, 65, 55]"
19,[0.23904223],[0.23935267],[0.23339208],"[70, 67, 71, 64, 72, 60, 73, 54, 65, 55]"
20,[0.23910471],[0.23935267],[0.23159672],"[70, 67, 71, 64, 72, 60, 73, 54, 65, 55]"
21,[0.23895823],[0.23935267],[0.2273351],"[70, 67, 71, 64, 72, 60, 73, 54, 65, 55]"
22,[0.23902767],[0.23935267],[0.22808803],"[70, 67, 71, 64, 72, 60, 73, 54, 65, 55]"
23,[0.23901365],[0.23935267],[0.2282826],"[70, 67, 71, 64, 72, 60, 73, 54, 65, 55]"
24,[0.23901607],[0.23949736],[0.2282826],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
25,[0.23918393],[0.23949736],[0.23540946],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
26,[0.23912732],[0.23949736],[0.22081133],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
27,[0.23902367],[0.23949736],[0.22426133],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
28,[0.23912195],[0.23949736],[0.22296553],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
29,[0.23914216],[0.23949736],[0.22631954],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
30,[0.23908273],[0.23949736],[0.22708872],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
31,[0.23921292],[0.23949736],[0.23027765],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
32,[0.23921259],[0.23949736],[0.23192582],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
33,[0.23930598],[0.23949736],[0.23768869],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
34,[0.23928757],[0.23949736],[0.22971142],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
35,[0.23931184],[0.23949736],[0.23176473],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
36,[0.23927522],[0.23949736],[0.22756839],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
37,[0.23922699],[0.23949736],[0.23114736],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
38,[0.23915786],[0.23949736],[0.23183906],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
39,[0.23918279],[0.23949736],[0.23074957],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
40,[0.23925756],[0.23949736],[0.23525012],"[70, 67, 71, 64, 60, 72, 73, 54, 65, 55]"
