Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.14321444],[0.17595314],[0.08493245],"[65, 2, 69, 58, 39, 71, 74, 12, 52, 57, 60, 63]"
2,[0.17285075],[0.19851345],[0.13776742],"[65, 2, 69, 58, 74, 44, 52, 56, 59, 57, 60, 63]"
3,[0.1943185],[0.21655124],[0.],"[2, 65, 69, 58, 74, 56, 44, 60, 20, 19]"
4,[0.21205984],[0.22332562],[0.17899791],"[65, 2, 69, 58, 74, 56, 44, 60, 59, 57]"
5,[0.21818011],[0.24367502],[0.],"[65, 2, 74, 58, 63, 56, 44, 60, 59, 57]"
6,[0.22593789],[0.24636405],[0.20486713],"[65, 2, 74, 58, 63, 69, 56, 60, 59, 57]"
7,[0.23553657],[0.24636405],[0.20980124],"[65, 2, 74, 58, 63, 69, 56, 60, 59, 57]"
8,[0.24361729],[0.25148583],[0.22721283],"[74, 2, 65, 58, 63, 69, 56, 60, 59, 57]"
9,[0.24011368],[0.25408876],[0.],"[74, 2, 65, 58, 60, 56, 59, 63, 69, 57]"
10,[0.24839422],[0.25713852],[0.],"[74, 2, 65, 58, 56, 59, 63, 60, 66, 57]"
11,[0.25253078],[0.25747086],[0.23371641],"[74, 2, 65, 58, 63, 56, 60, 57, 59, 66]"
12,[0.25386682],[0.25747086],[0.24177165],"[74, 2, 65, 58, 63, 56, 60, 57, 59, 66]"
13,[0.25387367],[0.25784051],[0.],"[74, 2, 65, 58, 56, 59, 63, 60, 57, 66]"
14,[0.2548568],[0.25784051],[0.22991176],"[74, 2, 65, 58, 56, 59, 63, 60, 57, 66]"
15,[0.25496236],[0.25784051],[0.23732775],"[74, 2, 65, 58, 56, 59, 63, 60, 57, 66]"
16,[0.25530878],[0.25784051],[0.22610176],"[74, 2, 65, 58, 56, 59, 63, 60, 57, 66]"
17,[0.25525961],[0.25784051],[0.23278525],"[74, 2, 65, 58, 56, 59, 63, 60, 57, 66]"
18,[0.25499776],[0.25784051],[0.20725093],"[74, 2, 65, 58, 56, 59, 63, 60, 57, 66]"
19,[0.25508029],[0.25849082],[0.22803386],"[74, 2, 58, 65, 56, 59, 63, 60, 57, 66]"
20,[0.25583956],[0.25849082],[0.23149101],"[74, 2, 58, 65, 56, 59, 63, 60, 57, 66]"
21,[0.25609873],[0.25856999],[0.22658361],"[74, 2, 58, 65, 56, 59, 63, 57, 60, 66]"
22,[0.25631166],[0.25856999],[0.22346251],"[74, 2, 58, 65, 56, 59, 63, 57, 60, 66]"
23,[0.25662294],[0.25857619],[0.20821714],"[74, 2, 58, 65, 56, 60, 63, 59, 57, 66]"
24,[0.25711314],[0.25869805],[0.21485934],"[74, 2, 58, 65, 56, 60, 63, 57, 59, 66]"
25,[0.25743556],[0.25869805],[0.22566772],"[74, 2, 58, 65, 56, 60, 63, 57, 59, 66]"
26,[0.25726274],[0.25869805],[0.21914806],"[74, 2, 58, 65, 56, 60, 63, 57, 59, 66]"
27,[0.25758991],[0.25869805],[0.20586475],"[74, 2, 58, 65, 56, 60, 63, 57, 59, 66]"
28,[0.25786921],[0.25869805],[0.2448403],"[74, 2, 58, 65, 56, 60, 63, 57, 59, 66]"
