Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.12131786],[0.15315108],[0.08122332],"[67, 64, 58, 74, 29, 15, 56, 16, 46, 72]"
2,[0.14935898],[0.17678085],[0.10936935],"[64, 67, 58, 73, 74, 40, 54, 61, 71, 45]"
3,[0.17121025],[0.19768239],[0.],"[74, 58, 67, 64, 56, 29, 54, 61, 71, 45]"
4,[0.18705242],[0.20873486],[0.15986701],"[74, 58, 67, 64, 56, 61, 54, 60, 71, 45]"
5,[0.19737028],[0.21184043],[0.176001],"[62, 58, 74, 71, 56, 67, 61, 54, 70, 29]"
6,[0.20457141],[0.21863972],[0.],"[62, 54, 74, 58, 56, 61, 67, 45, 71, 29]"
7,[0.21149444],[0.22529054],[0.18847886],"[62, 54, 74, 58, 56, 61, 67, 60, 71, 29]"
8,[0.21736436],[0.22692148],[0.20064324],"[62, 54, 74, 58, 56, 61, 67, 60, 71, 59]"
9,[0.22172637],[0.22787415],[0.],"[74, 58, 62, 54, 56, 61, 67, 60, 71, 59]"
10,[0.22238748],[0.23129707],[0.],"[54, 74, 58, 61, 62, 56, 59, 60, 67, 71]"
11,[0.21911389],[0.23172453],[0.],"[54, 58, 74, 61, 62, 56, 59, 60, 67, 71]"
12,[0.22570436],[0.23172453],[0.],"[54, 58, 74, 61, 62, 56, 59, 60, 67, 71]"
13,[0.22894742],[0.23172453],[0.21269853],"[54, 58, 74, 61, 62, 56, 59, 60, 67, 71]"
14,[0.22998289],[0.23172453],[0.21690121],"[54, 58, 74, 61, 62, 56, 59, 60, 67, 71]"
15,[0.23051575],[0.23172453],[0.21798946],"[54, 58, 74, 61, 62, 56, 59, 60, 67, 71]"
16,[0.23049624],[0.23172453],[0.20779714],"[54, 58, 74, 61, 62, 56, 59, 60, 67, 71]"
17,[0.23080231],[0.23198525],[0.20120479],"[54, 58, 61, 74, 56, 62, 59, 67, 60, 71]"
18,[0.23051594],[0.2321692],[0.],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
19,[0.23145595],[0.2321692],[0.22135764],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
20,[0.2315967],[0.2321692],[0.22183132],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
21,[0.23171653],[0.2321692],[0.21481075],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
22,[0.23179333],[0.2321692],[0.22671052],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
23,[0.23164989],[0.2321692],[0.21832174],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
24,[0.23144786],[0.2321692],[0.20060648],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
25,[0.23164844],[0.2321692],[0.21291667],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
26,[0.23147604],[0.2321692],[0.20188708],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
27,[0.23180388],[0.2321692],[0.22413511],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
28,[0.23158882],[0.2321692],[0.21668084],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
29,[0.23179906],[0.2321692],[0.21988181],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
30,[0.23161596],[0.2321692],[0.21164133],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
31,[0.23167709],[0.2321692],[0.21344765],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
32,[0.23165014],[0.2321692],[0.21687416],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
33,[0.23171259],[0.2321692],[0.21169289],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
34,[0.23168506],[0.2321692],[0.21614596],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
35,[0.23174628],[0.2321692],[0.20890019],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
36,[0.23170127],[0.2321692],[0.22126294],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
37,[0.23169537],[0.2321692],[0.21475493],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
38,[0.23162734],[0.2321692],[0.22332597],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
39,[0.231486],[0.2321692],[0.21628294],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
40,[0.23173007],[0.2321692],[0.22181038],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
41,[0.23174815],[0.2321692],[0.21968372],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
42,[0.2316976],[0.2321692],[0.21492008],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
43,[0.23164517],[0.2321692],[0.21642983],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
44,[0.23142591],[0.2321692],[0.21722727],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
45,[0.23159325],[0.2321692],[0.22030073],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
46,[0.23157098],[0.2321692],[0.22060828],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
47,[0.23140919],[0.2321692],[0.20874022],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
48,[0.23152258],[0.2321692],[0.2192902],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
49,[0.2316315],[0.2321692],[0.21582919],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
50,[0.23162514],[0.2321692],[0.21748885],"[54, 58, 61, 74, 62, 56, 59, 67, 60, 71]"
51,[0.23155518],[0.23217209],[0.19974746],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
52,[0.23163162],[0.23217209],[0.21837593],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
53,[0.23178124],[0.23217209],[0.22136395],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
54,[0.23178493],[0.23217209],[0.22419267],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
55,[0.23186763],[0.23217209],[0.22541603],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
56,[0.23159306],[0.23217209],[0.21629966],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
57,[0.23172904],[0.23217209],[0.20827672],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
58,[0.23181313],[0.23217209],[0.2243076],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
59,[0.23178421],[0.23217209],[0.21783457],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
60,[0.2317851],[0.23217209],[0.20910356],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
61,[0.23189506],[0.23217209],[0.22146055],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
62,[0.23186715],[0.23217209],[0.21871922],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
63,[0.23181067],[0.23217209],[0.20875261],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
64,[0.23152568],[0.23217209],[0.21421198],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
65,[0.23178713],[0.23217209],[0.21852485],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
66,[0.23181886],[0.23217209],[0.21635532],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
67,[0.23172572],[0.23217209],[0.21855784],"[58, 54, 61, 74, 62, 56, 59, 67, 60, 71]"
