Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.11826686],[0.14375797],[0.09741075],"[69, 51, 67, 74, 71, 61, 20, 58, 72, 73]"
2,[0.13724224],[0.14997504],[0.11260992],"[69, 54, 65, 74, 71, 61, 20, 58, 72, 73]"
3,[0.14827008],[0.15701349],[0.12978443],"[69, 54, 65, 74, 71, 61, 27, 58, 72, 73]"
4,[0.15301318],[0.1585809],[0.],"[54, 65, 74, 73, 71, 61, 27, 58, 72, 69]"
5,[0.15713912],[0.16060891],[0.14375797],"[54, 62, 65, 74, 71, 61, 27, 58, 72, 73]"
6,[0.15924139],[0.16217469],[0.15168113],"[54, 62, 65, 73, 71, 61, 27, 58, 53, 69]"
7,[0.16171741],[0.1635438],[0.15714759],"[54, 62, 65, 73, 71, 61, 67, 58, 53, 69]"
8,[0.16275912],[0.16402955],[0.15834832],"[54, 62, 65, 61, 74, 51, 69, 58, 53, 73]"
9,[0.16310775],[0.16451386],[0.],"[54, 65, 62, 61, 53, 58, 69, 51, 74, 73]"
10,[0.16390292],[0.16460136],[0.16029529],"[54, 62, 65, 61, 53, 58, 69, 51, 71, 73]"
11,[0.16429814],[0.16478076],[0.16125581],"[54, 61, 62, 58, 71, 65, 73, 74, 51, 69]"
12,[0.16238712],[0.16484914],[0.],"[54, 61, 62, 58, 71, 65, 73, 74, 51, 53]"
13,[0.16342871],[0.16484914],[0.],"[54, 61, 62, 58, 71, 65, 73, 74, 51, 53]"
14,[0.1645015],[0.16489081],[0.16188497],"[54, 62, 65, 61, 71, 58, 73, 74, 51, 53]"
15,[0.16464638],[0.1649734],[0.16054913],"[54, 58, 65, 61, 62, 71, 73, 51, 74, 53]"
16,[0.1643877],[0.1649734],[0.],"[54, 58, 65, 61, 62, 71, 73, 51, 74, 53]"
17,[0.16472183],[0.1649734],[0.15917565],"[54, 58, 65, 61, 62, 71, 73, 51, 74, 53]"
18,[0.16477926],[0.1649734],[0.16267483],"[54, 58, 65, 61, 62, 71, 73, 51, 74, 53]"
19,[0.16482718],[0.16499375],[0.16264147],"[54, 62, 58, 61, 65, 71, 73, 74, 51, 53]"
20,[0.16381111],[0.16506817],[0.],"[54, 62, 58, 61, 65, 71, 73, 51, 74, 53]"
21,[0.16418217],[0.16506817],[0.],"[54, 62, 58, 61, 65, 71, 73, 51, 74, 53]"
22,[0.1648889],[0.16510884],[0.16259635],"[54, 62, 65, 61, 58, 71, 73, 51, 74, 69]"
23,[0.16459305],[0.16517722],[0.],"[54, 62, 65, 61, 58, 71, 73, 51, 74, 53]"
24,[0.16497988],[0.16517722],[0.1637855],"[54, 62, 65, 61, 58, 71, 73, 51, 74, 53]"
25,[0.16500293],[0.16517722],[0.16293899],"[54, 62, 65, 61, 58, 71, 73, 51, 74, 53]"
26,[0.16503803],[0.16517722],[0.16352174],"[54, 62, 65, 61, 58, 71, 73, 51, 74, 53]"
27,[0.16507271],[0.16517722],[0.16404055],"[54, 62, 65, 61, 58, 71, 73, 51, 74, 53]"
28,[0.16512858],[0.16530594],[0.1648306],"[54, 61, 65, 62, 58, 51, 73, 71, 74, 53]"
29,[0.16515809],[0.16531935],[0.16202594],"[54, 61, 62, 65, 58, 51, 73, 71, 74, 53]"
30,[0.16517305],[0.16531935],[0.1628356],"[54, 61, 62, 65, 58, 51, 73, 71, 74, 53]"
31,[0.16518907],[0.16531935],[0.16210033],"[54, 61, 62, 65, 58, 51, 73, 71, 74, 53]"
32,[0.16521188],[0.16531935],[0.16420147],"[54, 61, 62, 65, 58, 51, 73, 71, 74, 53]"
33,[0.16522125],[0.16534715],[0.1648242],"[54, 62, 61, 65, 58, 73, 51, 71, 53, 74]"
34,[0.16491486],[0.16537414],[0.],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
35,[0.16526279],[0.16537414],[0.16173491],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
36,[0.16529006],[0.16537414],[0.16363014],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
37,[0.16495804],[0.16537414],[0.],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
38,[0.16528302],[0.16537414],[0.16287192],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
39,[0.16529186],[0.16537414],[0.16312553],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
40,[0.16529383],[0.16537414],[0.16364084],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
41,[0.16530657],[0.16537414],[0.16269291],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
42,[0.16529586],[0.16537414],[0.16237819],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
43,[0.16528237],[0.16537414],[0.16201333],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
44,[0.1652751],[0.16537414],[0.16303439],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
45,[0.16528483],[0.16537414],[0.16319983],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
46,[0.16528317],[0.16537414],[0.16294206],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
47,[0.1653084],[0.16537414],[0.16378515],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
48,[0.16525622],[0.16537414],[0.1625691],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
49,[0.16525885],[0.16537414],[0.16175587],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
50,[0.16529672],[0.16537414],[0.16406889],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
51,[0.16530928],[0.16537414],[0.16420762],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
52,[0.16530539],[0.16537414],[0.16285068],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
53,[0.16528392],[0.16537414],[0.16279965],"[54, 61, 62, 65, 58, 73, 51, 71, 53, 74]"
54,[0.16529011],[0.16537421],[0.16321381],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
55,[0.16531144],[0.16537421],[0.16321381],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
56,[0.16530841],[0.16537421],[0.16198647],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
57,[0.16530713],[0.16537421],[0.16331254],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
58,[0.16530996],[0.16537421],[0.16193348],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
59,[0.16532372],[0.16537421],[0.16295885],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
60,[0.16531089],[0.16537421],[0.16305508],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
61,[0.16532316],[0.16537421],[0.16435978],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
62,[0.16531863],[0.16537421],[0.16347151],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
63,[0.16529992],[0.16537421],[0.16335473],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
64,[0.16527463],[0.16537421],[0.1622062],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
65,[0.16531196],[0.16537421],[0.16319491],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
66,[0.1653202],[0.16537421],[0.16308971],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
67,[0.16531031],[0.16537421],[0.16350902],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
68,[0.1652903],[0.16537421],[0.16315887],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
69,[0.16527195],[0.16537421],[0.16188135],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
70,[0.16529243],[0.16537421],[0.16349344],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
71,[0.16532153],[0.16537421],[0.16349344],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
72,[0.16531965],[0.16537421],[0.16310322],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
73,[0.16531001],[0.16537421],[0.16284283],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
74,[0.1653308],[0.16537421],[0.1634574],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
75,[0.16530918],[0.16537421],[0.16131602],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
76,[0.16529007],[0.16537421],[0.16161382],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
77,[0.16531509],[0.16537421],[0.16385424],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
78,[0.16532863],[0.16537421],[0.1644762],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
79,[0.1653218],[0.16537421],[0.16214732],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
80,[0.16532721],[0.16537421],[0.16323735],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
81,[0.16532696],[0.16537421],[0.1631347],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
82,[0.16532978],[0.16537421],[0.16340263],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
83,[0.16533479],[0.16537421],[0.16227732],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
84,[0.1653117],[0.16537421],[0.16203614],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
85,[0.16530173],[0.16537421],[0.16267431],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
86,[0.16532769],[0.16537421],[0.16339035],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
87,[0.16531948],[0.16537421],[0.16339035],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
88,[0.16532628],[0.16537421],[0.16368613],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
89,[0.16532195],[0.16537421],[0.16377417],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
90,[0.16530087],[0.16537421],[0.16264225],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
91,[0.16530111],[0.16537421],[0.16350033],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
92,[0.1652909],[0.16537421],[0.16350033],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
93,[0.1653158],[0.16537421],[0.16390734],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
94,[0.16533],[0.16537421],[0.1647208],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
95,[0.16531276],[0.16537421],[0.16306472],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
96,[0.16531206],[0.16537421],[0.16276447],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
97,[0.16528368],[0.16537421],[0.16316008],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
98,[0.16531718],[0.16537421],[0.16373959],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
99,[0.165328],[0.16537421],[0.16430873],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
100,[0.16529805],[0.16537421],[0.16088355],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
101,[0.16530119],[0.16537421],[0.16240245],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
102,[0.16531722],[0.16537421],[0.16325582],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
103,[0.16529585],[0.16537421],[0.1621599],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
104,[0.16529148],[0.16537421],[0.16193323],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
105,[0.16530948],[0.16537421],[0.1627131],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
106,[0.16530998],[0.16537421],[0.16253191],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
107,[0.16532022],[0.16537421],[0.16377872],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
108,[0.16532419],[0.16537421],[0.16448899],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
109,[0.16531714],[0.16537421],[0.16286588],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
110,[0.16531459],[0.16537421],[0.1622179],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
111,[0.1653218],[0.16537421],[0.1622179],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
112,[0.16530249],[0.16537421],[0.162491],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
113,[0.16531887],[0.16537421],[0.16398803],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
114,[0.16532555],[0.16537421],[0.16409402],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
115,[0.1653317],[0.16537421],[0.1628982],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
116,[0.16530934],[0.16537421],[0.16264262],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
117,[0.16528909],[0.16537421],[0.16308176],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
118,[0.1653051],[0.16537421],[0.16331366],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
119,[0.16530744],[0.16537421],[0.16181345],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
120,[0.16532947],[0.16537421],[0.16353711],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
121,[0.16530503],[0.16537421],[0.16254498],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
122,[0.16531777],[0.16537421],[0.16331389],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
123,[0.16533608],[0.16537421],[0.16406847],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
124,[0.16529209],[0.16537421],[0.1621631],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
125,[0.16531726],[0.16537421],[0.16341296],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
126,[0.16530513],[0.16537421],[0.1626827],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
127,[0.16532519],[0.16537421],[0.16393225],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
128,[0.16531302],[0.16537421],[0.16232835],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
129,[0.16532112],[0.16537421],[0.16390563],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
130,[0.16531401],[0.16537421],[0.16269123],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
131,[0.16530552],[0.16537421],[0.16295835],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
132,[0.16532224],[0.16537421],[0.16354879],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
133,[0.16532584],[0.16537421],[0.1637261],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
134,[0.16531332],[0.16537421],[0.16354216],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
135,[0.165318],[0.16537421],[0.16354216],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
136,[0.16532164],[0.16537421],[0.16409714],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
137,[0.16532458],[0.16537421],[0.16390005],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
138,[0.16531399],[0.16537421],[0.16350067],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
139,[0.16529844],[0.16537421],[0.16322271],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
140,[0.16530202],[0.16537421],[0.16338564],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
141,[0.1653069],[0.16537421],[0.16367143],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
142,[0.16528541],[0.16537421],[0.16334731],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
143,[0.16529424],[0.16537421],[0.16349095],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
144,[0.16529327],[0.16537421],[0.16224457],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
145,[0.16526843],[0.16537421],[0.16282889],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
146,[0.165291],[0.16537421],[0.16283573],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
147,[0.16530556],[0.16537421],[0.16265484],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
148,[0.16530477],[0.16537421],[0.16298048],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
149,[0.16529468],[0.16537421],[0.16298048],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
150,[0.16531757],[0.16537421],[0.16291915],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
151,[0.16531868],[0.16537421],[0.163445],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
152,[0.16533206],[0.16537421],[0.16444248],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
153,[0.16532733],[0.16537421],[0.16451743],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
154,[0.16532181],[0.16537421],[0.16228444],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
155,[0.16533463],[0.16537421],[0.16322566],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
156,[0.16530797],[0.16537421],[0.16210662],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
157,[0.16531947],[0.16537421],[0.16120372],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
158,[0.16531748],[0.16537421],[0.16273787],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
159,[0.16533205],[0.16537421],[0.16152088],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
160,[0.16530206],[0.16537421],[0.16289093],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
161,[0.16532105],[0.16537421],[0.16349194],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
162,[0.16531303],[0.16537421],[0.16299471],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
163,[0.16528731],[0.16537421],[0.16104293],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
164,[0.16531513],[0.16537421],[0.16399516],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
165,[0.16530196],[0.16537421],[0.16049409],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
166,[0.1653152],[0.16537421],[0.16211351],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
167,[0.16531253],[0.16537421],[0.16169298],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
168,[0.16531611],[0.16537421],[0.16268906],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
169,[0.16531517],[0.16537421],[0.16409617],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
170,[0.16532468],[0.16537421],[0.16409617],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
171,[0.16530006],[0.16537421],[0.16306533],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
172,[0.16531706],[0.16537421],[0.16409617],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
173,[0.16531876],[0.16537421],[0.16338776],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
174,[0.16530012],[0.16537421],[0.1631838],"[54, 61, 62, 65, 58, 73, 51, 53, 71, 74]"
