Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.13391336],[0.1600069],[0.1070592],"[64, 65, 68, 67, 74, 13, 55, 26, 59, 30]"
2,[0.15939301],[0.17725738],[0.12925897],"[66, 54, 74, 67, 69, 71, 43, 59, 15, 60]"
3,[0.17705458],[0.19678744],[0.14163323],"[64, 65, 62, 69, 54, 74, 43, 68, 59, 60]"
4,[0.19274897],[0.21913154],[0.16385416],"[65, 54, 74, 67, 69, 53, 61, 59, 15, 60]"
5,[0.21212935],[0.23396738],[0.18572386],"[65, 54, 74, 67, 62, 53, 61, 66, 60, 59]"
6,[0.22692315],[0.23483547],[0.20096538],"[65, 54, 74, 67, 62, 53, 61, 59, 57, 60]"
7,[0.23065154],[0.23576095],[0.21382779],"[62, 61, 74, 54, 65, 53, 67, 59, 57, 60]"
8,[0.23173514],[0.23753327],[0.],"[65, 54, 74, 67, 62, 61, 53, 60, 57, 59]"
9,[0.2255735],[0.23753327],[0.],"[65, 54, 74, 67, 62, 61, 53, 60, 57, 59]"
10,[0.23019933],[0.23770986],[0.],"[61, 54, 74, 67, 62, 65, 53, 59, 57, 60]"
11,[0.22981056],[0.24097022],[0.],"[74, 54, 65, 61, 62, 60, 57, 67, 53, 66]"
12,[0.23242904],[0.24132817],[0.],"[65, 54, 74, 61, 62, 60, 57, 67, 53, 59]"
13,[0.23307959],[0.24132867],[0.],"[74, 54, 65, 61, 62, 60, 57, 67, 53, 59]"
14,[0.2377245],[0.2415852],[0.22410362],"[65, 54, 74, 61, 62, 60, 67, 57, 59, 53]"
15,[0.23929895],[0.24159688],[0.],"[74, 54, 65, 61, 62, 60, 67, 57, 53, 59]"
16,[0.24077347],[0.24172792],[0.23105253],"[61, 54, 65, 74, 62, 60, 57, 67, 53, 59]"
17,[0.24033678],[0.24199613],[0.],"[61, 54, 65, 74, 62, 60, 67, 57, 53, 59]"
18,[0.24103671],[0.24199613],[0.22867845],"[61, 54, 65, 74, 62, 60, 67, 57, 53, 59]"
19,[0.24127518],[0.24199613],[0.22867845],"[61, 54, 65, 74, 62, 60, 67, 57, 53, 59]"
20,[0.24127279],[0.24199613],[0.22194027],"[61, 54, 65, 74, 62, 60, 67, 57, 53, 59]"
21,[0.24132238],[0.24199613],[0.22501064],"[61, 54, 65, 74, 62, 60, 67, 57, 53, 59]"
22,[0.24154349],[0.24199638],[0.22442955],"[61, 54, 74, 65, 62, 60, 67, 57, 53, 59]"
23,[0.24156321],[0.24202726],[0.22845628],"[61, 54, 74, 65, 62, 67, 60, 57, 59, 53]"
24,[0.24123863],[0.24203844],[0.21329715],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
25,[0.2415015],[0.24203844],[0.22598392],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
26,[0.24164296],[0.24203844],[0.23252437],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
27,[0.24177418],[0.24203844],[0.23746675],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
28,[0.24171238],[0.24203844],[0.22767679],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
29,[0.24163017],[0.24203844],[0.22442988],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
30,[0.24156152],[0.24203844],[0.21945155],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
31,[0.24151729],[0.24203844],[0.21618783],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
32,[0.24162077],[0.24203844],[0.22597405],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
33,[0.24173342],[0.24203844],[0.23205833],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
34,[0.24166333],[0.24203844],[0.22462112],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
35,[0.24144223],[0.24203844],[0.22486017],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
36,[0.24158279],[0.24203844],[0.22895081],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
37,[0.24159181],[0.24203844],[0.22895081],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
38,[0.24168892],[0.24203844],[0.2172238],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
39,[0.24168761],[0.24203844],[0.22402821],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
40,[0.24160822],[0.24203844],[0.22474],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
41,[0.24159519],[0.24203844],[0.22269463],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
42,[0.2415817],[0.24203844],[0.22652932],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
43,[0.24162521],[0.24203844],[0.22772347],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
44,[0.24142351],[0.24203844],[0.20472899],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
45,[0.24152189],[0.24203844],[0.22571164],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
46,[0.2415311],[0.24203844],[0.22581034],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
47,[0.24159854],[0.24203844],[0.22874635],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
48,[0.24169357],[0.24203844],[0.22684626],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
49,[0.24139563],[0.24203844],[0.21925353],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
50,[0.24156296],[0.24203844],[0.21644952],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
51,[0.24177521],[0.24203844],[0.2236602],"[61, 54, 74, 65, 62, 67, 60, 57, 53, 59]"
52,[0.24189561],[0.24259383],[0.22962914],"[54, 61, 65, 74, 62, 67, 60, 57, 53, 59]"
53,[0.24193473],[0.24259408],[0.22965884],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
54,[0.24160108],[0.24259408],[0.21229319],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
55,[0.24165597],[0.24259408],[0.21942086],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
56,[0.24183642],[0.24259408],[0.2295225],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
57,[0.24207747],[0.24259408],[0.23206532],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
58,[0.2420639],[0.24259408],[0.23206532],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
59,[0.24216751],[0.24259408],[0.22706342],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
60,[0.24207631],[0.24259408],[0.22706342],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
61,[0.24198417],[0.24259408],[0.22722216],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
62,[0.24203059],[0.24259408],[0.23065],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
63,[0.24210062],[0.24259408],[0.22439178],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
64,[0.24215271],[0.24259408],[0.22549305],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
65,[0.24217008],[0.24259408],[0.22743941],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
66,[0.24222726],[0.24259408],[0.23463815],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
67,[0.24198748],[0.24259408],[0.21157736],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
68,[0.24211218],[0.24259408],[0.22942078],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
69,[0.24216718],[0.24259408],[0.22564517],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
70,[0.24217557],[0.24259408],[0.22122156],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
71,[0.24226249],[0.24259408],[0.23718901],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
72,[0.24227583],[0.24259408],[0.23793156],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
73,[0.24221333],[0.24259408],[0.22295727],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
74,[0.24190915],[0.24259408],[0.22688695],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
75,[0.24198781],[0.24259408],[0.22141314],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
76,[0.24211963],[0.24259408],[0.22257493],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
77,[0.24223517],[0.24259408],[0.22830808],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
78,[0.2421809],[0.24259408],[0.22218695],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
79,[0.24207563],[0.24259408],[0.21022147],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
80,[0.24197828],[0.24259408],[0.21542292],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
81,[0.24219037],[0.24259408],[0.22949996],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
82,[0.24218387],[0.24259408],[0.22538179],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
83,[0.24230532],[0.24259408],[0.22377601],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
84,[0.24235409],[0.24259408],[0.22694787],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
85,[0.24233289],[0.24259408],[0.23257695],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
86,[0.2423201],[0.24259408],[0.23282028],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
87,[0.24227766],[0.24259408],[0.22921468],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
88,[0.2423309],[0.24259408],[0.22656299],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
89,[0.24193037],[0.24259408],[0.22590848],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
90,[0.24218556],[0.24259408],[0.22605999],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
91,[0.24239531],[0.24259408],[0.23690927],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
92,[0.24228256],[0.24259408],[0.22351535],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
93,[0.24233925],[0.24259408],[0.22716929],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
94,[0.24183852],[0.24259408],[0.],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
95,[0.24216729],[0.24259408],[0.2254021],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
96,[0.24225747],[0.24259408],[0.23032352],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
97,[0.24228272],[0.24259408],[0.22705036],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
98,[0.24224688],[0.24259408],[0.22378874],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
99,[0.24227347],[0.24259408],[0.22674165],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
100,[0.24219812],[0.24259408],[0.22674165],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
101,[0.2420194],[0.24259408],[0.22216439],"[54, 61, 74, 65, 62, 67, 60, 57, 53, 59]"
