Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.12362965],[0.17374453],[0.09098231],"[52, 54, 58, 43, 65, 60, 56, 32, 45, 61]"
2,[0.15965938],[0.19985999],[0.10840664],"[65, 54, 58, 43, 26, 56, 60, 52, 62, 61]"
3,[0.18540122],[0.21716236],[0.14156715],"[61, 54, 58, 43, 65, 60, 56, 57, 59, 27]"
4,[0.20038781],[0.22169615],[0.],"[61, 54, 58, 71, 65, 60, 56, 57, 45, 27]"
5,[0.21398928],[0.22750026],[0.17617658],"[61, 54, 58, 71, 65, 60, 56, 57, 62, 27]"
6,[0.22184256],[0.23490422],[0.19861051],"[58, 61, 54, 65, 56, 62, 60, 26, 59, 27]"
7,[0.22036548],[0.23903089],[0.],"[58, 61, 54, 65, 56, 62, 60, 57, 59, 27]"
8,[0.22727686],[0.24399593],[0.],"[54, 61, 58, 65, 56, 62, 60, 57, 59, 27]"
9,[0.23410357],[0.24399593],[0.16529168],"[54, 61, 58, 65, 56, 62, 60, 57, 59, 27]"
10,[0.2375215],[0.24487571],[0.1910687],"[54, 61, 58, 65, 56, 62, 60, 57, 59, 71]"
11,[0.24023493],[0.24515988],[0.22182654],"[54, 61, 58, 56, 65, 62, 60, 59, 57, 71]"
12,[0.24243523],[0.24631321],[0.22967647],"[54, 58, 56, 65, 61, 62, 60, 59, 57, 71]"
13,[0.24282938],[0.24631321],[0.20825803],"[54, 58, 56, 65, 61, 62, 60, 59, 57, 71]"
14,[0.24313867],[0.24631321],[0.21836097],"[54, 58, 56, 65, 61, 62, 60, 59, 57, 71]"
15,[0.24322301],[0.24631321],[0.21962386],"[54, 58, 56, 65, 61, 62, 60, 59, 57, 71]"
16,[0.24360756],[0.24631321],[0.21962386],"[54, 58, 56, 65, 61, 62, 60, 59, 57, 71]"
17,[0.24388245],[0.24634496],[0.22819098],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
18,[0.24400097],[0.24634496],[0.22564799],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
19,[0.24422649],[0.24634496],[0.22408714],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
20,[0.24461218],[0.24634496],[0.2315286],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
21,[0.24488572],[0.24634496],[0.23145472],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
22,[0.24498046],[0.24634496],[0.22753903],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
23,[0.24505649],[0.24634496],[0.20986583],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
24,[0.24536175],[0.24634496],[0.23285427],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
25,[0.24548812],[0.24634496],[0.23177802],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
26,[0.24525333],[0.24634496],[0.21670532],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
27,[0.24545028],[0.24634496],[0.23659604],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
28,[0.24547503],[0.24634496],[0.21884318],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
29,[0.24551013],[0.24634496],[0.23558413],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
30,[0.24558445],[0.24634496],[0.21596294],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
31,[0.24573864],[0.24634496],[0.22638201],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
32,[0.24549647],[0.24634496],[0.22573622],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
33,[0.24571048],[0.24634496],[0.23681771],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
34,[0.24536094],[0.24634496],[0.21387099],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
35,[0.24552379],[0.24634496],[0.22129949],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
36,[0.24552548],[0.24634496],[0.21252534],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
37,[0.24543594],[0.24634496],[0.23037057],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
38,[0.24555933],[0.24634496],[0.23331224],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
39,[0.24560882],[0.24634496],[0.21857612],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
40,[0.24552119],[0.24634496],[0.21986038],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
41,[0.24563246],[0.24634496],[0.22773647],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
42,[0.24556237],[0.24634496],[0.220396],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
43,[0.24558051],[0.24634496],[0.22922866],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
44,[0.24563195],[0.24634496],[0.22571587],"[54, 58, 56, 65, 61, 62, 59, 57, 60, 71]"
45,[0.24572084],[0.2463909],[0.23415456],"[54, 58, 56, 65, 61, 62, 59, 60, 57, 71]"
46,[0.24578904],[0.2463909],[0.23101816],"[54, 58, 56, 65, 61, 62, 59, 60, 57, 71]"
47,[0.24583503],[0.2463909],[0.22612078],"[54, 58, 56, 65, 61, 62, 59, 60, 57, 71]"
48,[0.24564676],[0.2463909],[0.21741525],"[54, 58, 56, 65, 61, 62, 59, 60, 57, 71]"
49,[0.24579814],[0.2463909],[0.22301802],"[54, 58, 56, 65, 61, 62, 59, 60, 57, 71]"
50,[0.24581133],[0.2463909],[0.2239846],"[54, 58, 56, 65, 61, 62, 59, 60, 57, 71]"
51,[0.24596243],[0.2463909],[0.23226367],"[54, 58, 56, 65, 61, 62, 59, 60, 57, 71]"
52,[0.24577647],[0.2463909],[0.22299806],"[54, 58, 56, 65, 61, 62, 59, 60, 57, 71]"
53,[0.24591667],[0.2463909],[0.22638025],"[54, 58, 56, 65, 61, 62, 59, 60, 57, 71]"
54,[0.24569788],[0.2463909],[0.22377455],"[54, 58, 56, 65, 61, 62, 59, 60, 57, 71]"
55,[0.24579208],[0.2463909],[0.2220354],"[54, 58, 56, 65, 61, 62, 59, 60, 57, 71]"
56,[0.24569681],[0.2463909],[0.21614855],"[54, 58, 56, 65, 61, 62, 59, 60, 57, 71]"
57,[0.24572936],[0.2463909],[0.19733123],"[54, 58, 56, 65, 61, 62, 59, 60, 57, 71]"
58,[0.2458499],[0.2463909],[0.23048193],"[54, 58, 56, 65, 61, 62, 59, 60, 57, 71]"
