NB_recommended_files,Best_solution,Recommended_files,Co_modified_files,Commits_hash,PRECISION,RECALL,FSCORE,SUCCESS_RATE,MRR
[10],"[[679, 575, 224, 169, 110, 225, 494, 437, 537, 728]]","[['iiab/roles/vnstat/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/nginx/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/awstats/tasks/nginx.yml_(IaC)_', 'iiab/roles/minetest/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/postgresql/tasks/install.yml_(IaC)_', 'iiab/roles/awstats/tasks/install.yml_(IaC)_', 'iiab/roles/www_options/tasks/main.yml_(IaC)_', 'iiab/roles/network/templates/named/dns-jail.conf_(Other)_', 'iiab/roles/iiab-admin/tasks/main.yml_(IaC)_', 'iiab/scripts/ansible.md.unused_(Other)_']]","[['iiab/iiab-install_(Other)_', 'iiab/roles/1-prep/tasks/hardware.yml_(IaC)_', 'iiab/roles/calibre/defaults/main.yml_(Other)_', 'iiab/roles/firmware/tasks/download.yml_(IaC)_', 'iiab/roles/iiab-admin/tasks/main.yml_(IaC)_', 'iiab/roles/kiwix/defaults/main.yml_(Other)_', 'iiab/roles/kiwix/tasks/install.yml_(IaC)_', 'iiab/roles/mongodb/tasks/install.yml_(IaC)_', 'iiab/roles/monit/templates/monitrc.unused_(Other)_', 'iiab/roles/nextcloud/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/tasks/install.yml_(IaC)_', 'iiab/roles/pbx/defaults/main.yml_(Other)_', 'iiab/roles/pbx/tasks/chan_dongle.yml_(IaC)_', 'iiab/roles/pbx/tasks/freepbx.yml_(IaC)_', 'iiab/roles/samba/templates/smb.conf.j2_(Other)_', 'iiab/roles/sugarizer/tasks/install.yml_(IaC)_', 'iiab/roles/transmission/defaults/main.yml_(Other)_', 'iiab/roles/www_base/tasks/php-stem.yml_(IaC)_', 'iiab/scripts/ansible_(Other)_', 'iiab/vars/default_vars.yml_(Other)_', 'iiab/vars/local_vars_large.yml_(Other)_', 'iiab/vars/local_vars_medium.yml_(Other)_', 'iiab/vars/local_vars_small.yml_(Other)_', 'iiab/vars/local_vars_unittest.yml_(Other)_', 'iiab/vars/raspbian-10.yml_(Other)_', 'iiab/vars/raspbian-11.yml_(Other)_', 'iiab/vars/raspbian-9.yml_(Other)_']]",['9f13454e8331843516d9f34be463a798d7f67611'],[0.1],[0.03571428571428571],[0.05263157894736841],[1],[0.1111111111111111]
[10],"[[575, 487, 710, 153, 212, 468, 156, 498, 350, 225]]","[['iiab/roles/nginx/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/munin/tasks/nginx.yml_(IaC)_', 'iiab/roles/cups/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/nodered/tasks/nginx.yml_(IaC)_', 'iiab/roles/moodle/tasks/main.yml_(IaC)_', 'iiab/roles/pbx/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/nodered/tasks/install.yml_(IaC)_', 'iiab/roles/9-local-addons/tasks/main.yml_(IaC)_', 'iiab/roles/sugarizer/templates/sugarizer-nginx.conf.j2_(Other)_', 'iiab/roles/awstats/tasks/install.yml_(IaC)_']]","[['iiab/iiab-install_(Other)_', 'iiab/roles/1-prep/tasks/hardware.yml_(IaC)_', 'iiab/roles/calibre/defaults/main.yml_(Other)_', 'iiab/roles/firmware/tasks/download.yml_(IaC)_', 'iiab/roles/iiab-admin/tasks/main.yml_(IaC)_', 'iiab/roles/kiwix/defaults/main.yml_(Other)_', 'iiab/roles/kiwix/tasks/install.yml_(IaC)_', 'iiab/roles/mongodb/tasks/install.yml_(IaC)_', 'iiab/roles/monit/templates/monitrc.unused_(Other)_', 'iiab/roles/nextcloud/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/tasks/install.yml_(IaC)_', 'iiab/roles/pbx/defaults/main.yml_(Other)_', 'iiab/roles/pbx/tasks/chan_dongle.yml_(IaC)_', 'iiab/roles/pbx/tasks/freepbx.yml_(IaC)_', 'iiab/roles/samba/templates/smb.conf.j2_(Other)_', 'iiab/roles/sugarizer/tasks/install.yml_(IaC)_', 'iiab/roles/transmission/defaults/main.yml_(Other)_', 'iiab/roles/www_base/tasks/php-stem.yml_(IaC)_', 'iiab/scripts/ansible_(Other)_', 'iiab/vars/default_vars.yml_(Other)_', 'iiab/vars/local_vars_large.yml_(Other)_', 'iiab/vars/local_vars_medium.yml_(Other)_', 'iiab/vars/local_vars_small.yml_(Other)_', 'iiab/vars/local_vars_unittest.yml_(Other)_', 'iiab/vars/raspbian-10.yml_(Other)_', 'iiab/vars/raspbian-11.yml_(Other)_', 'iiab/vars/raspbian-9.yml_(Other)_']]",['9f13454e8331843516d9f34be463a798d7f67611'],[0.0],[0.0],[0],[0],[0]
[10],"[[468, 673, 679, 158, 668, 510, 655, 316, 604, 670, 330]]","[['iiab/roles/pbx/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/0-init/tasks/create_iiab_ini.yml_(IaC)_', 'iiab/roles/vnstat/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/nodered/tasks/main.yml_(IaC)_', 'iiab/roles/transmission/tasks/main.yml_(IaC)_', 'iiab/roles/mongodb/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/2-common/templates/li.nux.ro.repo.unused_(Other)_', 'iiab/roles/0-DEPRECATED-ROLES/teamviewer/tasks/main.yml_(IaC)_', 'iiab/roles/mysql/tasks/main.yml_(IaC)_', 'iiab/roles/transmission/templates/settings.json.j2_(Other)_', 'iiab/roles/0-DEPRECATED-ROLES/ejabberd_xs/templates/ejabberd.tmpfiles_(Other)_']]","[['iiab/iiab-install_(Other)_', 'iiab/roles/1-prep/tasks/hardware.yml_(IaC)_', 'iiab/roles/calibre/defaults/main.yml_(Other)_', 'iiab/roles/firmware/tasks/download.yml_(IaC)_', 'iiab/roles/iiab-admin/tasks/main.yml_(IaC)_', 'iiab/roles/kiwix/defaults/main.yml_(Other)_', 'iiab/roles/kiwix/tasks/install.yml_(IaC)_', 'iiab/roles/mongodb/tasks/install.yml_(IaC)_', 'iiab/roles/monit/templates/monitrc.unused_(Other)_', 'iiab/roles/nextcloud/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/tasks/install.yml_(IaC)_', 'iiab/roles/pbx/defaults/main.yml_(Other)_', 'iiab/roles/pbx/tasks/chan_dongle.yml_(IaC)_', 'iiab/roles/pbx/tasks/freepbx.yml_(IaC)_', 'iiab/roles/samba/templates/smb.conf.j2_(Other)_', 'iiab/roles/sugarizer/tasks/install.yml_(IaC)_', 'iiab/roles/transmission/defaults/main.yml_(Other)_', 'iiab/roles/www_base/tasks/php-stem.yml_(IaC)_', 'iiab/scripts/ansible_(Other)_', 'iiab/vars/default_vars.yml_(Other)_', 'iiab/vars/local_vars_large.yml_(Other)_', 'iiab/vars/local_vars_medium.yml_(Other)_', 'iiab/vars/local_vars_small.yml_(Other)_', 'iiab/vars/local_vars_unittest.yml_(Other)_', 'iiab/vars/raspbian-10.yml_(Other)_', 'iiab/vars/raspbian-11.yml_(Other)_', 'iiab/vars/raspbian-9.yml_(Other)_']]",['9f13454e8331843516d9f34be463a798d7f67611'],[0.0],[0.0],[0],[0],[0]
[10],"[[575, 679, 710, 375, 353, 111, 568, 169, 361, 218]]","[['iiab/roles/nginx/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/vnstat/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/cups/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/network/tasks/fedora/redetect.yml_(IaC)_', 'iiab/roles/network/tasks/debian.yml_(IaC)_', 'iiab/roles/postgresql/tasks/main.yml_(IaC)_', 'iiab/roles/samba/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/minetest/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/network/tasks/enable_services.yml_(IaC)_', 'iiab/roles/phpmyadmin/tasks/enable-or-disable.yml_(IaC)_']]","[['iiab/iiab-install_(Other)_', 'iiab/roles/1-prep/tasks/hardware.yml_(IaC)_', 'iiab/roles/calibre/defaults/main.yml_(Other)_', 'iiab/roles/firmware/tasks/download.yml_(IaC)_', 'iiab/roles/iiab-admin/tasks/main.yml_(IaC)_', 'iiab/roles/kiwix/defaults/main.yml_(Other)_', 'iiab/roles/kiwix/tasks/install.yml_(IaC)_', 'iiab/roles/mongodb/tasks/install.yml_(IaC)_', 'iiab/roles/monit/templates/monitrc.unused_(Other)_', 'iiab/roles/nextcloud/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/tasks/install.yml_(IaC)_', 'iiab/roles/pbx/defaults/main.yml_(Other)_', 'iiab/roles/pbx/tasks/chan_dongle.yml_(IaC)_', 'iiab/roles/pbx/tasks/freepbx.yml_(IaC)_', 'iiab/roles/samba/templates/smb.conf.j2_(Other)_', 'iiab/roles/sugarizer/tasks/install.yml_(IaC)_', 'iiab/roles/transmission/defaults/main.yml_(Other)_', 'iiab/roles/www_base/tasks/php-stem.yml_(IaC)_', 'iiab/scripts/ansible_(Other)_', 'iiab/vars/default_vars.yml_(Other)_', 'iiab/vars/local_vars_large.yml_(Other)_', 'iiab/vars/local_vars_medium.yml_(Other)_', 'iiab/vars/local_vars_small.yml_(Other)_', 'iiab/vars/local_vars_unittest.yml_(Other)_', 'iiab/vars/raspbian-10.yml_(Other)_', 'iiab/vars/raspbian-11.yml_(Other)_', 'iiab/vars/raspbian-9.yml_(Other)_']]",['9f13454e8331843516d9f34be463a798d7f67611'],[0.0],[0.0],[0],[0],[0]
[10],"[[44, 679, 377, 635, 273, 461, 173, 668, 452, 208]]","[['iiab/roles/mosquitto/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/vnstat/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/network/tasks/fedora/static.yml_(IaC)_', 'iiab/roles/monit/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/0-DEPRECATED-ROLES/authserver/tasks/main.yml_(IaC)_', 'iiab/roles/pbx/tasks/freepbx.yml_(IaC)_', 'iiab/roles/minetest/templates/minetest-server.service.j2_(Other)_', 'iiab/roles/transmission/tasks/main.yml_(IaC)_', 'iiab/roles/usb_lib/tasks/apache.yml.unused_(IaC)_', 'iiab/roles/moodle/tasks/apache.yml.unused_(IaC)_']]","[['iiab/iiab-install_(Other)_', 'iiab/roles/1-prep/tasks/hardware.yml_(IaC)_', 'iiab/roles/calibre/defaults/main.yml_(Other)_', 'iiab/roles/firmware/tasks/download.yml_(IaC)_', 'iiab/roles/iiab-admin/tasks/main.yml_(IaC)_', 'iiab/roles/kiwix/defaults/main.yml_(Other)_', 'iiab/roles/kiwix/tasks/install.yml_(IaC)_', 'iiab/roles/mongodb/tasks/install.yml_(IaC)_', 'iiab/roles/monit/templates/monitrc.unused_(Other)_', 'iiab/roles/nextcloud/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/tasks/install.yml_(IaC)_', 'iiab/roles/pbx/defaults/main.yml_(Other)_', 'iiab/roles/pbx/tasks/chan_dongle.yml_(IaC)_', 'iiab/roles/pbx/tasks/freepbx.yml_(IaC)_', 'iiab/roles/samba/templates/smb.conf.j2_(Other)_', 'iiab/roles/sugarizer/tasks/install.yml_(IaC)_', 'iiab/roles/transmission/defaults/main.yml_(Other)_', 'iiab/roles/www_base/tasks/php-stem.yml_(IaC)_', 'iiab/scripts/ansible_(Other)_', 'iiab/vars/default_vars.yml_(Other)_', 'iiab/vars/local_vars_large.yml_(Other)_', 'iiab/vars/local_vars_medium.yml_(Other)_', 'iiab/vars/local_vars_small.yml_(Other)_', 'iiab/vars/local_vars_unittest.yml_(Other)_', 'iiab/vars/raspbian-10.yml_(Other)_', 'iiab/vars/raspbian-11.yml_(Other)_', 'iiab/vars/raspbian-9.yml_(Other)_']]",['9f13454e8331843516d9f34be463a798d7f67611'],[0.1],[0.03571428571428571],[0.05263157894736841],[1],[0.16666666666666666]
[10],"[[510, 575, 174, 143, 364, 679, 694, 219, 561, 592]]","[['iiab/roles/mongodb/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/nginx/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/wordpress/tasks/apache.yml.unused_(IaC)_', 'iiab/roles/kiwix/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/network/tasks/wondershaper.yml.unused_(IaC)_', 'iiab/roles/vnstat/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/7-edu-apps/tasks/main.yml_(IaC)_', 'iiab/roles/phpmyadmin/tasks/main.yml_(IaC)_', 'iiab/roles/kolibri/tasks/install.yml_(IaC)_', 'iiab/roles/bluetooth/templates/network.conf.j2_(Other)_']]","[['iiab/iiab-install_(Other)_', 'iiab/roles/1-prep/tasks/hardware.yml_(IaC)_', 'iiab/roles/calibre/defaults/main.yml_(Other)_', 'iiab/roles/firmware/tasks/download.yml_(IaC)_', 'iiab/roles/iiab-admin/tasks/main.yml_(IaC)_', 'iiab/roles/kiwix/defaults/main.yml_(Other)_', 'iiab/roles/kiwix/tasks/install.yml_(IaC)_', 'iiab/roles/mongodb/tasks/install.yml_(IaC)_', 'iiab/roles/monit/templates/monitrc.unused_(Other)_', 'iiab/roles/nextcloud/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/tasks/install.yml_(IaC)_', 'iiab/roles/pbx/defaults/main.yml_(Other)_', 'iiab/roles/pbx/tasks/chan_dongle.yml_(IaC)_', 'iiab/roles/pbx/tasks/freepbx.yml_(IaC)_', 'iiab/roles/samba/templates/smb.conf.j2_(Other)_', 'iiab/roles/sugarizer/tasks/install.yml_(IaC)_', 'iiab/roles/transmission/defaults/main.yml_(Other)_', 'iiab/roles/www_base/tasks/php-stem.yml_(IaC)_', 'iiab/scripts/ansible_(Other)_', 'iiab/vars/default_vars.yml_(Other)_', 'iiab/vars/local_vars_large.yml_(Other)_', 'iiab/vars/local_vars_medium.yml_(Other)_', 'iiab/vars/local_vars_small.yml_(Other)_', 'iiab/vars/local_vars_unittest.yml_(Other)_', 'iiab/vars/raspbian-10.yml_(Other)_', 'iiab/vars/raspbian-11.yml_(Other)_', 'iiab/vars/raspbian-9.yml_(Other)_']]",['9f13454e8331843516d9f34be463a798d7f67611'],[0.0],[0.0],[0],[0],[0]
[10],"[[362, 635, 589, 679, 562, 568, 467, 721, 251, 130]]","[['iiab/roles/network/tasks/restart.yml_(IaC)_', 'iiab/roles/monit/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/bluetooth/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/vnstat/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/kolibri/tasks/main.yml_(IaC)_', 'iiab/roles/samba/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/pbx/tasks/install.yml_(IaC)_', 'iiab/roles/matomo/tasks/install.yml_(IaC)_', 'iiab/roles/0-DEPRECATED-ROLES/docker/templates/docker.socket_(Other)_', 'iiab/roles/firmware/templates/iiab-firmware-warn.sh_(Other)_']]","[['iiab/iiab-install_(Other)_', 'iiab/roles/1-prep/tasks/hardware.yml_(IaC)_', 'iiab/roles/calibre/defaults/main.yml_(Other)_', 'iiab/roles/firmware/tasks/download.yml_(IaC)_', 'iiab/roles/iiab-admin/tasks/main.yml_(IaC)_', 'iiab/roles/kiwix/defaults/main.yml_(Other)_', 'iiab/roles/kiwix/tasks/install.yml_(IaC)_', 'iiab/roles/mongodb/tasks/install.yml_(IaC)_', 'iiab/roles/monit/templates/monitrc.unused_(Other)_', 'iiab/roles/nextcloud/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/tasks/install.yml_(IaC)_', 'iiab/roles/pbx/defaults/main.yml_(Other)_', 'iiab/roles/pbx/tasks/chan_dongle.yml_(IaC)_', 'iiab/roles/pbx/tasks/freepbx.yml_(IaC)_', 'iiab/roles/samba/templates/smb.conf.j2_(Other)_', 'iiab/roles/sugarizer/tasks/install.yml_(IaC)_', 'iiab/roles/transmission/defaults/main.yml_(Other)_', 'iiab/roles/www_base/tasks/php-stem.yml_(IaC)_', 'iiab/scripts/ansible_(Other)_', 'iiab/vars/default_vars.yml_(Other)_', 'iiab/vars/local_vars_large.yml_(Other)_', 'iiab/vars/local_vars_medium.yml_(Other)_', 'iiab/vars/local_vars_small.yml_(Other)_', 'iiab/vars/local_vars_unittest.yml_(Other)_', 'iiab/vars/raspbian-10.yml_(Other)_', 'iiab/vars/raspbian-11.yml_(Other)_', 'iiab/vars/raspbian-9.yml_(Other)_']]",['9f13454e8331843516d9f34be463a798d7f67611'],[0.0],[0.0],[0],[0],[0]
[10],"[[703, 710, 679, 716, 230, 666, 682, 372, 116, 368]]","[['iiab/roles/remoteit/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/cups/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/vnstat/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/azuracast/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/awstats/templates/apache.conf.unused_(Other)_', 'iiab/roles/transmission/tasks/install.yml_(IaC)_', 'iiab/roles/1-prep/tasks/hardware.yml_(IaC)_', 'iiab/roles/network/tasks/fedora/hosts.yml.deprecated_(IaC)_', 'iiab/roles/captiveportal/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/network/tasks/main.yml_(IaC)_']]","[['iiab/iiab-install_(Other)_', 'iiab/roles/1-prep/tasks/hardware.yml_(IaC)_', 'iiab/roles/calibre/defaults/main.yml_(Other)_', 'iiab/roles/firmware/tasks/download.yml_(IaC)_', 'iiab/roles/iiab-admin/tasks/main.yml_(IaC)_', 'iiab/roles/kiwix/defaults/main.yml_(Other)_', 'iiab/roles/kiwix/tasks/install.yml_(IaC)_', 'iiab/roles/mongodb/tasks/install.yml_(IaC)_', 'iiab/roles/monit/templates/monitrc.unused_(Other)_', 'iiab/roles/nextcloud/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/tasks/install.yml_(IaC)_', 'iiab/roles/pbx/defaults/main.yml_(Other)_', 'iiab/roles/pbx/tasks/chan_dongle.yml_(IaC)_', 'iiab/roles/pbx/tasks/freepbx.yml_(IaC)_', 'iiab/roles/samba/templates/smb.conf.j2_(Other)_', 'iiab/roles/sugarizer/tasks/install.yml_(IaC)_', 'iiab/roles/transmission/defaults/main.yml_(Other)_', 'iiab/roles/www_base/tasks/php-stem.yml_(IaC)_', 'iiab/scripts/ansible_(Other)_', 'iiab/vars/default_vars.yml_(Other)_', 'iiab/vars/local_vars_large.yml_(Other)_', 'iiab/vars/local_vars_medium.yml_(Other)_', 'iiab/vars/local_vars_small.yml_(Other)_', 'iiab/vars/local_vars_unittest.yml_(Other)_', 'iiab/vars/raspbian-10.yml_(Other)_', 'iiab/vars/raspbian-11.yml_(Other)_', 'iiab/vars/raspbian-9.yml_(Other)_']]",['9f13454e8331843516d9f34be463a798d7f67611'],[0.1],[0.03571428571428571],[0.05263157894736841],[1],[0.14285714285714285]
[10],"[[169, 679, 278, 500, 209, 173, 187, 651, 179, 535]]","[['iiab/roles/minetest/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/vnstat/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/0-DEPRECATED-ROLES/nodogsplash/defaults/main.yml_(Other)_', 'iiab/roles/jupyterhub/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/moodle/tasks/nginx.yml_(IaC)_', 'iiab/roles/minetest/templates/minetest-server.service.j2_(Other)_', 'iiab/roles/sshd/tasks/main.yml_(IaC)_', 'iiab/roles/2-common/tasks/iiab-startup.yml_(IaC)_', 'iiab/roles/wordpress/defaults/main.yml_(Other)_', 'iiab/roles/iiab-admin/tasks/admin-user.yml_(IaC)_']]","[['iiab/iiab-install_(Other)_', 'iiab/roles/1-prep/tasks/hardware.yml_(IaC)_', 'iiab/roles/calibre/defaults/main.yml_(Other)_', 'iiab/roles/firmware/tasks/download.yml_(IaC)_', 'iiab/roles/iiab-admin/tasks/main.yml_(IaC)_', 'iiab/roles/kiwix/defaults/main.yml_(Other)_', 'iiab/roles/kiwix/tasks/install.yml_(IaC)_', 'iiab/roles/mongodb/tasks/install.yml_(IaC)_', 'iiab/roles/monit/templates/monitrc.unused_(Other)_', 'iiab/roles/nextcloud/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/tasks/install.yml_(IaC)_', 'iiab/roles/pbx/defaults/main.yml_(Other)_', 'iiab/roles/pbx/tasks/chan_dongle.yml_(IaC)_', 'iiab/roles/pbx/tasks/freepbx.yml_(IaC)_', 'iiab/roles/samba/templates/smb.conf.j2_(Other)_', 'iiab/roles/sugarizer/tasks/install.yml_(IaC)_', 'iiab/roles/transmission/defaults/main.yml_(Other)_', 'iiab/roles/www_base/tasks/php-stem.yml_(IaC)_', 'iiab/scripts/ansible_(Other)_', 'iiab/vars/default_vars.yml_(Other)_', 'iiab/vars/local_vars_large.yml_(Other)_', 'iiab/vars/local_vars_medium.yml_(Other)_', 'iiab/vars/local_vars_small.yml_(Other)_', 'iiab/vars/local_vars_unittest.yml_(Other)_', 'iiab/vars/raspbian-10.yml_(Other)_', 'iiab/vars/raspbian-11.yml_(Other)_', 'iiab/vars/raspbian-9.yml_(Other)_']]",['9f13454e8331843516d9f34be463a798d7f67611'],[0.0],[0.0],[0],[0],[0]
[10],"[[666, 494, 110, 186, 368, 99, 327, 144, 334, 226]]","[['iiab/roles/transmission/tasks/install.yml_(IaC)_', 'iiab/roles/www_options/tasks/main.yml_(IaC)_', 'iiab/roles/postgresql/tasks/install.yml_(IaC)_', 'iiab/roles/sshd/tasks/enable-or-disable.yml_(IaC)_', 'iiab/roles/network/tasks/main.yml_(IaC)_', 'iiab/roles/calibre-web/tasks/apache.yml.unused_(IaC)_', 'iiab/roles/0-DEPRECATED-ROLES/ejabberd_xs/templates/ejabberd-xs.cfg.j2_(Other)_', 'iiab/roles/kiwix/tasks/kiwix-apk.yml_(IaC)_', 'iiab/roles/0-DEPRECATED-ROLES/rachel/tasks/rachel_enabled.yml_(IaC)_', 'iiab/roles/awstats/tasks/main.yml_(IaC)_']]","[['iiab/iiab-install_(Other)_', 'iiab/roles/1-prep/tasks/hardware.yml_(IaC)_', 'iiab/roles/calibre/defaults/main.yml_(Other)_', 'iiab/roles/firmware/tasks/download.yml_(IaC)_', 'iiab/roles/iiab-admin/tasks/main.yml_(IaC)_', 'iiab/roles/kiwix/defaults/main.yml_(Other)_', 'iiab/roles/kiwix/tasks/install.yml_(IaC)_', 'iiab/roles/mongodb/tasks/install.yml_(IaC)_', 'iiab/roles/monit/templates/monitrc.unused_(Other)_', 'iiab/roles/nextcloud/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/defaults/main.yml_(Other)_', 'iiab/roles/osm-vector-maps/tasks/install.yml_(IaC)_', 'iiab/roles/pbx/defaults/main.yml_(Other)_', 'iiab/roles/pbx/tasks/chan_dongle.yml_(IaC)_', 'iiab/roles/pbx/tasks/freepbx.yml_(IaC)_', 'iiab/roles/samba/templates/smb.conf.j2_(Other)_', 'iiab/roles/sugarizer/tasks/install.yml_(IaC)_', 'iiab/roles/transmission/defaults/main.yml_(Other)_', 'iiab/roles/www_base/tasks/php-stem.yml_(IaC)_', 'iiab/scripts/ansible_(Other)_', 'iiab/vars/default_vars.yml_(Other)_', 'iiab/vars/local_vars_large.yml_(Other)_', 'iiab/vars/local_vars_medium.yml_(Other)_', 'iiab/vars/local_vars_small.yml_(Other)_', 'iiab/vars/local_vars_unittest.yml_(Other)_', 'iiab/vars/raspbian-10.yml_(Other)_', 'iiab/vars/raspbian-11.yml_(Other)_', 'iiab/vars/raspbian-9.yml_(Other)_']]",['9f13454e8331843516d9f34be463a798d7f67611'],[0.0],[0.0],[0],[0],[0]
