Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.13035108],[0.16676512],[0.09727683],"[67, 66, 35, 73, 11, 142, 78, 117, 89, 94]"
2,[0.16760981],[0.1939512],[0.12801359],"[67, 66, 35, 73, 39, 72, 78, 117, 89, 94]"
3,[0.19282246],[0.20966534],[0.15608833],"[34, 37, 73, 67, 66, 45, 71, 74, 44, 61]"
4,[0.20812309],[0.22316085],[0.18009159],"[68, 67, 73, 45, 66, 72, 51, 85, 50, 61, 62]"
5,[0.22047437],[0.23041332],[0.20414239],"[61, 67, 73, 68, 66, 45, 74, 44, 71, 34]"
6,[0.22595978],[0.23156168],[0.20966534],"[61, 67, 73, 68, 66, 72, 74, 44, 50, 34]"
7,[0.22911428],[0.23257246],[0.22035835],"[67, 61, 73, 68, 66, 34, 74, 44, 50, 72]"
8,[0.23129629],[0.23382701],[0.21032031],"[67, 61, 73, 68, 66, 45, 74, 44, 50, 72]"
9,[0.23292358],[0.23543119],[0.22708682],"[68, 67, 73, 61, 66, 45, 74, 34, 85, 72]"
10,[0.2337851],[0.23646079],[0.21629826],"[67, 73, 68, 61, 66, 45, 74, 34, 50, 72]"
11,[0.23352636],[0.23695354],[0.],"[67, 73, 68, 61, 66, 72, 45, 34, 85, 74]"
12,[0.2343367],[0.23731414],[0.],"[67, 73, 68, 61, 66, 72, 45, 34, 50, 74]"
13,[0.23507627],[0.23753246],[0.22208178],"[67, 68, 73, 61, 66, 72, 45, 34, 50, 74]"
14,[0.2356262],[0.23753246],[0.22859317],"[67, 68, 73, 61, 66, 72, 45, 34, 50, 74]"
15,[0.23596604],[0.23753246],[0.22980805],"[67, 68, 73, 61, 66, 72, 45, 34, 50, 74]"
16,[0.2362742],[0.23753246],[0.22980805],"[67, 68, 73, 61, 66, 72, 45, 34, 50, 74]"
17,[0.2362995],[0.23753246],[0.22993099],"[67, 68, 73, 61, 66, 72, 45, 34, 50, 74]"
18,[0.23604648],[0.2381346],[0.],"[67, 68, 73, 61, 66, 72, 45, 34, 74, 50]"
19,[0.23689104],[0.23825322],[0.21752293],"[67, 68, 73, 61, 66, 45, 72, 34, 74, 50]"
20,[0.23730024],[0.23825322],[0.23055835],"[67, 68, 73, 61, 66, 45, 72, 34, 74, 50]"
21,[0.23737231],[0.23825322],[0.22658619],"[67, 68, 73, 61, 66, 45, 72, 34, 74, 50]"
22,[0.23772364],[0.23848276],[0.23362542],"[67, 68, 73, 66, 61, 45, 72, 34, 74, 85]"
23,[0.23775402],[0.23866306],[0.2264245],"[67, 68, 73, 66, 61, 45, 72, 34, 74, 50]"
24,[0.237933],[0.23866306],[0.2286422],"[67, 68, 73, 66, 61, 45, 72, 34, 74, 50]"
25,[0.23801007],[0.23866306],[0.23209795],"[67, 68, 73, 66, 61, 45, 72, 34, 74, 50]"
