Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.09907496],[0.1395154],[0.07272613],"[79, 80, 60, 74, 39, 44, 104, 7, 58, 66]"
2,[0.12887301],[0.15122347],[0.09281504],"[80, 79, 49, 95, 60, 34, 58, 50, 68, 37, 45]"
3,[0.14806046],[0.16564902],[0.11675157],"[45, 49, 79, 80, 74, 60, 67, 69, 39, 63]"
4,[0.15918965],[0.16866331],[0.],"[80, 79, 49, 69, 74, 60, 39, 63, 67, 45]"
5,[0.16659569],[0.17282199],[0.14990207],"[79, 80, 49, 74, 46, 34, 67, 69, 68, 37]"
6,[0.1712313],[0.17485643],[0.1633581],"[79, 80, 49, 60, 46, 34, 67, 69, 68, 37]"
7,[0.17314201],[0.17487697],[0.16747341],"[79, 80, 49, 60, 67, 46, 69, 45, 68, 34]"
8,[0.17383834],[0.17487697],[0.1684341],"[79, 80, 49, 60, 67, 46, 69, 45, 68, 34]"
9,[0.17440407],[0.17489558],[0.17229963],"[79, 80, 49, 60, 67, 34, 69, 45, 68, 37]"
10,[0.17434222],[0.17489558],[0.1540511],"[79, 80, 49, 60, 67, 34, 69, 45, 68, 37]"
11,[0.17429579],[0.17489929],[0.15343516],"[79, 80, 49, 60, 69, 45, 37, 46, 67, 34]"
12,[0.17332069],[0.1752726],[0.],"[79, 80, 49, 60, 69, 34, 37, 46, 67, 68]"
13,[0.17444409],[0.1752726],[0.1592539],"[79, 80, 49, 60, 69, 34, 37, 46, 67, 68]"
14,[0.17447281],[0.1752726],[0.15539215],"[79, 80, 49, 60, 69, 34, 37, 46, 67, 68]"
15,[0.17433102],[0.1752726],[0.],"[79, 80, 49, 60, 69, 34, 37, 46, 67, 68]"
16,[0.17470701],[0.1752726],[0.1597513],"[79, 80, 49, 60, 69, 34, 37, 46, 67, 68]"
17,[0.17476664],[0.1752726],[0.15711965],"[79, 80, 49, 60, 69, 34, 37, 46, 67, 68]"
18,[0.17487161],[0.1752726],[0.1672844],"[79, 80, 49, 60, 69, 34, 37, 46, 67, 68]"
19,[0.17477626],[0.1752726],[0.1587628],"[79, 80, 49, 60, 69, 34, 37, 46, 67, 68]"
20,[0.17488539],[0.17537981],[0.16447918],"[79, 80, 49, 60, 69, 67, 37, 46, 34, 68]"
