Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.09543592],[0.11469256],[0.07048009],"[35, 67, 69, 38, 99, 74, 80, 112, 81, 52, 85, 54, 121, 60, 57]"
2,[0.11333702],[0.14891262],[0.08327991],"[81, 37, 59, 80, 85, 51, 55, 128, 135, 62, 124]"
3,[0.13392343],[0.17032366],[0.11108067],"[81, 37, 59, 80, 85, 83, 78, 74, 36, 52, 124]"
4,[0.15748463],[0.17038721],[0.12897864],"[81, 37, 59, 80, 85, 51, 78, 74, 36, 52, 124]"
5,[0.16972487],[0.17486062],[0.15092981],"[80, 59, 74, 81, 37, 83, 78, 36, 85, 61, 124]"
6,[0.17035945],[0.17842441],[0.],"[80, 37, 78, 81, 85, 83, 36, 59, 52, 74, 4]"
7,[0.17101538],[0.18259313],[0.],"[80, 81, 78, 37, 83, 59, 36, 74, 52, 4, 85]"
8,[0.169893],[0.18260425],[0.],"[80, 81, 78, 37, 83, 59, 36, 74, 52, 62, 4]"
9,[0.17878872],[0.18710719],[0.16256083],"[80, 81, 78, 37, 83, 59, 85, 74, 52, 61, 4]"
10,[0.18182267],[0.18749373],[0.],"[80, 81, 78, 37, 83, 59, 62, 74, 52, 4, 85]"
11,[0.18495389],[0.18749373],[0.],"[80, 81, 78, 37, 83, 59, 62, 74, 52, 4, 85]"
12,[0.18669565],[0.18834022],[0.1750049],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
13,[0.18602354],[0.18834022],[0.],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
14,[0.1862416],[0.18834022],[0.16583988],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
15,[0.18661713],[0.18834022],[0.15705438],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
16,[0.1865708],[0.18834022],[0.],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
17,[0.18731393],[0.18834022],[0.17704833],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
18,[0.18742586],[0.18834022],[0.1731229],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
19,[0.18744335],[0.18834022],[0.17436872],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
20,[0.1874501],[0.18834022],[0.17145681],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
21,[0.18757308],[0.18834022],[0.16541324],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
22,[0.18783562],[0.18834022],[0.18221132],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
23,[0.18787708],[0.18834022],[0.18360117],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
24,[0.18785618],[0.18834022],[0.17958785],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
25,[0.18780492],[0.18834022],[0.17347997],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
26,[0.18784789],[0.18834022],[0.17453107],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
27,[0.18795044],[0.18834022],[0.18080262],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
28,[0.18772102],[0.18834022],[0.16634682],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
29,[0.18790891],[0.18834022],[0.18014438],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
30,[0.18798232],[0.18834022],[0.18069745],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
31,[0.18797129],[0.18834022],[0.18064711],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
32,[0.18785978],[0.18834022],[0.16691699],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
33,[0.18793529],[0.18834022],[0.17586228],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
34,[0.18789082],[0.18834022],[0.17528261],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
35,[0.1878114],[0.18834022],[0.17640257],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
36,[0.187904],[0.18834022],[0.17147098],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
37,[0.18794446],[0.18834022],[0.17872701],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
38,[0.18792374],[0.18834022],[0.16613935],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
39,[0.18787969],[0.18834022],[0.17649207],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
40,[0.18780259],[0.18834022],[0.16000432],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
41,[0.18790074],[0.18834022],[0.1770872],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
42,[0.18774815],[0.18834022],[0.16647251],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
43,[0.18781986],[0.18834022],[0.16086032],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
44,[0.18796171],[0.18834022],[0.16979788],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
45,[0.18800295],[0.18834022],[0.17531711],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
46,[0.18794121],[0.18834022],[0.15476231],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
47,[0.18780612],[0.18834022],[0.17212201],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
48,[0.18782317],[0.18834022],[0.17700075],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
49,[0.18775338],[0.18834022],[0.16599147],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
50,[0.18762107],[0.18834022],[0.17175647],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
51,[0.18753561],[0.18834022],[0.16171473],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
52,[0.18736097],[0.18834022],[0.16171473],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
53,[0.18756744],[0.18834022],[0.17161469],"[80, 81, 78, 37, 59, 74, 52, 83, 85, 4, 62]"
