NB_recommended_files,Best_solution,Recommended_files,Co_modified_files,Commits_hash,PRECISION,RECALL,FSCORE,SUCCESS_RATE,MRR
[3],"[[159, 161, 33, 40, 112, 117, 54, 119, 57, 31]]","[['postgresql_cluster/roles/pre-checks/tasks/patroni.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/update/tasks/stop_services.yml_(IaC)_', 'postgresql_cluster/roles/update/tasks/update_extensions.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/install_remote.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/nix.yml_(IaC)_', 'postgresql_cluster/roles/patroni/tasks/pip.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/snapshot.yml_(IaC)_', 'postgresql_cluster/roles/patroni/config/tasks/pg_hba.yml_(IaC)_', 'postgresql_cluster/roles/locales/tasks/main.yml_(IaC)_']]","[['postgresql_cluster/config_pgcluster.yml_(Other)_', 'postgresql_cluster/deploy_pgcluster.yml_(Other)_', 'postgresql_cluster/group_vars/master_(Other)_', 'postgresql_cluster/group_vars/replica_(Other)_', 'postgresql_cluster/inventory_(Other)_', 'postgresql_cluster/roles/patroni/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/templates/patroni.yml.j2_(Other)_', 'postgresql_cluster/roles/pgbouncer/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pgbouncer/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/patroni.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/pgbouncer.yml_(IaC)_']]",['7c1237aa84140a8b576ad559bc81fef72270e8f3'],[0.6666666666666666],[0.15384615384615385],[0.25],[1],[1.0]
[3],"[[160, 161, 39, 168, 41, 172, 209, 113, 50, 150, 60]]","[['postgresql_cluster/roles/pre-checks/tasks/pgbackrest.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/update/tasks/pre_checks.yml_(IaC)_', 'postgresql_cluster/roles/copy/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/update/tasks/postgres.yml_(IaC)_', 'postgresql_cluster/roles/sudo/tasks/main.yml_(IaC)_', 'postgresql_cluster/.github/workflows/schedule_pg_rockylinux9.yml_(Other)_', 'postgresql_cluster/roles/consul/tasks/user_group.yml_(IaC)_', 'postgresql_cluster/roles/confd/templates/haproxy.tmpl.j2_(Other)_', 'postgresql_cluster/roles/consul/handlers/start_snapshot.yml_(IaC)_', 'postgresql_cluster/roles/patroni/templates/pg_hba.conf.j2_(Other)_']]","[['postgresql_cluster/config_pgcluster.yml_(Other)_', 'postgresql_cluster/deploy_pgcluster.yml_(Other)_', 'postgresql_cluster/group_vars/master_(Other)_', 'postgresql_cluster/group_vars/replica_(Other)_', 'postgresql_cluster/inventory_(Other)_', 'postgresql_cluster/roles/patroni/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/templates/patroni.yml.j2_(Other)_', 'postgresql_cluster/roles/pgbouncer/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pgbouncer/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/patroni.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/pgbouncer.yml_(IaC)_']]",['7c1237aa84140a8b576ad559bc81fef72270e8f3'],[0.3333333333333333],[0.07692307692307693],[0.125],[1],[0.5]
[3],"[[160, 161, 194, 34, 163, 38, 177, 147, 216, 153]]","[['postgresql_cluster/roles/pre-checks/tasks/pgbackrest.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/haproxy/handlers/main.yml_(IaC)_', 'postgresql_cluster/roles/update/tasks/start_traffic.yml_(IaC)_', 'postgresql_cluster/roles/etcd/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/update/tasks/start_services.yml_(IaC)_', 'postgresql_cluster/roles/pgbouncer/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/consul/handlers/reload_consul_conf.yml_(IaC)_', 'postgresql_cluster/.github/workflows/docker.yml_(Other)_', 'postgresql_cluster/roles/consul/handlers/start_consul.yml_(IaC)_']]","[['postgresql_cluster/config_pgcluster.yml_(Other)_', 'postgresql_cluster/deploy_pgcluster.yml_(Other)_', 'postgresql_cluster/group_vars/master_(Other)_', 'postgresql_cluster/group_vars/replica_(Other)_', 'postgresql_cluster/inventory_(Other)_', 'postgresql_cluster/roles/patroni/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/templates/patroni.yml.j2_(Other)_', 'postgresql_cluster/roles/pgbouncer/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pgbouncer/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/patroni.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/pgbouncer.yml_(IaC)_']]",['7c1237aa84140a8b576ad559bc81fef72270e8f3'],[0.3333333333333333],[0.07692307692307693],[0.125],[1],[0.5]
[3],"[[160, 161, 131, 176, 116, 117, 54, 151, 120, 58, 155]]","[['postgresql_cluster/roles/pre-checks/tasks/pgbackrest.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/consul/templates/configd_50custom.json.j2_(Other)_', 'postgresql_cluster/roles/pgbouncer/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/iptables.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/nix.yml_(IaC)_', 'postgresql_cluster/roles/patroni/tasks/pip.yml_(IaC)_', 'postgresql_cluster/roles/consul/handlers/restart_syslogng.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/tls.yml_(IaC)_', 'postgresql_cluster/roles/patroni/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/consul/handlers/main.yml_(IaC)_']]","[['postgresql_cluster/config_pgcluster.yml_(Other)_', 'postgresql_cluster/deploy_pgcluster.yml_(Other)_', 'postgresql_cluster/group_vars/master_(Other)_', 'postgresql_cluster/group_vars/replica_(Other)_', 'postgresql_cluster/inventory_(Other)_', 'postgresql_cluster/roles/patroni/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/templates/patroni.yml.j2_(Other)_', 'postgresql_cluster/roles/pgbouncer/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pgbouncer/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/patroni.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/pgbouncer.yml_(IaC)_']]",['7c1237aa84140a8b576ad559bc81fef72270e8f3'],[0.3333333333333333],[0.07692307692307693],[0.125],[1],[0.5]
[3],"[[160, 161, 172, 51, 86, 157, 151, 122, 187, 61, 127]]","[['postgresql_cluster/roles/pre-checks/tasks/pgbackrest.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/sudo/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/confd/handlers/main.yml_(IaC)_', 'postgresql_cluster/roles/pgbackrest/templates/pgbackrest.server.conf.j2_(Other)_', 'postgresql_cluster/roles/pre-checks/tasks/wal_g.yml_(IaC)_', 'postgresql_cluster/roles/consul/handlers/restart_syslogng.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/config.yml_(IaC)_', 'postgresql_cluster/roles/wal-g/tasks/cron.yml_(IaC)_', 'postgresql_cluster/roles/patroni/templates/patroni.yml.j2_(Other)_', 'postgresql_cluster/roles/consul/defaults/main.yml_(Other)_']]","[['postgresql_cluster/config_pgcluster.yml_(Other)_', 'postgresql_cluster/deploy_pgcluster.yml_(Other)_', 'postgresql_cluster/group_vars/master_(Other)_', 'postgresql_cluster/group_vars/replica_(Other)_', 'postgresql_cluster/inventory_(Other)_', 'postgresql_cluster/roles/patroni/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/templates/patroni.yml.j2_(Other)_', 'postgresql_cluster/roles/pgbouncer/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pgbouncer/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/patroni.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/pgbouncer.yml_(IaC)_']]",['7c1237aa84140a8b576ad559bc81fef72270e8f3'],[0.3333333333333333],[0.07692307692307693],[0.125],[1],[0.5]
[3],"[[160, 161, 162, 68, 166, 109, 177, 146, 23, 188, 190]]","[['postgresql_cluster/roles/pre-checks/tasks/pgbackrest.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/packages/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/ansible-role-firewall/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pg_probackup/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/config_windows.yml_(IaC)_', 'postgresql_cluster/roles/pgbouncer/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/consul/handlers/restart_consul.yml_(IaC)_', 'postgresql_cluster/vars/main.yml_(Other)_', 'postgresql_cluster/roles/wal-g/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pgpass/tasks/main.yml_(IaC)_']]","[['postgresql_cluster/config_pgcluster.yml_(Other)_', 'postgresql_cluster/deploy_pgcluster.yml_(Other)_', 'postgresql_cluster/group_vars/master_(Other)_', 'postgresql_cluster/group_vars/replica_(Other)_', 'postgresql_cluster/inventory_(Other)_', 'postgresql_cluster/roles/patroni/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/templates/patroni.yml.j2_(Other)_', 'postgresql_cluster/roles/pgbouncer/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pgbouncer/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/patroni.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/pgbouncer.yml_(IaC)_']]",['7c1237aa84140a8b576ad559bc81fef72270e8f3'],[0.3333333333333333],[0.07692307692307693],[0.125],[1],[0.5]
[3],"[[160, 192, 161, 42, 107, 114, 115, 182, 184, 56, 190]]","[['postgresql_cluster/roles/pre-checks/tasks/pgbackrest.yml_(IaC)_', 'postgresql_cluster/roles/haproxy/templates/haproxy.service.j2_(Other)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/update/tasks/patroni.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/windows.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/syslog.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/acl.yml_(IaC)_', 'postgresql_cluster/roles/add-repository/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/postgresql-databases/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pgpass/tasks/main.yml_(IaC)_']]","[['postgresql_cluster/config_pgcluster.yml_(Other)_', 'postgresql_cluster/deploy_pgcluster.yml_(Other)_', 'postgresql_cluster/group_vars/master_(Other)_', 'postgresql_cluster/group_vars/replica_(Other)_', 'postgresql_cluster/inventory_(Other)_', 'postgresql_cluster/roles/patroni/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/templates/patroni.yml.j2_(Other)_', 'postgresql_cluster/roles/pgbouncer/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pgbouncer/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/patroni.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/pgbouncer.yml_(IaC)_']]",['7c1237aa84140a8b576ad559bc81fef72270e8f3'],[0.3333333333333333],[0.07692307692307693],[0.125],[1],[0.3333333333333333]
[3],"[[159, 161, 34, 40, 107, 144, 53, 185, 189, 127]]","[['postgresql_cluster/roles/pre-checks/tasks/patroni.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/update/tasks/start_traffic.yml_(IaC)_', 'postgresql_cluster/roles/update/tasks/update_extensions.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/windows.yml_(IaC)_', 'postgresql_cluster/roles/consul/templates/consul_smf_manifest.j2_(Other)_', 'postgresql_cluster/roles/deploy-finish/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/cron/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/wal-g/templates/walg.json.j2_(Other)_', 'postgresql_cluster/roles/consul/defaults/main.yml_(Other)_']]","[['postgresql_cluster/config_pgcluster.yml_(Other)_', 'postgresql_cluster/deploy_pgcluster.yml_(Other)_', 'postgresql_cluster/group_vars/master_(Other)_', 'postgresql_cluster/group_vars/replica_(Other)_', 'postgresql_cluster/inventory_(Other)_', 'postgresql_cluster/roles/patroni/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/templates/patroni.yml.j2_(Other)_', 'postgresql_cluster/roles/pgbouncer/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pgbouncer/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/patroni.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/pgbouncer.yml_(IaC)_']]",['7c1237aa84140a8b576ad559bc81fef72270e8f3'],[0.6666666666666666],[0.15384615384615385],[0.25],[1],[1.0]
[3],"[[160, 161, 6, 43, 107, 113, 119, 218, 156, 157]]","[['postgresql_cluster/roles/pre-checks/tasks/pgbackrest.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/balancers.yml_(Other)_', 'postgresql_cluster/roles/update/tasks/system.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/windows.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/user_group.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/snapshot.yml_(IaC)_', 'postgresql_cluster/molecule/tests/patroni/patroni.yml_(Other)_', 'postgresql_cluster/roles/pre-checks/tasks/pgbouncer.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/wal_g.yml_(IaC)_']]","[['postgresql_cluster/config_pgcluster.yml_(Other)_', 'postgresql_cluster/deploy_pgcluster.yml_(Other)_', 'postgresql_cluster/group_vars/master_(Other)_', 'postgresql_cluster/group_vars/replica_(Other)_', 'postgresql_cluster/inventory_(Other)_', 'postgresql_cluster/roles/patroni/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/templates/patroni.yml.j2_(Other)_', 'postgresql_cluster/roles/pgbouncer/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pgbouncer/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/patroni.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/pgbouncer.yml_(IaC)_']]",['7c1237aa84140a8b576ad559bc81fef72270e8f3'],[0.3333333333333333],[0.07692307692307693],[0.125],[1],[0.5]
[3],"[[160, 161, 163, 6, 39, 171, 108, 46, 16, 23]]","[['postgresql_cluster/roles/pre-checks/tasks/pgbackrest.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/etcd/tasks/main.yml_(IaC)_', 'postgresql_cluster/balancers.yml_(Other)_', 'postgresql_cluster/roles/update/tasks/pre_checks.yml_(IaC)_', 'postgresql_cluster/roles/keepalived/handlers/main.yml_(IaC)_', 'postgresql_cluster/roles/consul/tasks/install_windows.yml_(IaC)_', 'postgresql_cluster/roles/confd/tasks/main.yml_(IaC)_', 'postgresql_cluster/.config/make/docker.mak_(Other)_', 'postgresql_cluster/vars/main.yml_(Other)_']]","[['postgresql_cluster/config_pgcluster.yml_(Other)_', 'postgresql_cluster/deploy_pgcluster.yml_(Other)_', 'postgresql_cluster/group_vars/master_(Other)_', 'postgresql_cluster/group_vars/replica_(Other)_', 'postgresql_cluster/inventory_(Other)_', 'postgresql_cluster/roles/patroni/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/patroni/templates/patroni.yml.j2_(Other)_', 'postgresql_cluster/roles/pgbouncer/config/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pgbouncer/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/main.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/patroni.yml_(IaC)_', 'postgresql_cluster/roles/pre-checks/tasks/pgbouncer.yml_(IaC)_']]",['7c1237aa84140a8b576ad559bc81fef72270e8f3'],[0.3333333333333333],[0.07692307692307693],[0.125],[1],[0.5]
