NB_recommended_files,Best_solution,Recommended_files,Co_modified_files,Commits_hash,PRECISION,RECALL,FSCORE,SUCCESS_RATE,MRR
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[67], [67]]","[['puppet-openstack-integration/manifests/rabbitmq.pp_(IaC)_'], ['puppet-openstack-integration/manifests/rabbitmq.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[67], [67]]","[['puppet-openstack-integration/manifests/rabbitmq.pp_(IaC)_'], ['puppet-openstack-integration/manifests/rabbitmq.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
"[1, 1]","[[81], [81]]","[['puppet-openstack-integration/manifests/mysql.pp_(IaC)_'], ['puppet-openstack-integration/manifests/mysql.pp_(IaC)_']]","[['puppet-openstack-integration/manifests/config.pp_(IaC)_'], ['puppet-openstack-integration/manifests/config.pp_(IaC)_']]","['3a27628625eb8a646060c8a59469d57f80d10588', 'ca4a5444164a6d65a3b20debad80cb3b9004bcdc']","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]"
