Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.17318561],[0.21493637],[0.1275145],"[32, 33, 34, 37, 77, 78, 79, 46, 80, 83]"
2,[0.20717056],[0.2190364],[0.18071999],"[32, 33, 34, 36, 69, 38, 79, 46, 80, 53]"
3,[0.21831292],[0.23491642],[0.19589276],"[32, 33, 34, 37, 36, 78, 79, 46, 80, 83]"
4,[0.22681567],[0.24298685],[0.21118899],"[32, 37, 33, 36, 34, 79, 53, 46, 80, 78]"
5,[0.23409007],[0.24298685],[0.],"[32, 37, 33, 36, 34, 79, 53, 46, 80, 78]"
6,[0.23767301],[0.24298685],[0.2157309],"[32, 37, 33, 36, 34, 79, 53, 46, 80, 78]"
7,[0.23942207],[0.24298685],[0.],"[32, 37, 33, 36, 34, 79, 53, 46, 80, 78]"
8,[0.24155584],[0.2432673],[0.22951626],"[37, 36, 34, 32, 33, 46, 53, 79, 80, 51]"
9,[0.23942874],[0.24404234],[0.],"[37, 36, 34, 32, 33, 38, 53, 79, 80, 51]"
10,[0.24285804],[0.24419383],[0.2278731],"[37, 36, 34, 32, 33, 38, 53, 79, 80, 78]"
11,[0.24325857],[0.24432625],[0.22017449],"[37, 36, 34, 32, 33, 38, 53, 79, 78, 80]"
12,[0.24357133],[0.24432625],[0.22544784],"[37, 36, 34, 32, 33, 38, 53, 79, 78, 80]"
13,[0.2438341],[0.24432625],[0.2409631],"[37, 36, 34, 32, 33, 38, 53, 79, 78, 80]"
14,[0.24392222],[0.24432625],[0.24154529],"[37, 36, 34, 32, 33, 38, 53, 79, 78, 80]"
15,[0.24393196],[0.24432625],[0.23522217],"[37, 36, 34, 32, 33, 38, 53, 79, 78, 80]"
16,[0.24393383],[0.24432625],[0.23522217],"[37, 36, 34, 32, 33, 38, 53, 79, 78, 80]"
17,[0.24394905],[0.24432625],[0.23467558],"[37, 36, 34, 32, 33, 38, 53, 79, 78, 80]"
18,[0.24380663],[0.24432625],[0.22312847],"[37, 36, 34, 32, 33, 38, 53, 79, 78, 80]"
19,[0.24389663],[0.24432625],[0.23135955],"[37, 36, 34, 32, 33, 38, 53, 79, 78, 80]"
20,[0.24391112],[0.24432625],[0.22725692],"[37, 36, 34, 32, 33, 38, 53, 79, 78, 80]"
21,[0.24388665],[0.24432625],[0.22725692],"[37, 36, 34, 32, 33, 38, 53, 79, 78, 80]"
22,[0.24413109],[0.24541748],[0.22300637],"[36, 37, 34, 32, 33, 53, 38, 79, 78, 80]"
23,[0.24419461],[0.24555972],[0.21394182],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
24,[0.24442773],[0.24555972],[0.22260499],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
25,[0.24457064],[0.24555972],[0.23679611],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
26,[0.24475336],[0.24555972],[0.23968859],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
27,[0.24475508],[0.24555972],[0.23096438],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
28,[0.24473864],[0.24555972],[0.23237787],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
29,[0.24454501],[0.24555972],[0.22061576],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
30,[0.24476325],[0.24555972],[0.22704765],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
31,[0.24485123],[0.24555972],[0.22588245],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
32,[0.24484568],[0.24555972],[0.22646098],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
33,[0.24480326],[0.24555972],[0.22758778],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
34,[0.24497783],[0.24555972],[0.22864017],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
35,[0.24504194],[0.24555972],[0.23076255],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
36,[0.24499938],[0.24555972],[0.22614652],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
37,[0.2449809],[0.24555972],[0.23101934],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
38,[0.24512763],[0.24555972],[0.22210966],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
39,[0.24522644],[0.24555972],[0.23612409],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
40,[0.2452003],[0.24555972],[0.23165652],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
41,[0.24506591],[0.24555972],[0.22139027],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
42,[0.24508393],[0.24555972],[0.23118194],"[37, 36, 34, 32, 33, 53, 38, 79, 78, 80]"
