Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.20143121],[0.22769579],[0.16911595],"[32, 35, 69, 37, 39, 40, 47, 17, 52, 57]"
2,[0.22879865],[0.25862962],[0.19162614],"[32, 34, 37, 36, 69, 38, 72, 45, 47, 29]"
3,[0.25341854],[0.26888081],[0.22883571],"[32, 34, 37, 36, 35, 39, 47, 17, 59, 29]"
4,[0.26727059],[0.27841145],[0.23430453],"[32, 34, 37, 36, 35, 39, 72, 45, 47, 57]"
5,[0.27607775],[0.27946193],[0.26044676],"[32, 34, 37, 36, 35, 39, 47, 49, 79, 57]"
6,[0.27813511],[0.2799951],[0.26376564],"[32, 37, 36, 34, 35, 39, 47, 49, 79, 57]"
7,[0.27879244],[0.28020915],[0.25029988],"[32, 37, 36, 34, 35, 47, 39, 49, 79, 57]"
8,[0.27903231],[0.28057165],[0.23595059],"[32, 37, 36, 34, 35, 47, 72, 49, 79, 57]"
9,[0.27940525],[0.28057165],[0.25710503],"[32, 37, 36, 34, 35, 47, 72, 49, 79, 57]"
10,[0.27962235],[0.28057165],[0.25979138],"[32, 37, 36, 34, 35, 47, 72, 49, 79, 57]"
11,[0.27977709],[0.28057165],[0.27365616],"[32, 37, 36, 34, 35, 47, 72, 49, 79, 57]"
12,[0.27994736],[0.28057165],[0.27114281],"[32, 37, 36, 34, 35, 47, 72, 49, 79, 57]"
13,[0.27996894],[0.28057165],[0.26822439],"[32, 37, 36, 34, 35, 47, 72, 49, 79, 57]"
14,[0.27998034],[0.28057165],[0.25688208],"[32, 37, 36, 34, 35, 47, 72, 49, 79, 57]"
15,[0.27986929],[0.28057165],[0.25280834],"[32, 37, 36, 34, 35, 47, 72, 49, 79, 57]"
16,[0.28000426],[0.28057165],[0.26180515],"[32, 37, 36, 34, 35, 47, 72, 49, 79, 57]"
17,[0.27976366],[0.2807718],[0.25578944],"[32, 37, 36, 34, 35, 47, 49, 72, 79, 57]"
18,[0.2794535],[0.2807718],[0.25565484],"[32, 37, 36, 34, 35, 47, 49, 72, 79, 57]"
