Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.19899062],[0.21510005],[0.17426603],"[69, 70, 72, 73, 76, 45, 78, 13, 81, 55]"
2,[0.21887549],[0.22887675],[0.19678463],"[69, 70, 72, 46, 49, 50, 71, 73, 81, 55]"
3,[0.22798512],[0.23051111],[0.21256318],"[35, 69, 72, 45, 71, 80, 73, 46, 81, 55]"
4,[0.22926982],[0.23148895],[0.],"[81, 58, 70, 72, 71, 55, 49, 69, 52, 50]"
5,[0.23038051],[0.23231262],[0.],"[81, 58, 72, 45, 71, 80, 73, 46, 69, 55]"
6,[0.23179773],[0.23281881],[0.22842039],"[81, 58, 72, 45, 46, 71, 35, 73, 69, 55]"
7,[0.23056774],[0.23329768],[0.],"[72, 58, 81, 45, 71, 46, 35, 73, 69, 55]"
8,[0.2328873],[0.23376572],[0.22882637],"[72, 58, 81, 49, 71, 46, 35, 73, 69, 55]"
9,[0.23322218],[0.23376572],[0.22961694],"[72, 58, 81, 49, 71, 46, 35, 73, 69, 55]"
10,[0.23336086],[0.23376572],[0.23166386],"[72, 58, 81, 49, 71, 46, 35, 73, 69, 55]"
11,[0.23347261],[0.23387148],[0.23272069],"[72, 58, 81, 35, 71, 73, 49, 46, 69, 55]"
12,[0.23065747],[0.23391008],[0.],"[72, 58, 81, 35, 71, 69, 49, 46, 55, 73]"
13,[0.23307383],[0.23399793],[0.],"[72, 81, 71, 35, 69, 58, 46, 49, 55, 73]"
14,[0.22700686],[0.2340096],[0.],"[72, 81, 71, 35, 69, 58, 49, 46, 55, 73]"
15,[0.23217975],[0.23406826],[0.],"[72, 81, 58, 71, 69, 35, 49, 46, 55, 73]"
16,[0.23230423],[0.23406826],[0.],"[72, 81, 58, 71, 69, 35, 49, 46, 55, 73]"
17,[0.23374317],[0.23406826],[0.23086116],"[72, 81, 58, 71, 69, 35, 49, 46, 55, 73]"
18,[0.23330753],[0.23406826],[0.],"[72, 81, 58, 71, 69, 35, 49, 46, 55, 73]"
19,[0.2338203],[0.23406826],[0.23181327],"[72, 81, 58, 71, 69, 35, 49, 46, 55, 73]"
