Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.19901966],[0.22227002],[0.16670635],"[64, 69, 70, 38, 40, 74, 78, 46, 20, 59]"
2,[0.22213781],[0.23173877],[0.20020567],"[64, 69, 70, 42, 73, 46, 48, 81, 55, 31]"
3,[0.23203581],[0.23942652],[0.21907719],"[48, 73, 55, 64, 69, 80, 74, 46, 78, 59]"
4,[0.23647935],[0.24056144],[0.22791561],"[73, 69, 46, 78, 64, 74, 55, 70, 80, 59]"
5,[0.23432982],[0.24297389],[0.],"[49, 46, 69, 64, 73, 74, 78, 80, 55, 59]"
6,[0.23801409],[0.24379707],[0.],"[49, 73, 69, 55, 46, 74, 78, 80, 64, 59]"
7,[0.24110147],[0.24406982],[0.],"[49, 73, 69, 55, 46, 74, 78, 48, 64, 59]"
8,[0.23992247],[0.24424871],[0.],"[49, 46, 74, 55, 73, 78, 69, 48, 64, 59]"
9,[0.2418156],[0.24427283],[0.],"[49, 73, 69, 78, 55, 74, 46, 48, 64, 59]"
10,[0.24053257],[0.2446944],[0.],"[49, 73, 78, 55, 46, 74, 48, 69, 80, 59]"
11,[0.24267478],[0.24472775],[0.],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
12,[0.24355686],[0.24472775],[0.],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
13,[0.24434917],[0.24472775],[0.23246136],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
14,[0.24447708],[0.24472775],[0.24350355],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
15,[0.24453956],[0.24472775],[0.24359423],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
16,[0.2445735],[0.24472775],[0.23945999],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
17,[0.24456012],[0.24472775],[0.24276581],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
18,[0.24458742],[0.24472775],[0.24283869],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
19,[0.24457953],[0.24472775],[0.23835563],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
20,[0.24460014],[0.24472775],[0.2410863],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
21,[0.24458397],[0.24472775],[0.23947222],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
22,[0.24461346],[0.24472775],[0.24264755],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
23,[0.24462022],[0.24472775],[0.24312582],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
24,[0.24461258],[0.24472775],[0.24282132],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
25,[0.24462335],[0.24472775],[0.24298417],"[49, 73, 78, 55, 46, 74, 48, 69, 64, 59]"
26,[0.24461646],[0.24473136],[0.2430922],"[49, 73, 78, 46, 55, 74, 48, 69, 64, 59]"
27,[0.24462202],[0.24473136],[0.24106388],"[49, 73, 78, 46, 55, 74, 48, 69, 64, 59]"
28,[0.24466032],[0.24473136],[0.24199538],"[49, 73, 78, 46, 55, 74, 48, 69, 64, 59]"
29,[0.24467874],[0.24473136],[0.24411753],"[49, 73, 78, 46, 55, 74, 48, 69, 64, 59]"
30,[0.24465151],[0.24473136],[0.23612102],"[49, 73, 78, 46, 55, 74, 48, 69, 64, 59]"
