Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.1783774],[0.19148323],[0.15545295],"[68, 58, 69, 71, 72, 74, 45, 51, 56, 57, 26]"
2,[0.19050285],[0.19662831],[0.1803737],"[67, 69, 73, 74, 75, 80, 81, 51, 53, 55]"
3,[0.19569993],[0.20186289],[0.19016931],"[67, 58, 69, 71, 72, 74, 81, 80, 49, 57]"
4,[0.20073557],[0.20272828],[0.19439705],"[72, 58, 69, 49, 57, 74, 80, 81, 71, 67]"
5,[0.20188381],[0.20313812],[0.1987038],"[69, 71, 72, 49, 74, 57, 67, 81, 58, 80]"
6,[0.19649091],[0.20337964],[0.],"[69, 81, 72, 71, 74, 58, 49, 55, 67, 80]"
7,[0.19809479],[0.20355809],[0.],"[69, 81, 72, 71, 74, 58, 49, 67, 80, 57]"
8,[0.20138541],[0.20368185],[0.],"[69, 81, 72, 58, 71, 74, 49, 67, 80, 57]"
9,[0.20251426],[0.20374441],[0.],"[69, 81, 72, 71, 49, 67, 51, 80, 58, 74]"
10,[0.20353736],[0.20398103],[0.19968655],"[69, 49, 72, 71, 81, 67, 74, 80, 58, 51]"
11,[0.20254294],[0.20401687],[0.],"[69, 81, 72, 49, 71, 67, 74, 80, 58, 51]"
12,[0.20388819],[0.20404484],[0.203422],"[69, 81, 72, 49, 71, 67, 74, 80, 58, 57]"
13,[0.20394333],[0.20407769],[0.20345815],"[69, 49, 72, 81, 67, 80, 74, 71, 58, 51]"
14,[0.20398176],[0.20413232],[0.20100966],"[69, 49, 72, 81, 71, 67, 74, 80, 58, 57]"
15,[0.20401466],[0.20416633],[0.20202068],"[69, 49, 81, 72, 58, 67, 74, 80, 70, 71]"
16,[0.20359275],[0.20426796],[0.],"[69, 49, 72, 81, 58, 67, 74, 80, 70, 71]"
17,[0.20412972],[0.2043677],[0.20342054],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
18,[0.2041656],[0.2043677],[0.20292995],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
19,[0.20419429],[0.2043677],[0.20325375],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
20,[0.20421901],[0.2043677],[0.20318589],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
21,[0.20423318],[0.2043677],[0.20366411],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
22,[0.20424998],[0.2043677],[0.20255989],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
23,[0.2042619],[0.2043677],[0.20302746],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
24,[0.20428194],[0.2043677],[0.20366908],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
25,[0.20426988],[0.2043677],[0.20315386],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
26,[0.20426954],[0.2043677],[0.20315386],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
27,[0.20427306],[0.2043677],[0.20284274],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
28,[0.20427953],[0.2043677],[0.20196562],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
29,[0.20426908],[0.2043677],[0.20291039],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
30,[0.20427453],[0.2043677],[0.20030355],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
31,[0.20427425],[0.2043677],[0.20260116],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
32,[0.20428581],[0.2043677],[0.2026741],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
33,[0.20429396],[0.2043677],[0.20342339],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
34,[0.20427908],[0.2043677],[0.20196136],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
35,[0.20427815],[0.2043677],[0.20241869],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
36,[0.20428089],[0.2043677],[0.20290164],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
37,[0.20427664],[0.2043677],[0.2022164],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
38,[0.20428645],[0.2043677],[0.20321347],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
39,[0.20430128],[0.2043677],[0.20343375],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
40,[0.20429067],[0.2043677],[0.20284506],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
41,[0.20429226],[0.2043677],[0.20218665],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
42,[0.20431634],[0.2043677],[0.20316184],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
43,[0.20431192],[0.2043677],[0.20299681],"[69, 49, 72, 81, 58, 67, 74, 71, 80, 57]"
44,[0.20433392],[0.20442559],[0.20390736],"[69, 72, 49, 81, 58, 67, 74, 71, 80, 57]"
45,[0.20435333],[0.20442559],[0.20338772],"[69, 72, 49, 81, 58, 67, 74, 71, 80, 57]"
46,[0.2043567],[0.20442559],[0.20353021],"[69, 72, 49, 81, 58, 67, 74, 71, 80, 57]"
47,[0.20433597],[0.20442559],[0.20304756],"[69, 72, 49, 81, 58, 67, 74, 71, 80, 57]"
48,[0.20433213],[0.20442559],[0.20294775],"[69, 72, 49, 81, 58, 67, 74, 71, 80, 57]"
49,[0.20435787],[0.20442559],[0.20411981],"[69, 72, 49, 81, 58, 67, 74, 71, 80, 57]"
50,[0.20435131],[0.20442559],[0.20156184],"[69, 72, 49, 81, 58, 67, 74, 71, 80, 57]"
51,[0.20435591],[0.20442559],[0.20309862],"[69, 72, 49, 81, 58, 67, 74, 71, 80, 57]"
52,[0.20435544],[0.20442559],[0.20276192],"[69, 72, 49, 81, 58, 67, 74, 71, 80, 57]"
53,[0.20438157],[0.20444708],[0.20292736],"[69, 72, 49, 81, 58, 67, 71, 74, 70, 57]"
54,[0.20438996],[0.20446385],[0.20313795],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
55,[0.2044233],[0.20446385],[0.20410748],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
56,[0.20440549],[0.20446385],[0.20077362],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
57,[0.20442116],[0.20446385],[0.20357035],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
58,[0.20435189],[0.20446385],[0.20177798],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
59,[0.20439776],[0.20446385],[0.20311586],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
60,[0.2043981],[0.20446385],[0.20318559],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
61,[0.20440646],[0.20446385],[0.20263714],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
62,[0.20442047],[0.20446385],[0.20367217],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
63,[0.20441273],[0.20446385],[0.20177325],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
64,[0.20442609],[0.20446385],[0.20305532],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
65,[0.20441725],[0.20446385],[0.20264042],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
66,[0.20442502],[0.20446385],[0.20346165],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
67,[0.20441668],[0.20446385],[0.20306799],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
68,[0.20441142],[0.20446385],[0.20249502],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
69,[0.20441825],[0.20446385],[0.20347714],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
70,[0.20441946],[0.20446385],[0.20309142],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
71,[0.2044187],[0.20446385],[0.20183779],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
72,[0.20443131],[0.20446385],[0.20380319],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
73,[0.20442978],[0.20446385],[0.203856],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
74,[0.20441881],[0.20446385],[0.20286949],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
75,[0.20442372],[0.20446385],[0.20172548],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
76,[0.20439179],[0.20446385],[0.20155746],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
77,[0.2044161],[0.20446385],[0.20368227],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
78,[0.20441268],[0.20446385],[0.20306047],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
79,[0.20441418],[0.20446385],[0.20253681],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
80,[0.20440694],[0.20446385],[0.20243246],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
81,[0.20441641],[0.20446385],[0.20322225],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
82,[0.20440466],[0.20446385],[0.20257929],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
83,[0.20438586],[0.20446385],[0.20228496],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
84,[0.2044188],[0.20446385],[0.20283551],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
85,[0.20441421],[0.20446385],[0.2033493],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
86,[0.20443605],[0.20446385],[0.20392207],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
87,[0.20443068],[0.20446385],[0.20208783],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
88,[0.2044238],[0.20446385],[0.20300881],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
89,[0.20442186],[0.20446385],[0.20309264],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
90,[0.20441858],[0.20446385],[0.20261231],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
91,[0.20441506],[0.20446385],[0.20202434],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
92,[0.20438577],[0.20446385],[0.20262495],"[69, 72, 49, 81, 67, 58, 71, 74, 80, 57]"
93,[0.20441286],[0.20446903],[0.20352869],"[69, 72, 49, 81, 67, 58, 71, 74, 57, 70]"
94,[0.20442523],[0.20446903],[0.20265673],"[69, 72, 49, 81, 67, 58, 71, 74, 57, 70]"
95,[0.20441682],[0.20447202],[0.20171824],"[69, 72, 49, 81, 67, 58, 71, 74, 57, 80]"
96,[0.20442839],[0.20447202],[0.20207049],"[69, 72, 49, 81, 67, 58, 71, 74, 57, 80]"
97,[0.20444219],[0.20447202],[0.20367492],"[69, 72, 49, 81, 67, 58, 71, 74, 57, 80]"
98,[0.20443632],[0.20447202],[0.20312075],"[69, 72, 49, 81, 67, 58, 71, 74, 57, 80]"
99,[0.20443905],[0.20447202],[0.20244906],"[69, 72, 49, 81, 67, 58, 71, 74, 57, 80]"
100,[0.20444316],[0.20447202],[0.2037612],"[69, 72, 49, 81, 67, 58, 71, 74, 57, 80]"
101,[0.20444385],[0.20447202],[0.2037612],"[69, 72, 49, 81, 67, 58, 71, 74, 57, 80]"
102,[0.20443938],[0.20447202],[0.20229889],"[69, 72, 49, 81, 67, 58, 71, 74, 57, 80]"
103,[0.20444015],[0.20447202],[0.2030435],"[69, 72, 49, 81, 67, 58, 71, 74, 57, 80]"
104,[0.20440135],[0.20447202],[0.20291948],"[69, 72, 49, 81, 67, 58, 71, 74, 57, 80]"
105,[0.20442109],[0.20447202],[0.20323441],"[69, 72, 49, 81, 67, 58, 71, 74, 57, 80]"
