Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.16646957],[0.18633022],[0.13315904],"[69, 70, 71, 40, 73, 42, 74, 46, 79, 47]"
2,[0.18500615],[0.19642328],[0.16002466],"[69, 46, 79, 70, 73, 42, 40, 74, 71, 47]"
3,[0.1942709],[0.20533252],[0.17188051],"[79, 73, 42, 74, 40, 69, 46, 70, 71, 47]"
4,[0.20329408],[0.21246911],[0.18024916],"[64, 74, 79, 70, 73, 42, 48, 51, 78, 47]"
5,[0.20834457],[0.21441906],[0.19025222],"[73, 74, 48, 64, 78, 42, 40, 51, 71, 47]"
6,[0.20837897],[0.21500606],[0.],"[73, 74, 48, 64, 78, 42, 40, 51, 70, 47]"
7,[0.21154356],[0.21809651],[0.2027542],"[79, 73, 42, 74, 64, 69, 48, 70, 78, 47]"
8,[0.21322078],[0.21911196],[0.],"[79, 73, 48, 74, 78, 42, 64, 51, 71, 47]"
9,[0.21519644],[0.22010507],[0.20171317],"[79, 73, 48, 74, 78, 42, 64, 70, 71, 47]"
10,[0.21585888],[0.22029696],[0.],"[79, 73, 48, 74, 78, 42, 64, 70, 71, 45]"
11,[0.21859334],[0.22056992],[0.20214828],"[42, 73, 48, 78, 74, 79, 64, 70, 45, 71]"
12,[0.21666276],[0.22059303],[0.],"[42, 73, 48, 78, 74, 79, 64, 70, 71, 45]"
13,[0.21855842],[0.22059303],[0.],"[42, 73, 48, 78, 74, 79, 64, 70, 71, 45]"
14,[0.21996214],[0.22064333],[0.19338897],"[73, 48, 78, 42, 74, 79, 64, 45, 71, 70]"
15,[0.21981328],[0.22127657],[0.20294999],"[73, 48, 78, 42, 74, 79, 64, 70, 71, 45]"
16,[0.21994385],[0.22127657],[0.20351953],"[73, 48, 78, 42, 74, 79, 64, 70, 71, 45]"
17,[0.22027965],[0.22127657],[0.20505283],"[73, 48, 78, 42, 74, 79, 64, 70, 71, 45]"
18,[0.22067619],[0.22127794],[0.21079259],"[73, 48, 42, 78, 74, 79, 64, 70, 71, 45]"
19,[0.2209131],[0.22127794],[0.20421545],"[73, 48, 42, 78, 74, 79, 64, 70, 71, 45]"
20,[0.22100532],[0.22127794],[0.2133669],"[73, 48, 42, 78, 74, 79, 64, 70, 71, 45]"
21,[0.22104232],[0.22127794],[0.21547208],"[73, 48, 42, 78, 74, 79, 64, 70, 71, 45]"
