Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.16255043],[0.17917403],[0.1399011],"[49, 48, 73, 70, 68, 80, 78, 60, 74, 64, 37]"
2,[0.17550721],[0.18336803],[0.15977154],"[49, 48, 63, 70, 68, 80, 78, 60, 74, 64, 37]"
3,[0.18111836],[0.18622505],[0.17363628],"[49, 39, 63, 68, 79, 48, 78, 60, 74, 64, 37]"
4,[0.18515579],[0.18847435],[0.18031829],"[49, 39, 63, 68, 79, 48, 78, 80, 52, 64, 37]"
5,[0.18732096],[0.19062363],[0.18261609],"[49, 52, 63, 68, 79, 78, 80, 39, 48, 64, 37]"
6,[0.18771702],[0.19062363],[0.],"[49, 52, 63, 68, 79, 78, 80, 39, 48, 64, 37]"
7,[0.18875113],[0.19118618],[0.],"[49, 52, 63, 68, 79, 78, 80, 39, 74, 64, 76]"
8,[0.18950807],[0.19134351],[0.],"[49, 52, 63, 68, 79, 78, 80, 39, 48, 64, 76]"
9,[0.19078769],[0.19134351],[0.18782212],"[49, 52, 63, 68, 79, 78, 80, 39, 48, 64, 76]"
10,[0.19115725],[0.19140299],[0.18988743],"[49, 52, 63, 68, 79, 78, 64, 39, 48, 76, 80]"
11,[0.19127964],[0.1915376],[0.18961536],"[49, 52, 63, 79, 68, 78, 64, 39, 48, 54, 76]"
12,[0.19141223],[0.19161159],[0.19005813],"[49, 63, 52, 79, 68, 78, 64, 39, 48, 54, 76]"
13,[0.1914721],[0.19172555],[0.18920408],"[78, 63, 52, 79, 49, 68, 76, 39, 48, 54, 64]"
14,[0.19150895],[0.19194573],[0.18741058],"[78, 63, 52, 79, 49, 68, 64, 39, 48, 54, 76]"
15,[0.19160562],[0.19197214],[0.18816334],"[78, 63, 52, 79, 49, 68, 64, 39, 48, 54, 80]"
16,[0.19169484],[0.19197214],[0.18816334],"[78, 63, 52, 79, 49, 68, 64, 39, 48, 54, 80]"
17,[0.19174835],[0.19198673],[0.1889246],"[52, 78, 63, 79, 49, 68, 64, 39, 48, 54, 80]"
