Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.19644405],[0.22169908],[0.1592532],"[71, 76, 77, 78, 70, 73, 42, 45, 49, 21]"
2,[0.22522605],[0.25132632],[0.19251104],"[78, 71, 73, 48, 37, 42, 44, 47, 56, 57]"
3,[0.24901922],[0.26516398],[0.21808696],"[78, 64, 73, 48, 37, 42, 44, 47, 77, 55]"
4,[0.26351464],[0.27473527],[0.22748726],"[78, 57, 73, 48, 37, 42, 44, 47, 77, 55]"
5,[0.27353632],[0.28641314],[0.25173525],"[78, 57, 73, 48, 37, 42, 80, 55, 49, 83]"
6,[0.28155791],[0.29225846],[0.25624306],"[78, 57, 55, 48, 37, 73, 49, 64, 42, 45]"
7,[0.28375114],[0.29388934],[0.],"[57, 78, 48, 49, 55, 42, 64, 37, 73, 45]"
8,[0.28550528],[0.29437157],[0.],"[78, 64, 57, 48, 73, 42, 80, 55, 49, 50]"
9,[0.28602027],[0.29541412],[0.],"[78, 42, 57, 73, 48, 49, 55, 64, 80, 83]"
10,[0.28906781],[0.29798051],[0.],"[78, 42, 57, 73, 48, 49, 55, 64, 80, 45]"
11,[0.29332932],[0.29798051],[0.26827235],"[78, 42, 57, 73, 48, 49, 55, 64, 80, 45]"
12,[0.29271348],[0.29798051],[0.],"[78, 42, 57, 73, 48, 49, 55, 64, 80, 45]"
13,[0.29524024],[0.29798051],[0.27982485],"[78, 42, 57, 73, 48, 49, 55, 64, 80, 45]"
14,[0.29545752],[0.29862863],[0.],"[78, 42, 57, 73, 48, 49, 55, 64, 80, 37]"
15,[0.2966752],[0.29862863],[0.28858471],"[78, 42, 57, 73, 48, 49, 55, 64, 80, 37]"
16,[0.29698839],[0.29908077],[0.28431874],"[57, 78, 42, 73, 48, 55, 49, 64, 80, 37]"
17,[0.29711383],[0.29989079],[0.],"[78, 57, 42, 73, 48, 55, 49, 64, 80, 37]"
18,[0.29844888],[0.30036606],[0.28225608],"[78, 57, 42, 73, 55, 48, 49, 64, 80, 37]"
19,[0.29895812],[0.30036606],[0.28504412],"[78, 57, 42, 73, 55, 48, 49, 64, 80, 37]"
20,[0.29922138],[0.30036606],[0.29237275],"[78, 57, 42, 73, 55, 48, 49, 64, 80, 37]"
21,[0.29922764],[0.30036606],[0.27332],"[78, 57, 42, 73, 55, 48, 49, 64, 80, 37]"
22,[0.29909024],[0.30036606],[0.28596283],"[78, 57, 42, 73, 55, 48, 49, 64, 80, 37]"
23,[0.29914727],[0.30036606],[0.28278299],"[78, 57, 42, 73, 55, 48, 49, 64, 80, 37]"
24,[0.29938675],[0.30036606],[0.28165048],"[78, 57, 42, 73, 55, 48, 49, 64, 80, 37]"
25,[0.29942542],[0.30036606],[0.28778238],"[78, 57, 42, 73, 55, 48, 49, 64, 80, 37]"
26,[0.29916226],[0.30051817],[0.27903116],"[78, 57, 42, 73, 55, 48, 64, 49, 80, 37]"
27,[0.29923861],[0.30051817],[0.27766672],"[78, 57, 42, 73, 55, 48, 64, 49, 80, 37]"
28,[0.29936798],[0.30051817],[0.28390731],"[78, 57, 42, 73, 55, 48, 64, 49, 80, 37]"
29,[0.29964682],[0.30051817],[0.28712292],"[78, 57, 42, 73, 55, 48, 64, 49, 80, 37]"
30,[0.29958813],[0.30051817],[0.28278227],"[78, 57, 42, 73, 55, 48, 64, 49, 80, 37]"
31,[0.29965995],[0.30051817],[0.28566592],"[78, 57, 42, 73, 55, 48, 64, 49, 80, 37]"
32,[0.29984474],[0.30051817],[0.29223092],"[78, 57, 42, 73, 55, 48, 64, 49, 80, 37]"
33,[0.29974326],[0.30051817],[0.27571362],"[78, 57, 42, 73, 55, 48, 64, 49, 80, 37]"
34,[0.29999883],[0.30081137],[0.28966586],"[78, 57, 42, 55, 73, 48, 64, 49, 80, 37]"
35,[0.30005702],[0.30081137],[0.29240529],"[78, 57, 42, 55, 73, 48, 64, 49, 80, 37]"
36,[0.30012435],[0.30081137],[0.28348337],"[78, 57, 42, 55, 73, 48, 64, 49, 80, 37]"
37,[0.30002784],[0.30081137],[0.28649271],"[78, 57, 42, 55, 73, 48, 64, 49, 80, 37]"
38,[0.30004073],[0.30081137],[0.28689161],"[78, 57, 42, 55, 73, 48, 64, 49, 80, 37]"
39,[0.30013393],[0.30081137],[0.28560456],"[78, 57, 42, 55, 73, 48, 64, 49, 80, 37]"
40,[0.3001606],[0.30081137],[0.28294018],"[78, 57, 42, 55, 73, 48, 64, 49, 80, 37]"
41,[0.30011293],[0.30081137],[0.29294883],"[78, 57, 42, 55, 73, 48, 64, 49, 80, 37]"
42,[0.30017674],[0.30081137],[0.28538792],"[78, 57, 42, 55, 73, 48, 64, 49, 80, 37]"
43,[0.3000064],[0.30081137],[0.28379784],"[78, 57, 42, 55, 73, 48, 64, 49, 80, 37]"
44,[0.29996101],[0.30081137],[0.2790423],"[78, 57, 42, 55, 73, 48, 64, 49, 80, 37]"
45,[0.29992812],[0.30081137],[0.28232916],"[78, 57, 42, 55, 73, 48, 64, 49, 80, 37]"
46,[0.30015787],[0.30081137],[0.29019217],"[78, 57, 42, 55, 73, 48, 64, 49, 80, 37]"
47,[0.30028678],[0.30085795],[0.2908667],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
48,[0.30042767],[0.30085795],[0.2908667],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
49,[0.30034517],[0.30085795],[0.28752],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
50,[0.30034505],[0.30085795],[0.28964131],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
51,[0.30034951],[0.30085795],[0.27629623],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
52,[0.30042413],[0.30085795],[0.28780125],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
53,[0.3003039],[0.30085795],[0.28620391],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
54,[0.30037904],[0.30085795],[0.29389407],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
55,[0.30030945],[0.30085795],[0.28151785],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
56,[0.30039408],[0.30085795],[0.28599165],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
57,[0.30048222],[0.30085795],[0.29529846],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
58,[0.30039861],[0.30085795],[0.28754387],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
59,[0.30036482],[0.30085795],[0.28764586],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
60,[0.30035349],[0.30085795],[0.28952996],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
61,[0.3002131],[0.30085795],[0.27969479],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
62,[0.30025766],[0.30085795],[0.28594535],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
63,[0.30029878],[0.30085795],[0.28881189],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
64,[0.30022814],[0.30085795],[0.27711849],"[78, 57, 55, 42, 73, 48, 64, 49, 80, 37]"
