Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.16226012],[0.17585508],[0.12850134],"[67, 39, 73, 76, 46, 79, 49, 51, 55, 57]"
2,[0.1748531],[0.17948922],[0.16132562],"[67, 39, 73, 70, 42, 79, 49, 51, 55, 57]"
3,[0.18081594],[0.18535806],[0.17287759],"[67, 79, 78, 45, 57, 39, 49, 55, 51, 73]"
4,[0.17837923],[0.1901308],[0.],"[67, 79, 78, 42, 57, 39, 49, 55, 51, 73]"
5,[0.18389071],[0.19053392],[0.],"[57, 55, 78, 79, 67, 42, 49, 39, 51, 73]"
6,[0.18443554],[0.19053392],[0.],"[57, 55, 78, 79, 67, 42, 49, 39, 51, 73]"
7,[0.18544819],[0.19073936],[0.],"[57, 55, 78, 79, 67, 42, 49, 39, 73, 51]"
8,[0.18800642],[0.19073936],[0.],"[57, 55, 78, 79, 67, 42, 49, 39, 73, 51]"
9,[0.1894457],[0.19083909],[0.18122202],"[57, 55, 78, 79, 67, 42, 49, 39, 64, 73]"
10,[0.18889607],[0.19083909],[0.],"[57, 55, 78, 79, 67, 42, 49, 39, 64, 73]"
11,[0.18837123],[0.19084637],[0.],"[67, 55, 78, 79, 57, 42, 49, 39, 73, 51]"
12,[0.19026902],[0.1909461],[0.18710097],"[67, 55, 78, 79, 57, 42, 49, 39, 64, 73]"
13,[0.19054149],[0.19100177],[0.18849974],"[57, 79, 78, 55, 42, 67, 49, 39, 64, 73]"
14,[0.19061026],[0.19118158],[0.18341284],"[67, 79, 78, 55, 57, 42, 49, 39, 64, 73]"
15,[0.19068384],[0.19118158],[0.18595614],"[67, 79, 78, 55, 57, 42, 49, 39, 64, 73]"
16,[0.19076294],[0.19134208],[0.18595614],"[79, 57, 67, 42, 78, 55, 49, 64, 73, 39]"
17,[0.18999862],[0.19134208],[0.],"[79, 57, 67, 42, 78, 55, 49, 64, 73, 39]"
18,[0.19048264],[0.19138838],[0.],"[67, 57, 79, 42, 78, 55, 49, 64, 73, 39]"
19,[0.19107676],[0.19138838],[0.18645112],"[67, 57, 79, 42, 78, 55, 49, 64, 73, 39]"
20,[0.19111075],[0.19138838],[0.186926],"[67, 57, 79, 42, 78, 55, 49, 64, 73, 39]"
21,[0.19113982],[0.19138838],[0.18687603],"[67, 57, 79, 42, 78, 55, 49, 64, 73, 39]"
22,[0.19113443],[0.19138838],[0.18765167],"[67, 57, 79, 42, 78, 55, 49, 64, 73, 39]"
23,[0.19119404],[0.19138838],[0.18614448],"[67, 57, 79, 42, 78, 55, 49, 64, 73, 39]"
24,[0.1911834],[0.19138838],[0.18535322],"[67, 57, 79, 42, 78, 55, 49, 64, 73, 39]"
25,[0.19123292],[0.19144124],[0.18836406],"[67, 57, 79, 42, 78, 55, 49, 73, 64, 39]"
26,[0.19126595],[0.19144124],[0.18610799],"[67, 57, 79, 42, 78, 55, 49, 73, 64, 39]"
27,[0.19127532],[0.19144124],[0.18763499],"[67, 57, 79, 42, 78, 55, 49, 73, 64, 39]"
28,[0.19129251],[0.19144124],[0.18702079],"[67, 57, 79, 42, 78, 55, 49, 73, 64, 39]"
29,[0.19084137],[0.19144716],[0.],"[67, 79, 57, 42, 78, 55, 49, 73, 39, 64]"
