Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.1797629],[0.20046884],[0.14710943],"[64, 68, 40, 46, 47, 48, 49, 50, 58, 29]"
2,[0.19906695],[0.21102244],[0.16928283],"[64, 48, 46, 49, 47, 58, 68, 50, 40, 29]"
3,[0.21052535],[0.22124114],[0.],"[78, 49, 73, 58, 64, 46, 50, 40, 68, 29]"
4,[0.21750323],[0.22766851],[0.],"[74, 49, 73, 58, 64, 46, 50, 40, 48, 37]"
5,[0.22425918],[0.22960144],[0.20790939],"[74, 49, 73, 58, 64, 46, 79, 50, 48, 37]"
6,[0.22734852],[0.22960144],[0.22179853],"[74, 49, 73, 58, 64, 46, 79, 50, 48, 37]"
7,[0.22823492],[0.22960144],[0.22179853],"[74, 49, 73, 58, 64, 46, 79, 50, 48, 37]"
8,[0.22876265],[0.22988718],[0.21885496],"[49, 58, 73, 74, 64, 46, 48, 51, 79, 37]"
9,[0.22593358],[0.23037718],[0.],"[58, 46, 49, 73, 74, 48, 79, 51, 80, 37]"
10,[0.22820205],[0.23040446],[0.],"[58, 46, 73, 74, 64, 48, 79, 51, 80, 37]"
11,[0.22939733],[0.23062417],[0.],"[58, 46, 49, 73, 74, 48, 79, 80, 51, 37]"
12,[0.23007396],[0.23065145],[0.22814058],"[58, 46, 73, 74, 64, 48, 79, 80, 51, 37]"
13,[0.23014706],[0.23065145],[0.22839686],"[58, 46, 73, 74, 64, 48, 79, 80, 51, 37]"
14,[0.2301858],[0.23065145],[0.22523084],"[58, 46, 73, 74, 64, 48, 79, 80, 51, 37]"
15,[0.23024605],[0.23075159],[0.22167524],"[58, 46, 73, 49, 74, 79, 48, 80, 51, 37]"
16,[0.23038082],[0.23076031],[0.22671253],"[58, 46, 73, 49, 74, 48, 79, 80, 51, 37]"
17,[0.23043766],[0.23076031],[0.22956233],"[58, 46, 73, 49, 74, 48, 79, 80, 51, 37]"
18,[0.23045867],[0.23076031],[0.22725991],"[58, 46, 73, 49, 74, 48, 79, 80, 51, 37]"
19,[0.23045044],[0.23076031],[0.22339111],"[58, 46, 73, 49, 74, 48, 79, 80, 51, 37]"
20,[0.23052625],[0.23076031],[0.22840721],"[58, 46, 73, 49, 74, 48, 79, 80, 51, 37]"
21,[0.230491],[0.23076031],[0.22851368],"[58, 46, 73, 49, 74, 48, 79, 80, 51, 37]"
22,[0.23052357],[0.23076031],[0.22954996],"[58, 46, 73, 49, 74, 48, 79, 80, 51, 37]"
23,[0.23052845],[0.23076031],[0.22611034],"[58, 46, 73, 49, 74, 48, 79, 80, 51, 37]"
24,[0.23050984],[0.23076031],[0.21298243],"[58, 46, 73, 49, 74, 48, 79, 80, 51, 37]"
25,[0.23052695],[0.23076031],[0.2275743],"[58, 46, 73, 49, 74, 48, 79, 80, 51, 37]"
26,[0.23058835],[0.23076632],[0.22965369],"[58, 46, 73, 79, 74, 49, 48, 80, 51, 37]"
27,[0.23053934],[0.23076632],[0.21911413],"[58, 46, 73, 79, 74, 49, 48, 80, 51, 37]"
28,[0.23057346],[0.23076632],[0.22808507],"[58, 46, 73, 79, 74, 49, 48, 80, 51, 37]"
29,[0.2305658],[0.23076632],[0.22382731],"[58, 46, 73, 79, 74, 49, 48, 80, 51, 37]"
30,[0.23055965],[0.23076632],[0.22382731],"[58, 46, 73, 79, 74, 49, 48, 80, 51, 37]"
31,[0.23057878],[0.23079246],[0.22548034],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
32,[0.23053572],[0.23079246],[0.2174941],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
33,[0.23063445],[0.23079246],[0.2269627],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
34,[0.23061225],[0.23079246],[0.21920738],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
35,[0.23066145],[0.23079246],[0.22715177],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
36,[0.23014563],[0.23079246],[0.],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
37,[0.23065402],[0.23079246],[0.22776668],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
38,[0.23067571],[0.23079246],[0.22953919],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
39,[0.23062345],[0.23079246],[0.224138],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
40,[0.23066081],[0.23079246],[0.228449],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
41,[0.23060834],[0.23079246],[0.22064288],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
42,[0.23067955],[0.23079246],[0.22812461],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
43,[0.23062843],[0.23079246],[0.22026095],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
44,[0.2306741],[0.23079246],[0.22838946],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
45,[0.23066737],[0.23079246],[0.22760552],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
46,[0.23069012],[0.23079246],[0.22703825],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
47,[0.23067951],[0.23079246],[0.22308678],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
48,[0.23069423],[0.23079246],[0.22951837],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
49,[0.23067378],[0.23079246],[0.22752265],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
50,[0.23067021],[0.23079246],[0.22237563],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
51,[0.23065269],[0.23079246],[0.22436545],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
52,[0.23066391],[0.23079246],[0.22478237],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
53,[0.23067747],[0.23079246],[0.22780577],"[58, 46, 73, 48, 74, 49, 79, 80, 51, 37]"
54,[0.23064414],[0.23079856],[0.22051456],"[58, 73, 46, 79, 74, 49, 48, 80, 51, 37]"
55,[0.23066399],[0.2308247],[0.22616929],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
56,[0.23062951],[0.2308247],[0.22616929],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
57,[0.23068262],[0.2308247],[0.22622608],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
58,[0.23071117],[0.2308247],[0.22898579],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
59,[0.230678],[0.2308247],[0.2235178],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
60,[0.23070261],[0.2308247],[0.22844701],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
61,[0.23071601],[0.2308247],[0.22844701],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
62,[0.23068775],[0.2308247],[0.22543096],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
63,[0.23023528],[0.2308247],[0.],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
64,[0.23070159],[0.2308247],[0.22780136],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
65,[0.23072625],[0.2308247],[0.22946218],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
66,[0.23068959],[0.2308247],[0.22378864],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
67,[0.23071496],[0.2308247],[0.2274634],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
68,[0.23071291],[0.2308247],[0.22309316],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
69,[0.23069663],[0.2308247],[0.22309316],"[58, 73, 46, 48, 74, 49, 79, 80, 51, 37]"
70,[0.23070378],[0.23084285],[0.21618761],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
71,[0.23073797],[0.23084285],[0.22570806],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
72,[0.23071494],[0.23084285],[0.22023519],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
73,[0.23075088],[0.23084285],[0.22875544],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
74,[0.23074169],[0.23084285],[0.22263858],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
75,[0.23076943],[0.23084285],[0.2291512],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
76,[0.23071285],[0.23084285],[0.22409592],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
77,[0.23077481],[0.23084285],[0.23009762],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
78,[0.23073269],[0.23084285],[0.22091296],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
79,[0.23075751],[0.23084285],[0.2285398],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
80,[0.23073304],[0.23084285],[0.21891027],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
81,[0.23071834],[0.23084285],[0.22280452],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
82,[0.23068019],[0.23084285],[0.22012974],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
83,[0.23076356],[0.23084285],[0.22899027],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
84,[0.23076717],[0.23084285],[0.22899027],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
85,[0.2307567],[0.23084285],[0.22598806],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
86,[0.23075206],[0.23084285],[0.22740278],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
87,[0.23076637],[0.23084285],[0.22699494],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
88,[0.23074634],[0.23084285],[0.2235796],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
89,[0.2307634],[0.23084285],[0.2263598],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
90,[0.23074598],[0.23084285],[0.22417737],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
91,[0.2307776],[0.23084285],[0.22982792],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
92,[0.23075662],[0.23084285],[0.22729753],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
93,[0.23073801],[0.23084285],[0.22373368],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
94,[0.23073208],[0.23084285],[0.2256772],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
95,[0.23070318],[0.23084285],[0.2268358],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
96,[0.23075202],[0.23084285],[0.22558271],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
97,[0.23078695],[0.23084285],[0.22975494],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
98,[0.23076185],[0.23084285],[0.22816711],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
99,[0.23072579],[0.23084285],[0.22397556],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
100,[0.23071922],[0.23084285],[0.22430196],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
101,[0.23071873],[0.23084285],[0.22473817],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
102,[0.23077173],[0.23084285],[0.22915073],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
103,[0.23077442],[0.23084285],[0.22822805],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
104,[0.23075592],[0.23084285],[0.22376137],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
105,[0.23076766],[0.23084285],[0.22825216],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
106,[0.23075583],[0.23084285],[0.22530023],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
107,[0.23078507],[0.23084285],[0.22987213],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
108,[0.23074268],[0.23084285],[0.22564627],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
109,[0.23078012],[0.23084285],[0.2288281],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
110,[0.23077596],[0.23084285],[0.22869744],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
111,[0.23073506],[0.23084285],[0.22611951],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
112,[0.23076421],[0.23084285],[0.2283386],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
113,[0.2307169],[0.23084285],[0.22515369],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
114,[0.23073391],[0.23084285],[0.22633387],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
115,[0.23073287],[0.23084285],[0.22553592],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
116,[0.23073468],[0.23084285],[0.22766166],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
117,[0.23072282],[0.23084285],[0.22134808],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
118,[0.23074651],[0.23084285],[0.22766822],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
119,[0.23073981],[0.23084285],[0.22859793],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
120,[0.23072135],[0.23084285],[0.21934395],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
121,[0.23078181],[0.23084285],[0.22829388],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
122,[0.23078414],[0.23084285],[0.22820612],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
123,[0.23077078],[0.23084285],[0.22216852],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
124,[0.23073707],[0.23084285],[0.22835452],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
125,[0.23073409],[0.23084285],[0.22071947],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
126,[0.23075867],[0.23084285],[0.22824168],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
127,[0.23073148],[0.23084285],[0.22883891],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
128,[0.23074894],[0.23084285],[0.22638323],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
129,[0.23078053],[0.23084285],[0.22784266],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
130,[0.2307876],[0.23084285],[0.22902631],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
131,[0.23076204],[0.23084285],[0.22574261],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
132,[0.23076943],[0.23084285],[0.22902544],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
133,[0.23072509],[0.23084285],[0.21653834],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
134,[0.23079145],[0.23084285],[0.22971574],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
135,[0.23076974],[0.23084285],[0.22723082],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
136,[0.23075029],[0.23084285],[0.22778509],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
137,[0.23070198],[0.23084285],[0.22751158],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
138,[0.23075129],[0.23084285],[0.22543403],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
139,[0.23077163],[0.23084285],[0.22815373],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
140,[0.23068465],[0.23084285],[0.22502133],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
141,[0.23073442],[0.23084285],[0.22493921],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
142,[0.23076833],[0.23084285],[0.22788997],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
143,[0.2307427],[0.23084285],[0.22738638],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
144,[0.23078491],[0.23084285],[0.2283672],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
145,[0.23076382],[0.23084285],[0.22646612],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
146,[0.23076569],[0.23084285],[0.22765126],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
147,[0.23077032],[0.23084285],[0.22467282],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
148,[0.23077838],[0.23084285],[0.22467282],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
149,[0.23079014],[0.23084285],[0.22532162],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
150,[0.2307739],[0.23084285],[0.2269431],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
151,[0.23079111],[0.23084285],[0.22936125],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
152,[0.23079093],[0.23084285],[0.22675281],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
153,[0.23079858],[0.23084285],[0.229776],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
154,[0.23077133],[0.23084285],[0.22574814],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
155,[0.23073017],[0.23084285],[0.2219152],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
156,[0.23074704],[0.23084285],[0.22729223],"[58, 73, 46, 74, 48, 79, 49, 80, 51, 37]"
