Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.2045052],[0.22092674],[0.17031981],"[64, 66, 38, 71, 72, 42, 80, 55, 58, 61]"
2,[0.22089964],[0.22813968],[0.21090955],"[58, 69, 38, 71, 72, 42, 80, 81, 49, 51]"
3,[0.22739045],[0.23123379],[0.21765121],"[58, 70, 38, 74, 73, 78, 80, 81, 55, 62]"
4,[0.23138526],[0.2343537],[0.22387902],"[58, 69, 55, 71, 73, 78, 80, 49, 81, 51]"
5,[0.23375028],[0.23481697],[0.2307826],"[58, 46, 49, 74, 71, 78, 70, 80, 55, 62]"
6,[0.23459128],[0.23539921],[0.23131005],"[58, 69, 49, 74, 71, 78, 70, 80, 55, 51]"
7,[0.23509968],[0.23569579],[0.23300228],"[58, 49, 71, 74, 69, 70, 51, 78, 73, 81]"
8,[0.23551235],[0.2359349],[0.23451591],"[58, 69, 49, 74, 71, 55, 70, 46, 73, 81]"
9,[0.2357701],[0.23610445],[0.23471368],"[58, 49, 71, 74, 69, 55, 70, 46, 73, 81]"
10,[0.23586381],[0.23623082],[0.23500504],"[58, 49, 71, 74, 69, 55, 70, 46, 73, 51]"
11,[0.23594605],[0.23623082],[0.2352927],"[58, 49, 71, 74, 69, 55, 70, 46, 73, 51]"
12,[0.23597708],[0.23623082],[0.23449595],"[58, 49, 71, 74, 69, 55, 70, 46, 73, 51]"
13,[0.2360053],[0.23623082],[0.23515244],"[58, 49, 71, 74, 69, 55, 70, 46, 73, 51]"
14,[0.2360383],[0.23623082],[0.23406794],"[58, 49, 71, 74, 69, 55, 70, 46, 73, 51]"
15,[0.23607116],[0.23623082],[0.23526895],"[58, 49, 71, 74, 69, 55, 70, 46, 73, 51]"
16,[0.2360889],[0.23623082],[0.23572151],"[58, 49, 71, 74, 69, 55, 70, 46, 73, 51]"
17,[0.2361016],[0.23623082],[0.23547311],"[58, 49, 71, 74, 69, 55, 70, 46, 73, 51]"
18,[0.2361],[0.23623082],[0.23398471],"[58, 49, 71, 74, 69, 55, 70, 46, 73, 51]"
19,[0.2360998],[0.23623082],[0.23526715],"[58, 49, 71, 74, 69, 55, 70, 46, 73, 51]"
20,[0.2361217],[0.2362426],[0.23567182],"[58, 49, 71, 74, 70, 55, 69, 73, 46, 51]"
21,[0.23613812],[0.2362626],[0.23557901],"[58, 49, 71, 74, 69, 55, 70, 73, 46, 51]"
22,[0.23614286],[0.2362626],[0.23498796],"[58, 49, 71, 74, 69, 55, 70, 73, 46, 51]"
23,[0.23614423],[0.2362626],[0.23453112],"[58, 49, 71, 74, 69, 55, 70, 73, 46, 51]"
24,[0.23616314],[0.2362626],[0.23575163],"[58, 49, 71, 74, 69, 55, 70, 73, 46, 51]"
25,[0.23618059],[0.2362626],[0.23554319],"[58, 49, 71, 74, 69, 55, 70, 73, 46, 51]"
26,[0.23617651],[0.23627297],[0.23505689],"[58, 49, 71, 73, 69, 74, 70, 55, 46, 51]"
27,[0.23618013],[0.23627297],[0.23461925],"[58, 49, 71, 73, 69, 74, 70, 55, 46, 51]"
28,[0.23571556],[0.23630091],[0.],"[58, 49, 71, 74, 69, 73, 70, 55, 46, 51]"
29,[0.23572213],[0.23630091],[0.],"[58, 49, 71, 74, 69, 73, 70, 55, 46, 51]"
30,[0.23621718],[0.23630091],[0.23538692],"[58, 49, 71, 74, 69, 73, 70, 55, 46, 51]"
31,[0.23621697],[0.23630182],[0.23516388],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
32,[0.23622397],[0.23630182],[0.23517002],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
33,[0.23528079],[0.23630182],[0.],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
34,[0.23623217],[0.23630182],[0.23520907],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
35,[0.23623201],[0.23630182],[0.23561701],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
36,[0.23622633],[0.23630182],[0.23471511],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
37,[0.23623107],[0.23630182],[0.23503468],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
38,[0.23624024],[0.23630182],[0.2347494],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
39,[0.23624864],[0.23630182],[0.23471647],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
40,[0.23624536],[0.23630182],[0.23526327],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
41,[0.23624965],[0.23630182],[0.23458034],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
42,[0.2362507],[0.23630182],[0.23444339],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
43,[0.23626784],[0.23630182],[0.23596405],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
44,[0.23626001],[0.23630182],[0.2354559],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
45,[0.23626092],[0.23630182],[0.23580073],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
46,[0.23625717],[0.23630182],[0.23556157],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
47,[0.23625026],[0.23630182],[0.23567006],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
48,[0.23626574],[0.23630182],[0.23584283],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
49,[0.23626106],[0.23630182],[0.23564357],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
50,[0.23625866],[0.23630182],[0.23502069],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
51,[0.23626208],[0.23630182],[0.23561483],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
52,[0.23624514],[0.23630182],[0.23501317],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
53,[0.23624876],[0.23630182],[0.23550778],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
54,[0.23625796],[0.23630182],[0.23577462],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
55,[0.23626412],[0.23630182],[0.23577462],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
56,[0.23625361],[0.23630182],[0.23473502],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
57,[0.23626197],[0.23630182],[0.23568478],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
58,[0.23626664],[0.23630182],[0.23558868],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
59,[0.23626773],[0.23630182],[0.23604529],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
60,[0.23626131],[0.23630182],[0.23576324],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
61,[0.23625572],[0.23630182],[0.23562081],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
62,[0.23626025],[0.23630182],[0.23494034],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
63,[0.23626259],[0.23630182],[0.23598781],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
64,[0.23627027],[0.23630182],[0.23598781],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
65,[0.2362614],[0.23630182],[0.23542027],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
66,[0.23626662],[0.23630182],[0.23561854],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
67,[0.23625816],[0.23630182],[0.23516615],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
68,[0.23626261],[0.23630182],[0.23562065],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
69,[0.2362642],[0.23630182],[0.235783],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
70,[0.23627097],[0.23630182],[0.23532141],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
71,[0.2362669],[0.23630182],[0.23513961],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
72,[0.23626484],[0.23630182],[0.23534332],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
73,[0.23627092],[0.23630182],[0.23512327],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
74,[0.23627526],[0.23630182],[0.23569325],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
75,[0.23626902],[0.23630182],[0.23446704],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
76,[0.23626591],[0.23630182],[0.23528543],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
77,[0.2362554],[0.23630182],[0.23496308],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
78,[0.23626686],[0.23630182],[0.23531622],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
79,[0.23627024],[0.23630182],[0.23550877],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
80,[0.23627497],[0.23630182],[0.23578543],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
81,[0.23627294],[0.23630182],[0.23499719],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
82,[0.23627375],[0.23630182],[0.23559808],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
83,[0.23627537],[0.23630182],[0.23557666],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
84,[0.23627104],[0.23630182],[0.23559852],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
85,[0.23627617],[0.23630182],[0.23553586],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
86,[0.23628041],[0.23630182],[0.23589308],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
87,[0.2362722],[0.23630182],[0.23496694],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
88,[0.23627076],[0.23630182],[0.23574954],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
89,[0.23627329],[0.23630182],[0.23550878],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
90,[0.23627432],[0.23630182],[0.23581857],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
91,[0.23627323],[0.23630182],[0.23558077],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
92,[0.23627397],[0.23630182],[0.23514159],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
93,[0.23627715],[0.23630182],[0.23568725],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
94,[0.23627691],[0.23630182],[0.23538172],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
95,[0.23627058],[0.23630182],[0.23465922],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
96,[0.23626889],[0.23630182],[0.23573033],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
97,[0.23627622],[0.23630182],[0.23575992],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
98,[0.23627977],[0.23630182],[0.23564825],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
99,[0.23627211],[0.23630182],[0.23567287],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
100,[0.23627779],[0.23630182],[0.23567287],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
101,[0.23627454],[0.23630182],[0.23572637],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
102,[0.23627278],[0.23630182],[0.23560153],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
103,[0.23626761],[0.23630182],[0.23539214],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
104,[0.23626924],[0.23630182],[0.23539214],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
105,[0.23627335],[0.23630182],[0.23545076],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
106,[0.2362631],[0.23630182],[0.23531961],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
107,[0.23627375],[0.23630182],[0.23578175],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
108,[0.23628026],[0.23630182],[0.23601667],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
109,[0.23627902],[0.23630182],[0.23545635],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
110,[0.23627635],[0.23630182],[0.23532231],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
111,[0.23627067],[0.23630182],[0.23477754],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
112,[0.23626654],[0.23630182],[0.23560363],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
113,[0.23627187],[0.23630182],[0.2355964],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
114,[0.23627272],[0.23630182],[0.2354335],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
115,[0.23625548],[0.23630182],[0.23511382],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
116,[0.23626341],[0.23630182],[0.23546912],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
117,[0.23626643],[0.23630182],[0.23537826],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
118,[0.23627137],[0.23630182],[0.23563153],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
119,[0.23627248],[0.23630182],[0.23569855],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
120,[0.23627572],[0.23630182],[0.23566208],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
121,[0.23627616],[0.23630182],[0.23529813],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
122,[0.23626945],[0.23630182],[0.23555598],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
123,[0.23626831],[0.23630182],[0.23458014],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
124,[0.23627538],[0.23630182],[0.23551975],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
125,[0.23626471],[0.23630182],[0.23541595],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
126,[0.23626711],[0.23630182],[0.23532439],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
127,[0.23626377],[0.23630182],[0.23372614],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
128,[0.23628273],[0.23630182],[0.23612183],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
129,[0.2362781],[0.23630182],[0.23563749],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
130,[0.23626517],[0.23630182],[0.23510717],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
131,[0.2362769],[0.23630182],[0.23563749],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
132,[0.23627337],[0.23630182],[0.23531289],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
133,[0.23627333],[0.23630182],[0.23513947],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
134,[0.23626461],[0.23630182],[0.23492518],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
135,[0.23627004],[0.23630182],[0.23497203],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
136,[0.23627758],[0.23630182],[0.23488838],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
137,[0.23627366],[0.23630182],[0.23554736],"[58, 49, 71, 74, 73, 69, 70, 55, 46, 51]"
