Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.1848529],[0.2381962],[0.15503906],"[64, 74, 42, 67, 73, 76, 78, 79, 49, 51, 24]"
2,[0.21745941],[0.24096981],[0.1733449],"[64, 74, 42, 67, 73, 76, 78, 79, 49, 51, 58]"
3,[0.2377549],[0.24968075],[0.20963601],"[42, 78, 64, 79, 73, 76, 67, 50, 51, 74, 58]"
4,[0.233432],[0.25539484],[0.],"[79, 73, 78, 64, 49, 42, 76, 67, 55, 51, 74]"
5,[0.2464094],[0.25706456],[0.],"[79, 73, 78, 64, 49, 42, 76, 67, 55, 74, 58]"
6,[0.25286487],[0.25755566],[0.23651148],"[79, 73, 78, 64, 49, 42, 76, 50, 55, 74, 58]"
7,[0.25489832],[0.2600521],[0.],"[79, 55, 42, 76, 78, 74, 73, 50, 49, 58, 64]"
8,[0.25281937],[0.26145261],[0.],"[79, 55, 42, 74, 78, 49, 73, 50, 76, 58, 64]"
9,[0.24404424],[0.26214849],[0.],"[79, 55, 42, 78, 74, 49, 73, 50, 76, 58, 64]"
10,[0.25827815],[0.26338088],[0.24421836],"[79, 55, 42, 78, 74, 49, 73, 67, 48, 58, 64]"
11,[0.26062595],[0.26387197],[0.25105621],"[79, 55, 42, 78, 74, 49, 73, 50, 48, 58, 64]"
12,[0.26186399],[0.26387197],[0.25663676],"[79, 55, 42, 78, 74, 49, 73, 50, 48, 58, 64]"
13,[0.26287266],[0.26458533],[0.25614179],"[79, 78, 42, 55, 74, 49, 48, 58, 73, 67, 64]"
14,[0.26321926],[0.26510326],[0.],"[79, 55, 73, 78, 42, 49, 48, 64, 74, 67, 58]"
15,[0.2585373],[0.26650963],[0.],"[79, 55, 42, 78, 74, 48, 73, 58, 64, 49, 50]"
16,[0.25809954],[0.26683375],[0.],"[79, 78, 42, 55, 74, 48, 73, 58, 64, 49, 50]"
17,[0.26368379],[0.26683375],[0.],"[79, 78, 42, 55, 74, 48, 73, 58, 64, 49, 50]"
18,[0.26552222],[0.26683375],[0.2545114],"[79, 78, 42, 55, 74, 48, 73, 58, 64, 49, 50]"
19,[0.26599461],[0.26683375],[0.26195792],"[79, 78, 42, 55, 74, 48, 73, 58, 64, 49, 50]"
20,[0.26631088],[0.26725023],[0.24892741],"[79, 78, 42, 55, 74, 48, 73, 64, 58, 49, 50]"
21,[0.26654411],[0.26725023],[0.26418257],"[79, 78, 42, 55, 74, 48, 73, 64, 58, 49, 50]"
22,[0.26667797],[0.26725023],[0.26132349],"[79, 78, 42, 55, 74, 48, 73, 64, 58, 49, 50]"
23,[0.26676393],[0.26741542],[0.25687313],"[79, 78, 42, 55, 48, 74, 73, 64, 58, 49, 50]"
24,[0.26687394],[0.26741542],[0.26132349],"[79, 78, 42, 55, 48, 74, 73, 64, 58, 49, 50]"
25,[0.26694784],[0.26741542],[0.26134752],"[79, 78, 42, 55, 48, 74, 73, 64, 58, 49, 50]"
26,[0.26698312],[0.26741542],[0.26306636],"[79, 78, 42, 55, 48, 74, 73, 64, 58, 49, 50]"
27,[0.2669977],[0.26741542],[0.2621525],"[79, 78, 42, 55, 48, 74, 73, 64, 58, 49, 50]"
28,[0.26696269],[0.26747196],[0.256895],"[79, 42, 78, 55, 48, 74, 73, 64, 49, 58, 50]"
29,[0.26707897],[0.26758655],[0.25944393],"[79, 78, 42, 55, 48, 74, 73, 64, 49, 58, 50]"
30,[0.2671363],[0.26758655],[0.25774611],"[79, 78, 42, 55, 48, 74, 73, 64, 49, 58, 50]"
