Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.17372553],[0.20240668],[0.14772413],"[58, 40, 73, 74, 76, 48, 49, 50, 83, 19]"
2,[0.19695808],[0.21127986],[0.17519417],"[64, 45, 73, 74, 76, 48, 49, 50, 58, 2]"
3,[0.20881095],[0.21605131],[0.19244203],"[74, 76, 73, 50, 49, 64, 48, 45, 58, 63]"
4,[0.21269374],[0.2176638],[0.20570619],"[73, 74, 58, 48, 76, 79, 49, 45, 64, 63]"
5,[0.20622116],[0.21921675],[0.],"[76, 49, 73, 74, 45, 79, 64, 48, 58, 63]"
6,[0.21160689],[0.21953029],[0.],"[73, 76, 58, 48, 49, 79, 74, 45, 64, 63]"
7,[0.2139769],[0.21992206],[0.],"[76, 73, 58, 74, 49, 64, 79, 48, 45, 63]"
8,[0.21515822],[0.22012775],[0.],"[76, 49, 73, 74, 79, 64, 58, 45, 48, 63]"
9,[0.21867233],[0.22038241],[0.20903416],"[76, 49, 73, 74, 79, 64, 58, 48, 45, 63]"
10,[0.21675364],[0.22038241],[0.],"[76, 49, 73, 74, 79, 64, 58, 48, 45, 63]"
11,[0.2165803],[0.22041716],[0.],"[73, 76, 79, 49, 64, 58, 48, 45, 74, 63]"
12,[0.21623793],[0.22041716],[0.],"[73, 76, 79, 49, 64, 58, 48, 45, 74, 63]"
13,[0.21494052],[0.22087739],[0.],"[73, 76, 79, 49, 64, 58, 74, 48, 45, 63]"
14,[0.21928143],[0.22087739],[0.],"[73, 76, 79, 49, 64, 58, 74, 48, 45, 63]"
15,[0.22009677],[0.22087739],[0.21300879],"[73, 76, 79, 49, 64, 58, 74, 48, 45, 63]"
16,[0.22022534],[0.22092639],[0.21300879],"[73, 76, 74, 49, 79, 64, 58, 48, 45, 63]"
17,[0.22025737],[0.22092639],[0.21010964],"[73, 76, 74, 49, 79, 64, 58, 48, 45, 63]"
18,[0.2194775],[0.22092639],[0.],"[73, 76, 74, 49, 79, 64, 58, 48, 45, 63]"
19,[0.22028746],[0.22092639],[0.20942276],"[73, 76, 74, 49, 79, 64, 58, 48, 45, 63]"
20,[0.22036679],[0.22092639],[0.21491399],"[73, 76, 74, 49, 79, 64, 58, 48, 45, 63]"
21,[0.21990653],[0.22092639],[0.],"[73, 76, 74, 49, 79, 64, 58, 48, 45, 63]"
22,[0.21994304],[0.22094254],[0.],"[73, 76, 49, 74, 64, 79, 58, 48, 45, 63]"
23,[0.21915701],[0.22106709],[0.],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
24,[0.2205741],[0.22106709],[0.21632444],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
25,[0.22016104],[0.22106709],[0.],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
26,[0.22056102],[0.22106709],[0.21415253],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
27,[0.22061989],[0.22106709],[0.21161664],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
28,[0.22062371],[0.22106709],[0.21504911],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
29,[0.22068146],[0.22106709],[0.21590809],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
30,[0.2207176],[0.22106709],[0.21590809],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
31,[0.22073079],[0.22106709],[0.21625851],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
32,[0.2207103],[0.22106709],[0.21486953],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
33,[0.22070914],[0.22106709],[0.21756648],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
34,[0.22018961],[0.22106709],[0.],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
35,[0.22062084],[0.22106709],[0.20835446],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
36,[0.22073197],[0.22106709],[0.21690982],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
37,[0.21927759],[0.22106709],[0.],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
38,[0.22065809],[0.22106709],[0.21420887],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
39,[0.22007561],[0.22106709],[0.],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
40,[0.22062308],[0.22106709],[0.2075929],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
41,[0.22074539],[0.22106709],[0.2148449],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
42,[0.2207424],[0.22106709],[0.21620982],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
43,[0.22011057],[0.22106709],[0.],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
44,[0.22062492],[0.22106709],[0.20871641],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
45,[0.22059336],[0.22106709],[0.20588397],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
46,[0.22072381],[0.22106709],[0.21367887],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
47,[0.22027816],[0.22106709],[0.],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
48,[0.22073421],[0.22106709],[0.21337801],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
49,[0.22071037],[0.22106709],[0.21351361],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
50,[0.2205165],[0.22106709],[0.19977207],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
51,[0.22057579],[0.22106709],[0.20971274],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
52,[0.2206227],[0.22106709],[0.21019598],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
53,[0.2206096],[0.22106709],[0.21435628],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
54,[0.22068354],[0.22106709],[0.21551482],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
55,[0.2206193],[0.22106709],[0.21086935],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
56,[0.22072891],[0.22106709],[0.21516529],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
57,[0.22079299],[0.22106709],[0.2162102],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
58,[0.22077426],[0.22106709],[0.21024191],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
59,[0.22081244],[0.22106709],[0.21676551],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
60,[0.2206581],[0.22106709],[0.20981215],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
61,[0.22069161],[0.22106709],[0.20993402],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
62,[0.22077177],[0.22106709],[0.21724312],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
63,[0.22072102],[0.22106709],[0.21223184],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
64,[0.22069792],[0.22106709],[0.20897146],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
65,[0.22079072],[0.22106709],[0.21824318],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
66,[0.22024427],[0.22106709],[0.],"[73, 76, 49, 74, 79, 64, 58, 48, 45, 63]"
67,[0.22080504],[0.22113975],[0.21194548],"[73, 76, 49, 79, 74, 64, 58, 48, 45, 63]"
68,[0.2208739],[0.22113975],[0.21391159],"[73, 76, 49, 79, 74, 64, 58, 48, 45, 63]"
69,[0.22088205],[0.22113975],[0.21085944],"[73, 76, 49, 79, 74, 64, 58, 48, 45, 63]"
70,[0.2208884],[0.22113975],[0.20891611],"[73, 76, 49, 79, 74, 64, 58, 48, 45, 63]"
71,[0.22090099],[0.22113975],[0.21456377],"[73, 76, 49, 79, 74, 64, 58, 48, 45, 63]"
72,[0.22090097],[0.22113975],[0.21255276],"[73, 76, 49, 79, 74, 64, 58, 48, 45, 63]"
73,[0.22092019],[0.22113975],[0.2148659],"[73, 76, 49, 79, 74, 64, 58, 48, 45, 63]"
74,[0.22089187],[0.22113975],[0.2109663],"[73, 76, 49, 79, 74, 64, 58, 48, 45, 63]"
75,[0.22088891],[0.22113975],[0.21358535],"[73, 76, 49, 79, 74, 64, 58, 48, 45, 63]"
76,[0.22088071],[0.22113975],[0.21492683],"[73, 76, 49, 79, 74, 64, 58, 48, 45, 63]"
77,[0.22091637],[0.22113975],[0.21595438],"[73, 76, 49, 79, 74, 64, 58, 48, 45, 63]"
78,[0.22088911],[0.22117942],[0.2133622],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
79,[0.22097033],[0.22117942],[0.21590586],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
80,[0.22096965],[0.22117942],[0.21324042],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
81,[0.22096753],[0.22117942],[0.21596521],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
82,[0.22102076],[0.22117942],[0.21980391],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
83,[0.22097635],[0.22117942],[0.21029106],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
84,[0.22097526],[0.22117942],[0.21467502],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
85,[0.2210107],[0.22117942],[0.21612683],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
86,[0.22094303],[0.22117942],[0.21062847],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
87,[0.22094674],[0.22117942],[0.21081772],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
88,[0.22102733],[0.22117942],[0.21804645],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
89,[0.22101604],[0.22117942],[0.21484089],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
90,[0.22100152],[0.22117942],[0.21789488],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
91,[0.2209757],[0.22117942],[0.21608215],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
92,[0.22098917],[0.22117942],[0.21146673],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
93,[0.22102385],[0.22117942],[0.21796536],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
94,[0.22097718],[0.22117942],[0.21274857],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
95,[0.22093096],[0.22117942],[0.21143198],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
96,[0.22094381],[0.22117942],[0.21584106],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
97,[0.22095341],[0.22117942],[0.21584835],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
98,[0.22098192],[0.22117942],[0.21609287],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
99,[0.22097983],[0.22117942],[0.21364309],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
100,[0.22102426],[0.22117942],[0.21626869],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
101,[0.22093241],[0.22117942],[0.21254298],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
102,[0.2209115],[0.22117942],[0.21365524],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
103,[0.22097673],[0.22117942],[0.21459262],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
104,[0.22100457],[0.22117942],[0.21639305],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
105,[0.22094863],[0.22117942],[0.21088292],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
106,[0.22093603],[0.22117942],[0.21500833],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
107,[0.22097261],[0.22117942],[0.21437663],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
108,[0.22103282],[0.22117942],[0.2190452],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
109,[0.22105384],[0.22117942],[0.21910952],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
110,[0.22102145],[0.22117942],[0.21113625],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
111,[0.22099844],[0.22117942],[0.2149198],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
112,[0.22102006],[0.22117942],[0.21616914],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
113,[0.22099856],[0.22117942],[0.21399599],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
114,[0.22101078],[0.22117942],[0.21640673],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
115,[0.22102398],[0.22117942],[0.21614482],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
116,[0.22098088],[0.22117942],[0.21519107],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
117,[0.22090853],[0.22117942],[0.21243567],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
118,[0.22092624],[0.22117942],[0.21519766],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
119,[0.22096876],[0.22117942],[0.2156047],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
120,[0.22098045],[0.22117942],[0.21409227],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
121,[0.22100017],[0.22117942],[0.21574023],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
122,[0.22103874],[0.22117942],[0.2168373],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
123,[0.22104354],[0.22117942],[0.21821836],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
124,[0.22095309],[0.22117942],[0.21600357],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
125,[0.22101241],[0.22117942],[0.21573539],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
126,[0.22097061],[0.22117942],[0.21502407],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
127,[0.22098503],[0.22117942],[0.21696189],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
128,[0.22098916],[0.22117942],[0.21749601],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
129,[0.22097455],[0.22117942],[0.21420381],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
130,[0.22091994],[0.22117942],[0.21352884],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
131,[0.22091399],[0.22117942],[0.21652958],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
132,[0.22097869],[0.22117942],[0.21652958],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
133,[0.22097365],[0.22117942],[0.21498936],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
134,[0.22098917],[0.22117942],[0.21544417],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
135,[0.22101767],[0.22117942],[0.21382654],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
136,[0.22094353],[0.22117942],[0.21434741],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
137,[0.22099613],[0.22117942],[0.21683052],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
138,[0.2210266],[0.22117942],[0.21720024],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
139,[0.22105338],[0.22117942],[0.21720024],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
140,[0.22095709],[0.22117942],[0.21390331],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
141,[0.22097195],[0.22117942],[0.21187303],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
142,[0.22100798],[0.22117942],[0.21520448],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
143,[0.22099001],[0.22117942],[0.21043069],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
144,[0.22099227],[0.22117942],[0.21678705],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
145,[0.22094377],[0.22117942],[0.2160873],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
146,[0.22094437],[0.22117942],[0.20571466],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
147,[0.22098962],[0.22117942],[0.20894739],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
148,[0.22095841],[0.22117942],[0.20537675],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
149,[0.22088148],[0.22117942],[0.21356734],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
150,[0.22106085],[0.22117942],[0.21864525],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
151,[0.22102716],[0.22117942],[0.21637742],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
152,[0.22100329],[0.22117942],[0.21269713],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
153,[0.22101861],[0.22117942],[0.21604833],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
154,[0.22084987],[0.22117942],[0.2153611],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
155,[0.22097125],[0.22117942],[0.21638687],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
156,[0.22093011],[0.22117942],[0.21401268],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
157,[0.22101472],[0.22117942],[0.21877944],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
158,[0.22098614],[0.22117942],[0.21639096],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
159,[0.22098141],[0.22117942],[0.21473618],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
160,[0.22093063],[0.22117942],[0.21171665],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
161,[0.2209324],[0.22117942],[0.2106999],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
162,[0.22096079],[0.22117942],[0.2109788],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
163,[0.22098375],[0.22117942],[0.21470299],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
164,[0.22097665],[0.22117942],[0.21490088],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
165,[0.22101363],[0.22117942],[0.21456385],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
166,[0.22095349],[0.22117942],[0.21503018],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
167,[0.22101726],[0.22117942],[0.21866134],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
168,[0.22101654],[0.22117942],[0.21590757],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
169,[0.22097565],[0.22117942],[0.21538999],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
170,[0.22095281],[0.22117942],[0.21530604],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
171,[0.22097464],[0.22117942],[0.21708655],"[73, 76, 49, 79, 74, 64, 48, 58, 45, 63]"
