Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18857742],[0.21389306],[0.151966],"[64, 74, 42, 38, 39, 71, 73, 76, 12, 60, 30]"
2,[0.21314468],[0.23778687],[0.18342091],"[64, 74, 42, 69, 73, 45, 78, 46, 53, 60, 47]"
3,[0.23337841],[0.24426043],[0.21461899],"[64, 74, 42, 69, 73, 71, 79, 80, 55, 45, 47]"
4,[0.24383277],[0.25013913],[0.22496547],"[64, 74, 73, 46, 42, 78, 79, 80, 69, 60, 30]"
5,[0.24880118],[0.25583001],[0.22165225],"[73, 79, 64, 74, 55, 78, 42, 69, 80, 45, 47]"
6,[0.25127728],[0.25583001],[0.24070079],"[73, 79, 64, 74, 55, 78, 42, 69, 80, 45, 47]"
7,[0.25211286],[0.25583001],[0.],"[73, 79, 64, 74, 55, 78, 42, 69, 80, 45, 47]"
8,[0.25177164],[0.25606557],[0.],"[64, 74, 73, 46, 42, 78, 79, 80, 55, 69, 47]"
9,[0.25243972],[0.25606557],[0.],"[64, 74, 73, 46, 42, 78, 79, 80, 55, 69, 47]"
10,[0.2529515],[0.25606557],[0.],"[64, 74, 73, 46, 42, 78, 79, 80, 55, 69, 47]"
11,[0.25007718],[0.25606557],[0.],"[64, 74, 73, 46, 42, 78, 79, 80, 55, 69, 47]"
12,[0.2507754],[0.25636289],[0.],"[73, 74, 64, 79, 42, 55, 69, 78, 80, 46, 47]"
13,[0.24916636],[0.25773789],[0.],"[73, 79, 64, 74, 78, 46, 42, 80, 55, 69, 47]"
14,[0.24900331],[0.2581502],[0.],"[73, 79, 64, 74, 55, 78, 42, 46, 80, 69, 47]"
15,[0.25185698],[0.25838647],[0.],"[73, 74, 64, 79, 55, 78, 42, 46, 80, 69, 47]"
16,[0.25606471],[0.25838647],[0.],"[73, 74, 64, 79, 55, 78, 42, 46, 80, 69, 47]"
17,[0.25666156],[0.25838647],[0.],"[73, 74, 64, 79, 55, 78, 42, 46, 80, 69, 47]"
18,[0.2576132],[0.25838647],[0.24697939],"[73, 74, 64, 79, 55, 78, 42, 46, 80, 69, 47]"
19,[0.25774151],[0.25838647],[0.25275412],"[73, 74, 64, 79, 55, 78, 42, 46, 80, 69, 47]"
20,[0.25777302],[0.25838647],[0.24802944],"[73, 74, 64, 79, 55, 78, 42, 46, 80, 69, 47]"
21,[0.25784713],[0.25838647],[0.24919468],"[73, 74, 64, 79, 55, 78, 42, 46, 80, 69, 47]"
22,[0.25779474],[0.25838647],[0.23314032],"[73, 74, 64, 79, 55, 78, 42, 46, 80, 69, 47]"
23,[0.25787506],[0.25838647],[0.24913203],"[73, 74, 64, 79, 55, 78, 42, 46, 80, 69, 47]"
24,[0.25795212],[0.25838647],[0.25130555],"[73, 74, 64, 79, 55, 78, 42, 46, 80, 69, 47]"
25,[0.25770411],[0.25838647],[0.24744975],"[73, 74, 64, 79, 55, 78, 42, 46, 80, 69, 47]"
26,[0.25786302],[0.25838647],[0.25207239],"[73, 74, 64, 79, 55, 78, 42, 46, 80, 69, 47]"
27,[0.25797134],[0.25840957],[0.24606384],"[73, 74, 64, 78, 79, 55, 42, 46, 69, 80, 47]"
28,[0.25785561],[0.25850238],[0.23153352],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
29,[0.25779666],[0.25850238],[0.23689051],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
30,[0.25802976],[0.25850238],[0.24817295],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
31,[0.25807445],[0.25850238],[0.25257858],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
32,[0.25814818],[0.25850238],[0.24575967],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
33,[0.25813731],[0.25850238],[0.24858655],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
34,[0.25810241],[0.25850238],[0.25169977],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
35,[0.25804297],[0.25850238],[0.25183779],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
36,[0.25753901],[0.25850238],[0.],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
37,[0.25808909],[0.25850238],[0.24305925],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
38,[0.25819903],[0.25850238],[0.2508752],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
39,[0.25813548],[0.25850238],[0.24839528],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
40,[0.25819171],[0.25850238],[0.25158557],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
41,[0.25822576],[0.25850238],[0.25334705],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
42,[0.25820885],[0.25850238],[0.24991316],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
43,[0.25818783],[0.25850238],[0.25345698],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
44,[0.25814595],[0.25850238],[0.24673612],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
45,[0.25817529],[0.25850238],[0.23914999],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
46,[0.25821065],[0.25850238],[0.24937092],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
47,[0.25809741],[0.25850238],[0.24073661],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
48,[0.25807144],[0.25850238],[0.24948877],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
49,[0.25797369],[0.25850238],[0.24766781],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
50,[0.25799552],[0.25850238],[0.24909674],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
51,[0.25805867],[0.25850238],[0.2503866],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
52,[0.25814367],[0.25850238],[0.25045766],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
53,[0.25812724],[0.25850238],[0.24665916],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
54,[0.25806936],[0.25850238],[0.24975722],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
55,[0.25825037],[0.25850238],[0.25553681],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
56,[0.25828094],[0.25850238],[0.25012702],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
57,[0.25821961],[0.25850238],[0.25162908],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
58,[0.25823162],[0.25850238],[0.24423432],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
59,[0.25815737],[0.25850238],[0.25145662],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
60,[0.25811118],[0.25850238],[0.25056825],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
61,[0.25825544],[0.25850238],[0.2524586],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
62,[0.25822407],[0.25850238],[0.24789083],"[73, 74, 64, 78, 79, 55, 42, 46, 80, 69, 47]"
63,[0.25825437],[0.25858121],[0.25198695],"[64, 74, 73, 79, 78, 55, 42, 46, 80, 69, 47]"
64,[0.25818739],[0.25862694],[0.24509783],"[73, 74, 64, 79, 78, 55, 42, 46, 80, 69, 47]"
65,[0.25809927],[0.25862694],[0.24604712],"[73, 74, 64, 79, 78, 55, 42, 46, 80, 69, 47]"
66,[0.25823471],[0.25862694],[0.25120574],"[73, 74, 64, 79, 78, 55, 42, 46, 80, 69, 47]"
67,[0.25830175],[0.25862694],[0.25132774],"[73, 74, 64, 79, 78, 55, 42, 46, 80, 69, 47]"
68,[0.2583218],[0.25862694],[0.24857788],"[73, 74, 64, 79, 78, 55, 42, 46, 80, 69, 47]"
69,[0.25833512],[0.25862694],[0.24933381],"[73, 74, 64, 79, 78, 55, 42, 46, 80, 69, 47]"
70,[0.25834555],[0.25862694],[0.24936832],"[73, 74, 64, 79, 78, 55, 42, 46, 80, 69, 47]"
71,[0.25834523],[0.25862694],[0.2515875],"[73, 74, 64, 79, 78, 55, 42, 46, 80, 69, 47]"
72,[0.25833122],[0.25862694],[0.25103303],"[73, 74, 64, 79, 78, 55, 42, 46, 80, 69, 47]"
73,[0.25830772],[0.25862694],[0.25077826],"[73, 74, 64, 79, 78, 55, 42, 46, 80, 69, 47]"
74,[0.25836805],[0.25862694],[0.24690182],"[73, 74, 64, 79, 78, 55, 42, 46, 80, 69, 47]"
75,[0.25825515],[0.25862694],[0.25016453],"[73, 74, 64, 79, 78, 55, 42, 46, 80, 69, 47]"
76,[0.25831778],[0.25862694],[0.23908703],"[73, 74, 64, 79, 78, 55, 42, 46, 80, 69, 47]"
