Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.17201016],[0.18862318],[0.13384309],"[66, 45, 48, 81, 49, 39, 77, 46, 57, 59]"
2,[0.18715001],[0.1923802],[0.16576503],"[81, 49, 78, 53, 54, 65, 63, 48, 61, 66]"
3,[0.19080847],[0.1929102],[0.1862265],"[81, 49, 78, 53, 46, 45, 63, 48, 61, 66]"
4,[0.19250962],[0.19431334],[0.18927632],"[63, 49, 78, 53, 54, 74, 72, 79, 57, 61]"
5,[0.19369493],[0.19485103],[0.19173505],"[63, 49, 45, 53, 54, 74, 72, 79, 57, 61]"
6,[0.19460626],[0.1956714],[0.19275695],"[49, 63, 72, 54, 53, 81, 45, 48, 66, 61]"
7,[0.19511967],[0.1957662],[0.19169916],"[63, 49, 72, 54, 53, 81, 45, 48, 66, 61]"
8,[0.19548311],[0.19578749],[0.19440498],"[63, 49, 72, 53, 54, 81, 45, 48, 66, 61]"
9,[0.19564104],[0.19579895],[0.19485566],"[63, 49, 72, 53, 54, 81, 45, 79, 66, 61]"
10,[0.19566425],[0.19579895],[0.19490444],"[63, 49, 72, 53, 54, 81, 45, 79, 66, 61]"
11,[0.19571347],[0.19582311],[0.19493009],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
12,[0.1957131],[0.19582311],[0.19350569],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
13,[0.19571342],[0.19582311],[0.19319609],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
14,[0.19575366],[0.19582311],[0.19452117],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
15,[0.19575175],[0.19582311],[0.19405803],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
16,[0.19575253],[0.19582311],[0.19422869],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
17,[0.19574556],[0.19582311],[0.19348708],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
18,[0.19569688],[0.19582311],[0.19126367],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
19,[0.19573479],[0.19582311],[0.19384368],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
20,[0.19573055],[0.19582311],[0.19394727],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
21,[0.19572765],[0.19582311],[0.19361983],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
22,[0.19572725],[0.19582311],[0.19257621],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
23,[0.19574717],[0.19582311],[0.19438347],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
24,[0.19536362],[0.19582311],[0.],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
25,[0.19572637],[0.19582311],[0.19450754],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
26,[0.19574305],[0.19582311],[0.19472497],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
27,[0.19574257],[0.19582311],[0.1938227],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
28,[0.19575576],[0.19582311],[0.19512008],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
29,[0.1957458],[0.19582311],[0.19351709],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
30,[0.19574198],[0.19582311],[0.19411223],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
31,[0.19574528],[0.19582311],[0.19396136],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
32,[0.19575778],[0.19582311],[0.19396136],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
33,[0.19575398],[0.19582311],[0.19449338],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
34,[0.19574215],[0.19582311],[0.19354801],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 61]"
35,[0.19576087],[0.19584637],[0.19414078],"[63, 49, 72, 53, 54, 81, 45, 79, 66, 57]"
36,[0.19580132],[0.19587054],[0.19384649],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
37,[0.19578457],[0.19587054],[0.1931396],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
38,[0.19578532],[0.19587054],[0.19463177],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
39,[0.19578779],[0.19587054],[0.19391141],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
40,[0.19575611],[0.19587054],[0.19312775],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
41,[0.19577129],[0.19587054],[0.19399342],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
42,[0.19578078],[0.19587054],[0.19405764],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
43,[0.19578516],[0.19587054],[0.19427934],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
44,[0.19579509],[0.19587054],[0.19427934],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
45,[0.19579827],[0.19587054],[0.1943809],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
46,[0.19580051],[0.19587054],[0.19287677],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
47,[0.19579806],[0.19587054],[0.19318554],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
48,[0.19579297],[0.19587054],[0.19338712],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
49,[0.19580457],[0.19587054],[0.19361449],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
50,[0.19582373],[0.19587054],[0.19469405],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
51,[0.1958039],[0.19587054],[0.19316693],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
52,[0.19579711],[0.19587054],[0.19268773],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
53,[0.19581953],[0.19587054],[0.19467656],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
54,[0.19579737],[0.19587054],[0.1936777],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
55,[0.19576797],[0.19587054],[0.19376978],"[63, 49, 72, 53, 45, 81, 54, 79, 66, 57]"
