Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18748606],[0.22308644],[0.13997474],"[64, 69, 73, 42, 46, 79, 88, 57, 26, 29]"
2,[0.21926929],[0.24244588],[0.18101352],"[64, 69, 73, 42, 46, 79, 78, 57, 26, 29]"
3,[0.23965876],[0.25493911],[0.20969285],"[64, 69, 73, 42, 46, 79, 78, 57, 49, 50]"
4,[0.25407131],[0.26865475],[0.23270068],"[78, 79, 57, 49, 46, 42, 48, 64, 73, 50]"
5,[0.24737865],[0.26865475],[0.],"[78, 79, 57, 49, 46, 42, 48, 64, 73, 50]"
6,[0.24934441],[0.26909102],[0.],"[78, 79, 57, 49, 73, 42, 48, 64, 69, 50]"
7,[0.26289191],[0.26909102],[0.],"[78, 79, 57, 49, 73, 42, 48, 64, 69, 50]"
8,[0.26456185],[0.27002341],[0.],"[78, 79, 57, 73, 46, 42, 48, 64, 49, 50]"
9,[0.26747401],[0.27002341],[0.25821951],"[78, 79, 57, 73, 46, 42, 48, 64, 49, 50]"
10,[0.26729294],[0.27002341],[0.],"[78, 79, 57, 73, 46, 42, 48, 64, 49, 50]"
11,[0.26893682],[0.27028266],[0.26512147],"[78, 79, 57, 73, 49, 42, 48, 46, 64, 50]"
12,[0.26893619],[0.27028266],[0.25153194],"[78, 79, 57, 73, 49, 42, 48, 46, 64, 50]"
13,[0.26927981],[0.27028266],[0.2609872],"[78, 79, 57, 73, 49, 42, 48, 46, 64, 50]"
14,[0.26942625],[0.27028266],[0.26113317],"[78, 79, 57, 73, 49, 42, 48, 46, 64, 50]"
15,[0.26956535],[0.27028266],[0.25907548],"[78, 79, 57, 73, 49, 42, 48, 46, 64, 50]"
16,[0.26966152],[0.27028266],[0.26462937],"[78, 79, 57, 73, 49, 42, 48, 46, 64, 50]"
17,[0.26970332],[0.2703372],[0.26176765],"[78, 79, 57, 73, 49, 42, 48, 64, 46, 50]"
18,[0.26978335],[0.2703372],[0.26575788],"[78, 79, 57, 73, 49, 42, 48, 64, 46, 50]"
19,[0.2697548],[0.2703372],[0.26485526],"[78, 79, 57, 73, 49, 42, 48, 64, 46, 50]"
20,[0.26924233],[0.2703372],[0.],"[78, 79, 57, 73, 49, 42, 48, 64, 46, 50]"
21,[0.26980381],[0.2703372],[0.26367502],"[78, 79, 57, 73, 49, 42, 48, 64, 46, 50]"
22,[0.26981529],[0.2703372],[0.26122884],"[78, 79, 57, 73, 49, 42, 48, 64, 46, 50]"
23,[0.26981095],[0.2703372],[0.26367502],"[78, 79, 57, 73, 49, 42, 48, 64, 46, 50]"
24,[0.26986071],[0.2703372],[0.26464752],"[78, 79, 57, 73, 49, 42, 48, 64, 46, 50]"
25,[0.26991417],[0.2703372],[0.26562454],"[78, 79, 57, 73, 49, 42, 48, 64, 46, 50]"
26,[0.26990459],[0.2703372],[0.2619807],"[78, 79, 57, 73, 49, 42, 48, 64, 46, 50]"
27,[0.26998324],[0.2703372],[0.26725574],"[78, 79, 57, 73, 49, 42, 48, 64, 46, 50]"
28,[0.26992891],[0.27037498],[0.26472116],"[78, 79, 57, 73, 49, 42, 64, 48, 46, 50]"
29,[0.26989764],[0.27037498],[0.26099323],"[78, 79, 57, 73, 49, 42, 64, 48, 46, 50]"
