Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18966991],[0.22030324],[0.15446198],"[79, 64, 81, 71, 75, 46, 78, 63, 74, 73]"
2,[0.21631323],[0.23038122],[0.19072359],"[78, 46, 81, 74, 79, 64, 73, 63, 75, 71]"
3,[0.22196896],[0.23461816],[0.],"[73, 64, 42, 78, 79, 46, 74, 63, 75, 71]"
4,[0.2209626],[0.2361382],[0.],"[64, 79, 40, 78, 71, 46, 48, 74, 73, 50]"
5,[0.2310654],[0.24055776],[0.],"[64, 78, 46, 79, 71, 48, 73, 40, 74, 50]"
6,[0.23260123],[0.241913],[0.],"[64, 79, 73, 78, 71, 46, 48, 74, 40, 50]"
7,[0.23606569],[0.241913],[0.],"[64, 79, 73, 78, 71, 46, 48, 74, 40, 50]"
8,[0.2399266],[0.24311331],[0.21810718],"[64, 79, 78, 73, 74, 46, 48, 50, 71, 40]"
9,[0.24136034],[0.24339845],[0.2355069],"[64, 79, 78, 73, 74, 46, 48, 42, 71, 40]"
10,[0.24114496],[0.24359139],[0.],"[64, 79, 78, 73, 74, 46, 48, 42, 71, 50]"
11,[0.24275685],[0.24359139],[0.23130415],"[64, 79, 78, 73, 74, 46, 48, 42, 71, 50]"
12,[0.24137523],[0.24442915],[0.],"[78, 79, 48, 64, 73, 46, 74, 42, 71, 50]"
13,[0.23796445],[0.24442915],[0.],"[78, 79, 48, 64, 73, 46, 74, 42, 71, 50]"
14,[0.23367243],[0.24442915],[0.],"[78, 79, 48, 64, 73, 46, 74, 42, 71, 50]"
15,[0.2382204],[0.24442915],[0.],"[78, 79, 48, 64, 73, 46, 74, 42, 71, 50]"
16,[0.24056041],[0.24463831],[0.],"[78, 79, 48, 73, 64, 46, 74, 42, 71, 50]"
17,[0.2432458],[0.24463831],[0.],"[78, 79, 48, 73, 64, 46, 74, 42, 71, 50]"
18,[0.24399356],[0.24463831],[0.24221724],"[78, 79, 48, 73, 64, 46, 74, 42, 71, 50]"
19,[0.24410638],[0.24463831],[0.24186365],"[78, 79, 48, 73, 64, 46, 74, 42, 71, 50]"
20,[0.24416384],[0.24463831],[0.24186365],"[78, 79, 48, 73, 64, 46, 74, 42, 71, 50]"
21,[0.24420679],[0.24463831],[0.23736275],"[78, 79, 48, 73, 64, 46, 74, 42, 71, 50]"
22,[0.24426405],[0.24463831],[0.24238964],"[78, 79, 48, 73, 64, 46, 74, 42, 71, 50]"
23,[0.24432983],[0.24463831],[0.24119966],"[78, 79, 48, 73, 64, 46, 74, 42, 71, 50]"
24,[0.24439244],[0.24463831],[0.24027869],"[78, 79, 48, 73, 64, 46, 74, 42, 71, 50]"
25,[0.24437446],[0.24488359],[0.23994812],"[78, 79, 73, 48, 64, 46, 74, 42, 71, 50]"
26,[0.24449658],[0.24488359],[0.24154939],"[78, 79, 73, 48, 64, 46, 74, 42, 71, 50]"
27,[0.24458228],[0.2449197],[0.24286981],"[78, 79, 73, 64, 48, 46, 74, 42, 71, 50]"
28,[0.24463495],[0.2449197],[0.23886313],"[78, 79, 73, 64, 48, 46, 74, 42, 71, 50]"
29,[0.24465341],[0.2449197],[0.24024221],"[78, 79, 73, 64, 48, 46, 74, 42, 71, 50]"
30,[0.24464377],[0.2449197],[0.23990862],"[78, 79, 73, 64, 48, 46, 74, 42, 71, 50]"
31,[0.24467278],[0.24495669],[0.24031602],"[79, 78, 73, 46, 64, 48, 74, 71, 42, 50]"
32,[0.24465829],[0.24499277],[0.23662927],"[78, 79, 73, 46, 64, 48, 74, 42, 71, 50]"
33,[0.24469571],[0.24499277],[0.23950153],"[78, 79, 73, 46, 64, 48, 74, 42, 71, 50]"
34,[0.2447061],[0.24499277],[0.23896765],"[78, 79, 73, 46, 64, 48, 74, 42, 71, 50]"
35,[0.24468812],[0.24499277],[0.23771004],"[78, 79, 73, 46, 64, 48, 74, 42, 71, 50]"
36,[0.2447199],[0.24499277],[0.23829511],"[78, 79, 73, 46, 64, 48, 74, 42, 71, 50]"
37,[0.24471722],[0.24499277],[0.23715753],"[78, 79, 73, 46, 64, 48, 74, 42, 71, 50]"
38,[0.24471175],[0.24499277],[0.23994465],"[78, 79, 73, 46, 64, 48, 74, 42, 71, 50]"
39,[0.24471929],[0.24499277],[0.24043546],"[78, 79, 73, 46, 64, 48, 74, 42, 71, 50]"
40,[0.24414894],[0.24499277],[0.],"[78, 79, 73, 46, 64, 48, 74, 42, 71, 50]"
