Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.19867463],[0.21881927],[0.17124043],"[66, 67, 69, 71, 75, 46, 79, 49, 81, 59, 61]"
2,[0.2203722],[0.23330791],[0.20591633],"[67, 74, 49, 58, 79, 38, 81, 46, 69, 31]"
3,[0.23170894],[0.23615704],[0.21780034],"[72, 46, 49, 58, 74, 73, 79, 69, 81, 62]"
4,[0.23312831],[0.23879557],[0.],"[49, 79, 69, 58, 73, 74, 46, 72, 62, 81]"
5,[0.23489487],[0.2400586],[0.],"[51, 74, 49, 58, 48, 73, 79, 69, 81, 38]"
6,[0.23745759],[0.24149134],[0.],"[49, 58, 51, 74, 48, 73, 79, 69, 81, 38]"
7,[0.2397063],[0.24191829],[0.],"[49, 58, 51, 74, 48, 46, 73, 69, 62, 79]"
8,[0.23887002],[0.242687],[0.],"[49, 58, 74, 69, 48, 46, 73, 79, 51, 62]"
9,[0.24141043],[0.242687],[0.23872811],"[49, 58, 74, 69, 48, 46, 73, 79, 51, 62]"
10,[0.24198335],[0.242687],[0.23980676],"[49, 58, 74, 69, 48, 46, 73, 79, 51, 62]"
11,[0.24221951],[0.242687],[0.23888127],"[49, 58, 74, 69, 48, 46, 73, 79, 51, 62]"
12,[0.24243074],[0.242687],[0.24121636],"[49, 58, 74, 69, 48, 46, 73, 79, 51, 62]"
13,[0.24255139],[0.24287232],[0.23995452],"[49, 58, 74, 48, 69, 46, 73, 79, 51, 62]"
14,[0.24261824],[0.24287232],[0.24153376],"[49, 58, 74, 48, 69, 46, 73, 79, 51, 62]"
15,[0.2426631],[0.24287232],[0.24062574],"[49, 58, 74, 48, 69, 46, 73, 79, 51, 62]"
16,[0.24269728],[0.24287232],[0.2408887],"[49, 58, 74, 48, 69, 46, 73, 79, 51, 62]"
17,[0.24265794],[0.24287232],[0.24031203],"[49, 58, 74, 48, 69, 46, 73, 79, 51, 62]"
18,[0.24261227],[0.24287232],[0.23886021],"[49, 58, 74, 48, 69, 46, 73, 79, 51, 62]"
19,[0.2426774],[0.24299179],[0.23917042],"[58, 49, 74, 48, 69, 73, 51, 46, 79, 62]"
20,[0.24268114],[0.24305941],[0.23530003],"[58, 49, 74, 48, 69, 46, 73, 79, 51, 62]"
21,[0.24275551],[0.24305941],[0.23719649],"[58, 49, 74, 48, 69, 46, 73, 79, 51, 62]"
22,[0.24284365],[0.24305941],[0.2410176],"[58, 49, 74, 48, 69, 46, 73, 79, 51, 62]"
23,[0.2428171],[0.24305941],[0.24053517],"[58, 49, 74, 48, 69, 46, 73, 79, 51, 62]"
24,[0.24283632],[0.24305941],[0.24053517],"[58, 49, 74, 48, 69, 46, 73, 79, 51, 62]"
25,[0.24287337],[0.24305941],[0.24086677],"[58, 49, 74, 48, 69, 46, 73, 79, 51, 62]"
