Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18716334],[0.21914213],[0.139897],"[64, 73, 76, 78, 48, 81, 49, 55, 82, 23]"
2,[0.21302003],[0.22622301],[0.18347786],"[64, 73, 70, 42, 78, 79, 80, 49, 53, 23]"
3,[0.22467963],[0.23114388],[0.20457732],"[64, 73, 70, 78, 48, 79, 80, 49, 53, 23]"
4,[0.23108801],[0.23649415],[0.21978227],"[64, 74, 49, 70, 48, 73, 78, 55, 57, 53]"
5,[0.23166685],[0.23970243],[0.],"[64, 74, 49, 79, 48, 73, 78, 55, 57, 53]"
6,[0.23661683],[0.24080723],[0.],"[55, 74, 64, 79, 73, 49, 78, 48, 57, 53]"
7,[0.23831645],[0.24147531],[0.],"[55, 48, 64, 73, 79, 49, 78, 57, 74, 53]"
8,[0.23995312],[0.2417462],[0.22612795],"[55, 73, 48, 64, 79, 49, 78, 57, 74, 53]"
9,[0.2388092],[0.24183047],[0.],"[55, 73, 48, 64, 79, 74, 78, 49, 57, 53]"
10,[0.23986623],[0.24183324],[0.],"[55, 73, 64, 48, 79, 74, 78, 49, 57, 53]"
11,[0.24105517],[0.24183324],[0.23390131],"[55, 73, 64, 48, 79, 74, 78, 49, 57, 53]"
12,[0.24122024],[0.24186737],[0.23027192],"[55, 73, 48, 79, 64, 78, 74, 49, 57, 53]"
13,[0.23943526],[0.24186737],[0.],"[55, 73, 48, 79, 64, 78, 74, 49, 57, 53]"
14,[0.24149508],[0.24186737],[0.23737666],"[55, 73, 48, 79, 64, 78, 74, 49, 57, 53]"
15,[0.24158688],[0.24186737],[0.23971645],"[55, 73, 48, 79, 64, 78, 74, 49, 57, 53]"
16,[0.24159369],[0.24186737],[0.23299062],"[55, 73, 48, 79, 64, 78, 74, 49, 57, 53]"
17,[0.24151997],[0.24186737],[0.2309511],"[55, 73, 48, 79, 64, 78, 74, 49, 57, 53]"
18,[0.24168409],[0.24192523],[0.2377826],"[55, 73, 48, 79, 64, 78, 49, 74, 57, 53]"
19,[0.24167779],[0.24195949],[0.23683669],"[55, 73, 48, 79, 64, 49, 78, 74, 57, 53]"
20,[0.24172705],[0.24195949],[0.23531927],"[55, 73, 48, 79, 64, 49, 78, 74, 57, 53]"
21,[0.24176897],[0.24195949],[0.23978849],"[55, 73, 48, 79, 64, 49, 78, 74, 57, 53]"
22,[0.24179918],[0.24196504],[0.23873994],"[55, 73, 64, 79, 48, 49, 78, 74, 57, 53]"
