Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.17989427],[0.20152806],[0.1499258],"[73, 46, 79, 38, 76, 77, 45, 70, 39, 44]"
2,[0.19716123],[0.2062208],[0.17949539],"[73, 46, 79, 38, 76, 55, 70, 81, 39, 44]"
3,[0.20553746],[0.20897567],[0.19470078],"[73, 46, 79, 38, 76, 55, 74, 70, 39, 44]"
4,[0.20891564],[0.21124739],[0.20349409],"[73, 46, 79, 38, 42, 55, 74, 70, 39, 44]"
5,[0.21122897],[0.21474606],[0.2072469],"[80, 64, 70, 73, 78, 55, 74, 67, 46, 54]"
6,[0.21379568],[0.2170934],[0.2100838],"[46, 64, 74, 73, 78, 80, 70, 67, 55, 54]"
7,[0.20743137],[0.21798972],[0.],"[80, 55, 79, 46, 64, 78, 73, 74, 67, 54]"
8,[0.20687482],[0.21851364],[0.],"[64, 46, 79, 73, 78, 55, 74, 80, 67, 54]"
9,[0.2109131],[0.21866688],[0.],"[74, 64, 79, 73, 78, 46, 80, 55, 67, 54]"
10,[0.21252836],[0.21884872],[0.],"[74, 64, 79, 46, 73, 78, 80, 55, 67, 54]"
11,[0.21596434],[0.21905389],[0.],"[79, 55, 73, 46, 64, 78, 74, 80, 67, 54]"
12,[0.21178016],[0.21905389],[0.],"[79, 55, 73, 46, 64, 78, 74, 80, 67, 54]"
13,[0.21244486],[0.21958764],[0.],"[79, 55, 73, 46, 64, 78, 74, 80, 70, 54]"
14,[0.21467037],[0.21958764],[0.],"[79, 55, 73, 46, 64, 78, 74, 80, 70, 54]"
15,[0.21588844],[0.21958764],[0.],"[79, 55, 73, 46, 64, 78, 74, 80, 70, 54]"
16,[0.21353908],[0.21958764],[0.],"[79, 55, 73, 46, 64, 78, 74, 80, 70, 54]"
17,[0.21217515],[0.21958764],[0.],"[79, 55, 73, 46, 64, 78, 74, 80, 70, 54]"
18,[0.21091486],[0.21975183],[0.],"[79, 74, 46, 73, 55, 78, 64, 70, 80, 54]"
19,[0.21131118],[0.21975183],[0.],"[79, 74, 46, 73, 55, 78, 64, 70, 80, 54]"
20,[0.21458716],[0.21994926],[0.],"[79, 74, 46, 73, 55, 78, 64, 80, 70, 54]"
21,[0.21244528],[0.22030311],[0.],"[73, 74, 55, 79, 46, 78, 64, 80, 70, 54]"
22,[0.20981167],[0.22031684],[0.],"[74, 73, 55, 79, 46, 78, 64, 80, 70, 54]"
23,[0.21525139],[0.22031684],[0.],"[74, 73, 55, 79, 46, 78, 64, 80, 70, 54]"
24,[0.21356441],[0.22031684],[0.],"[74, 73, 55, 79, 46, 78, 64, 80, 70, 54]"
25,[0.21595155],[0.22031684],[0.],"[74, 73, 55, 79, 46, 78, 64, 80, 70, 54]"
26,[0.21860765],[0.22031684],[0.],"[74, 73, 55, 79, 46, 78, 64, 80, 70, 54]"
27,[0.2191472],[0.22031684],[0.],"[74, 73, 55, 79, 46, 78, 64, 80, 70, 54]"
28,[0.21888699],[0.22031684],[0.],"[74, 73, 55, 79, 46, 78, 64, 80, 70, 54]"
29,[0.21884952],[0.22031684],[0.],"[74, 73, 55, 79, 46, 78, 64, 80, 70, 54]"
30,[0.2192612],[0.22031684],[0.],"[74, 73, 55, 79, 46, 78, 64, 80, 70, 54]"
31,[0.217988],[0.22031684],[0.],"[74, 73, 55, 79, 46, 78, 64, 80, 70, 54]"
32,[0.21527445],[0.22031684],[0.],"[74, 73, 55, 79, 46, 78, 64, 80, 70, 54]"
33,[0.21443942],[0.22031684],[0.],"[74, 73, 55, 79, 46, 78, 64, 80, 70, 54]"
34,[0.21798862],[0.22031684],[0.],"[74, 73, 55, 79, 46, 78, 64, 80, 70, 54]"
35,[0.21850459],[0.22040583],[0.],"[74, 73, 55, 79, 46, 64, 78, 80, 70, 54]"
