Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.20873029],[0.23357283],[0.18029351],"[66, 64, 67, 38, 71, 73, 78, 80, 49, 51, 52, 54, 60]"
2,[0.22998817],[0.23990024],[0.20581642],"[58, 64, 67, 38, 71, 73, 57, 80, 49, 51]"
3,[0.23904443],[0.24231634],[0.22672214],"[71, 49, 67, 51, 58, 73, 38, 64, 80, 57]"
4,[0.23841012],[0.24318176],[0.],"[67, 71, 73, 58, 80, 49, 51, 38, 57, 64]"
5,[0.23708184],[0.24352119],[0.],"[67, 58, 71, 49, 51, 80, 38, 64, 73, 57]"
6,[0.23876287],[0.24449078],[0.],"[67, 58, 71, 49, 51, 73, 38, 45, 80, 57]"
7,[0.24107738],[0.24492887],[0.],"[67, 58, 71, 49, 51, 73, 48, 45, 80, 57]"
8,[0.24219685],[0.24504222],[0.],"[67, 58, 71, 49, 51, 73, 48, 45, 80, 64]"
9,[0.24428998],[0.24518252],[0.24264483],"[67, 58, 71, 49, 51, 73, 48, 45, 80, 70]"
10,[0.244634],[0.24529934],[0.24328509],"[67, 71, 58, 49, 51, 45, 48, 73, 70, 80]"
11,[0.24484952],[0.24537733],[0.2423059],"[67, 58, 71, 49, 51, 45, 48, 73, 70, 80]"
12,[0.24503186],[0.24537733],[0.23813377],"[67, 58, 71, 49, 51, 45, 48, 73, 70, 80]"
13,[0.2451153],[0.24537733],[0.24426168],"[67, 58, 71, 49, 51, 45, 48, 73, 70, 80]"
14,[0.24517356],[0.24537733],[0.24426168],"[67, 58, 71, 49, 51, 45, 48, 73, 70, 80]"
15,[0.2451993],[0.24537733],[0.24458639],"[67, 58, 71, 49, 51, 45, 48, 73, 70, 80]"
16,[0.24524103],[0.24541059],[0.24478217],"[67, 58, 71, 49, 45, 73, 70, 51, 80, 48]"
17,[0.24521362],[0.24548197],[0.23948143],"[67, 58, 71, 49, 73, 45, 48, 51, 70, 80]"
18,[0.24529328],[0.24553882],[0.24058927],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
19,[0.24535986],[0.24553882],[0.24478217],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
20,[0.24535707],[0.24553882],[0.24344936],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
21,[0.24538062],[0.24553882],[0.24460731],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
22,[0.24536441],[0.24553882],[0.24255714],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
23,[0.24536196],[0.24553882],[0.24413584],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
24,[0.24534457],[0.24553882],[0.24318845],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
25,[0.24537533],[0.24553882],[0.24261775],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
26,[0.24539441],[0.24553882],[0.24347938],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
27,[0.24542184],[0.24553882],[0.24450909],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
28,[0.24542059],[0.24553882],[0.24347555],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
29,[0.24542751],[0.24553882],[0.24392116],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
30,[0.24543235],[0.24553882],[0.24407408],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
31,[0.24544232],[0.24553882],[0.24387458],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
32,[0.24542556],[0.24553882],[0.24407595],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
33,[0.24544711],[0.24553882],[0.24409545],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
34,[0.24541252],[0.24553882],[0.24319498],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
35,[0.24540975],[0.24553882],[0.24187511],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
36,[0.24543091],[0.24553882],[0.24339701],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
37,[0.24541565],[0.24553882],[0.24351966],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
38,[0.2454108],[0.24553882],[0.23927914],"[67, 58, 71, 49, 45, 73, 48, 51, 70, 80]"
39,[0.24542747],[0.24555123],[0.24217306],"[67, 58, 71, 49, 45, 73, 48, 70, 51, 80]"
40,[0.24546052],[0.24555123],[0.2440796],"[67, 58, 71, 49, 45, 73, 48, 70, 51, 80]"
41,[0.24546256],[0.24555123],[0.24258997],"[67, 58, 71, 49, 45, 73, 48, 70, 51, 80]"
