Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.20043729],[0.22476706],[0.15422441],"[64, 67, 76, 79, 81, 49, 52, 54, 56, 57]"
2,[0.22399324],[0.24778246],[0.18734144],"[64, 42, 79, 49, 76, 52, 40, 60, 81, 29]"
3,[0.24219764],[0.26611047],[0.21435859],"[76, 79, 64, 42, 74, 57, 52, 55, 56, 67]"
4,[0.25420771],[0.27379281],[0.],"[49, 79, 64, 42, 74, 57, 52, 55, 56, 76]"
5,[0.26551943],[0.28149025],[0.],"[42, 79, 57, 55, 74, 64, 76, 49, 81, 29]"
6,[0.27235797],[0.28149025],[0.24312074],"[42, 79, 57, 55, 74, 64, 76, 49, 81, 29]"
7,[0.27560078],[0.28560199],[0.24312074],"[79, 42, 57, 55, 49, 58, 76, 74, 52, 40]"
8,[0.28087958],[0.28797912],[0.26624371],"[79, 42, 57, 55, 49, 64, 76, 74, 52, 40]"
9,[0.28446515],[0.28797912],[0.27419235],"[79, 42, 57, 55, 49, 64, 76, 74, 52, 40]"
10,[0.28602791],[0.2884275],[0.27985776],"[79, 42, 57, 55, 49, 64, 76, 74, 52, 67]"
11,[0.28645075],[0.2884275],[0.27985776],"[79, 42, 57, 55, 49, 64, 76, 74, 52, 67]"
12,[0.28671975],[0.2884275],[0.27410329],"[79, 42, 57, 55, 49, 64, 76, 74, 52, 67]"
13,[0.2868588],[0.2884275],[0.2812958],"[79, 42, 57, 55, 49, 64, 76, 74, 52, 67]"
14,[0.2871936],[0.28867454],[0.26663285],"[79, 42, 57, 55, 49, 64, 74, 76, 52, 67]"
15,[0.28744581],[0.28867454],[0.25227091],"[79, 42, 57, 55, 49, 64, 74, 76, 52, 67]"
16,[0.28728732],[0.28867454],[0.26103628],"[79, 42, 57, 55, 49, 64, 74, 76, 52, 67]"
17,[0.28723776],[0.28867454],[0.27366331],"[79, 42, 57, 55, 49, 64, 74, 76, 52, 67]"
18,[0.2875736],[0.28867454],[0.28340776],"[79, 42, 57, 55, 49, 64, 74, 76, 52, 67]"
19,[0.28756599],[0.28867454],[0.26914174],"[79, 42, 57, 55, 49, 64, 74, 76, 52, 67]"
20,[0.28738301],[0.28867454],[0.27360665],"[79, 42, 57, 55, 49, 64, 74, 76, 52, 67]"
21,[0.28751176],[0.28867454],[0.27910908],"[79, 42, 57, 55, 49, 64, 74, 76, 52, 67]"
22,[0.28755373],[0.28867454],[0.26952386],"[79, 42, 57, 55, 49, 64, 74, 76, 52, 67]"
23,[0.28768263],[0.28868949],[0.27331811],"[79, 42, 57, 55, 49, 64, 74, 76, 67, 52]"
24,[0.28791162],[0.28868949],[0.26632893],"[79, 42, 57, 55, 49, 64, 74, 76, 67, 52]"
25,[0.28794021],[0.28868949],[0.26845831],"[79, 42, 57, 55, 49, 64, 74, 76, 67, 52]"
26,[0.28810035],[0.28868949],[0.26685875],"[79, 42, 57, 55, 49, 64, 74, 76, 67, 52]"
27,[0.28806792],[0.28868949],[0.27315514],"[79, 42, 57, 55, 49, 64, 74, 76, 67, 52]"
28,[0.28804886],[0.28868949],[0.2767834],"[79, 42, 57, 55, 49, 64, 74, 76, 67, 52]"
29,[0.28805866],[0.28885613],[0.26494131],"[79, 42, 55, 57, 49, 64, 74, 76, 52, 67]"
30,[0.28800896],[0.28887108],[0.26812892],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
31,[0.2883192],[0.28887108],[0.28308894],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
32,[0.28836196],[0.28887108],[0.27378387],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
33,[0.28835996],[0.28887108],[0.27507966],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
34,[0.2882514],[0.28887108],[0.27213935],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
35,[0.28825792],[0.28887108],[0.2729396],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
36,[0.28835965],[0.28887108],[0.27640382],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
37,[0.28833103],[0.28887108],[0.27485157],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
38,[0.28829981],[0.28887108],[0.27738879],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
39,[0.28831767],[0.28887108],[0.27834319],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
40,[0.28830672],[0.28887108],[0.27544531],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
41,[0.2883705],[0.28887108],[0.27457866],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
42,[0.28836542],[0.28887108],[0.27591246],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
43,[0.28840417],[0.28887108],[0.26761402],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
44,[0.28831017],[0.28887108],[0.26707831],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
45,[0.28825348],[0.28887108],[0.26707831],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
46,[0.28845777],[0.28887108],[0.2709353],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
47,[0.28822271],[0.28887108],[0.27095857],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
48,[0.28820054],[0.28887108],[0.26525916],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
49,[0.28830973],[0.28887108],[0.27851027],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
50,[0.288259],[0.28887108],[0.27239032],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
51,[0.2883084],[0.28887108],[0.27521314],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
52,[0.28842724],[0.28887108],[0.28044011],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
53,[0.28821758],[0.28887108],[0.27107644],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
54,[0.28820449],[0.28887108],[0.26859357],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
55,[0.28833685],[0.28887108],[0.27808095],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
56,[0.28832753],[0.28887108],[0.2754848],"[79, 42, 55, 57, 49, 64, 74, 76, 67, 52]"
