Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18528393],[0.20376229],[0.15195933],"[64, 66, 73, 42, 74, 79, 48, 81, 50, 80]"
2,[0.19927517],[0.20568563],[0.18130467],"[64, 71, 73, 42, 74, 79, 48, 81, 50, 80]"
3,[0.20323531],[0.20687237],[0.],"[42, 48, 73, 79, 80, 64, 71, 74, 81, 50]"
4,[0.20472796],[0.20706792],[0.],"[42, 48, 81, 73, 74, 79, 71, 67, 64, 80]"
5,[0.20219194],[0.20724995],[0.],"[42, 48, 73, 81, 74, 46, 71, 67, 64, 80]"
6,[0.20576714],[0.20724995],[0.],"[42, 48, 73, 81, 74, 46, 71, 67, 64, 80]"
7,[0.20653166],[0.20734426],[0.],"[42, 80, 73, 81, 46, 48, 71, 67, 64, 74]"
8,[0.20703483],[0.20734426],[0.20511332],"[42, 80, 73, 81, 46, 48, 71, 67, 64, 74]"
9,[0.20670557],[0.20734426],[0.],"[42, 80, 73, 81, 46, 48, 71, 67, 64, 74]"
10,[0.20632575],[0.20734426],[0.],"[42, 80, 73, 81, 46, 48, 71, 67, 64, 74]"
11,[0.20591291],[0.20734426],[0.],"[42, 80, 73, 81, 46, 48, 71, 67, 64, 74]"
12,[0.20678034],[0.20734426],[0.],"[42, 80, 73, 81, 46, 48, 71, 67, 64, 74]"
13,[0.20555947],[0.20740401],[0.],"[42, 48, 73, 81, 46, 79, 71, 74, 80, 64]"
14,[0.20723475],[0.20740401],[0.2064996],"[42, 48, 73, 81, 46, 79, 71, 74, 80, 64]"
15,[0.20725693],[0.20740401],[0.20635923],"[42, 48, 73, 81, 46, 79, 71, 74, 80, 64]"
16,[0.20727061],[0.20740401],[0.20596931],"[42, 48, 73, 81, 46, 79, 71, 74, 80, 64]"
17,[0.20728868],[0.20750514],[0.2066786],"[42, 48, 73, 81, 46, 80, 71, 74, 79, 64]"
18,[0.20729664],[0.20750514],[0.20600118],"[42, 48, 73, 81, 46, 80, 71, 74, 79, 64]"
19,[0.20730876],[0.20750514],[0.20610206],"[42, 48, 73, 81, 46, 80, 71, 74, 79, 64]"
20,[0.20732949],[0.20750514],[0.20692483],"[42, 48, 73, 81, 46, 80, 71, 74, 79, 64]"
21,[0.20735278],[0.20750514],[0.20667991],"[42, 48, 73, 81, 46, 80, 71, 74, 79, 64]"
22,[0.20732826],[0.20750514],[0.20504815],"[42, 48, 73, 81, 46, 80, 71, 74, 79, 64]"
23,[0.20690972],[0.20750514],[0.],"[42, 48, 73, 81, 46, 80, 71, 74, 79, 64]"
24,[0.20565363],[0.20750514],[0.],"[42, 48, 73, 81, 46, 80, 71, 74, 79, 64]"
25,[0.20733817],[0.20750514],[0.20512694],"[42, 48, 73, 81, 46, 80, 71, 74, 79, 64]"
26,[0.20483861],[0.20756955],[0.],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
27,[0.20486207],[0.20756955],[0.],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
28,[0.20738923],[0.20756955],[0.20471734],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
29,[0.2069714],[0.20756955],[0.],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
30,[0.20742243],[0.20756955],[0.20593662],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
31,[0.20742987],[0.20756955],[0.20647584],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
32,[0.20743486],[0.20756955],[0.20623214],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
33,[0.20659951],[0.20756955],[0.],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
34,[0.20698801],[0.20756955],[0.],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
35,[0.20699819],[0.20756955],[0.],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
36,[0.20743153],[0.20756955],[0.20493353],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
37,[0.20702917],[0.20756955],[0.],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
38,[0.20746858],[0.20756955],[0.20628855],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
39,[0.20705737],[0.20756955],[0.],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
40,[0.20746058],[0.20756955],[0.20464762],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
41,[0.20622569],[0.20756955],[0.],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
42,[0.20746681],[0.20756955],[0.20597303],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
43,[0.20746783],[0.20756955],[0.20486862],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
44,[0.20706587],[0.20756955],[0.],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
45,[0.2074732],[0.20756955],[0.20598313],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
46,[0.20748941],[0.20756955],[0.20618601],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
47,[0.2070953],[0.20756955],[0.],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
48,[0.20750468],[0.20756955],[0.20656639],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
49,[0.20750536],[0.20756955],[0.20512722],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
50,[0.20750415],[0.20756955],[0.20546282],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
51,[0.20751118],[0.20756955],[0.20670889],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
52,[0.20750376],[0.20756955],[0.20608724],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
53,[0.2070837],[0.20756955],[0.],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
54,[0.2075072],[0.20756955],[0.20690262],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
55,[0.20749767],[0.20756955],[0.20466945],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
56,[0.20750246],[0.20756955],[0.20546838],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
57,[0.20751847],[0.20756955],[0.2067901],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
58,[0.20750728],[0.20756955],[0.20552908],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
59,[0.20749533],[0.20756955],[0.20582668],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
60,[0.2074909],[0.20756955],[0.20617322],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
61,[0.20710083],[0.20756955],[0.],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
62,[0.20751275],[0.20756955],[0.20534565],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
63,[0.20750689],[0.20756955],[0.20617334],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
64,[0.20709791],[0.20756955],[0.],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
65,[0.20750406],[0.20756955],[0.20647587],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
66,[0.20751958],[0.20756955],[0.20702446],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
67,[0.20752136],[0.20756955],[0.20710556],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
68,[0.20751268],[0.20756955],[0.20614903],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
69,[0.20752004],[0.20756955],[0.20689122],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
70,[0.20752535],[0.20756955],[0.20624658],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
71,[0.20752443],[0.20756955],[0.20630981],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
72,[0.20752426],[0.20756955],[0.2048018],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
73,[0.20752674],[0.20756955],[0.20674463],"[42, 73, 81, 48, 46, 80, 71, 74, 79, 64]"
