Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18586607],[0.20734388],[0.15617515],"[66, 72, 42, 43, 77, 49, 50, 51, 52, 84]"
2,[0.20231781],[0.20742368],[0.18770713],"[66, 72, 42, 43, 77, 49, 78, 51, 52, 83]"
3,[0.20678806],[0.20956543],[0.1990005],"[66, 72, 42, 43, 77, 49, 50, 51, 53, 56]"
4,[0.2090965],[0.2101757],[0.20491033],"[66, 43, 72, 42, 52, 49, 77, 51, 50, 56]"
5,[0.20876534],[0.21117776],[0.],"[42, 43, 56, 72, 49, 66, 50, 52, 77, 51]"
6,[0.20600878],[0.21131358],[0.],"[42, 43, 56, 72, 49, 66, 78, 52, 77, 51]"
7,[0.2089559],[0.21211951],[0.],"[42, 43, 66, 72, 52, 51, 78, 49, 77, 56]"
8,[0.21053347],[0.21241031],[0.],"[42, 43, 49, 72, 66, 56, 78, 77, 50, 51]"
9,[0.21059248],[0.21327971],[0.],"[42, 43, 49, 72, 66, 52, 78, 77, 50, 51]"
10,[0.2115416],[0.21327971],[0.],"[42, 43, 49, 72, 66, 52, 78, 77, 50, 51]"
11,[0.21236446],[0.21327971],[0.20163522],"[42, 43, 49, 72, 66, 52, 78, 77, 50, 51]"
12,[0.21275086],[0.21327971],[0.21079037],"[42, 43, 49, 72, 66, 52, 78, 77, 50, 51]"
13,[0.21298365],[0.21330147],[0.20735383],"[42, 43, 49, 72, 66, 77, 78, 50, 52, 51]"
14,[0.21305087],[0.21330147],[0.20994443],"[42, 43, 49, 72, 66, 77, 78, 50, 52, 51]"
15,[0.21306313],[0.21330147],[0.20759933],"[42, 43, 49, 72, 66, 77, 78, 50, 52, 51]"
16,[0.21312916],[0.21330147],[0.20788841],"[42, 43, 49, 72, 66, 77, 78, 50, 52, 51]"
17,[0.21306598],[0.21333198],[0.2081189],"[42, 43, 49, 72, 66, 77, 78, 50, 51, 52]"
18,[0.21264667],[0.21333198],[0.],"[42, 43, 49, 72, 66, 77, 78, 50, 51, 52]"
19,[0.21315251],[0.21336138],[0.21007997],"[42, 43, 49, 72, 66, 77, 78, 51, 52, 50]"
20,[0.21317077],[0.21336138],[0.2092506],"[42, 43, 49, 72, 66, 77, 78, 51, 52, 50]"
21,[0.213188],[0.21336138],[0.2072994],"[42, 43, 49, 72, 66, 77, 78, 51, 52, 50]"
22,[0.21318192],[0.21336138],[0.20786246],"[42, 43, 49, 72, 66, 77, 78, 51, 52, 50]"
23,[0.21321798],[0.21336194],[0.20707056],"[42, 43, 49, 72, 66, 77, 78, 51, 50, 52]"
24,[0.21324648],[0.21336194],[0.2087726],"[42, 43, 49, 72, 66, 77, 78, 51, 50, 52]"
25,[0.21323874],[0.21336194],[0.20683865],"[42, 43, 49, 72, 66, 77, 78, 51, 50, 52]"
26,[0.21326706],[0.21336194],[0.21148824],"[42, 43, 49, 72, 66, 77, 78, 51, 50, 52]"
27,[0.21324406],[0.21336194],[0.2087551],"[42, 43, 49, 72, 66, 77, 78, 51, 50, 52]"
28,[0.21315971],[0.21336194],[0.20756699],"[42, 43, 49, 72, 66, 77, 78, 51, 50, 52]"
29,[0.21316833],[0.21336194],[0.20845754],"[42, 43, 49, 72, 66, 77, 78, 51, 50, 52]"
30,[0.21319038],[0.21336194],[0.20816595],"[42, 43, 49, 72, 66, 77, 78, 51, 50, 52]"
31,[0.21273843],[0.21336194],[0.],"[42, 43, 49, 72, 66, 77, 78, 51, 50, 52]"
32,[0.21320898],[0.21336194],[0.20848574],"[42, 43, 49, 72, 66, 77, 78, 51, 50, 52]"
33,[0.21320928],[0.21336207],[0.20429728],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
34,[0.21237256],[0.21336207],[0.],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
35,[0.21326092],[0.21336207],[0.21081912],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
36,[0.21322306],[0.21336207],[0.20590675],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
37,[0.21327173],[0.21336207],[0.21083316],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
38,[0.21330139],[0.21336207],[0.21083316],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
39,[0.21330602],[0.21336207],[0.20861853],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
40,[0.21322712],[0.21336207],[0.20872333],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
41,[0.21328496],[0.21336207],[0.21009091],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
42,[0.21322917],[0.21336207],[0.20577155],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
43,[0.21322748],[0.21336207],[0.20582497],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
44,[0.21326897],[0.21336207],[0.20705441],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
45,[0.21327681],[0.21336207],[0.20955105],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
46,[0.2132017],[0.21336207],[0.20597701],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
47,[0.2132588],[0.21336207],[0.20606059],"[42, 43, 72, 49, 66, 77, 78, 51, 50, 52]"
