Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.15543584],[0.17232837],[0.13096898],"[66, 72, 42, 69, 73, 74, 75, 77, 46, 78, 80]"
2,[0.17069936],[0.17761729],[0.16029489],"[67, 72, 42, 69, 73, 43, 77, 47, 79, 48]"
3,[0.1762537],[0.17900828],[0.16908081],"[67, 72, 42, 78, 43, 40, 77, 47, 79, 48]"
4,[0.17825912],[0.17969002],[0.17435844],"[67, 72, 42, 78, 43, 40, 45, 47, 79, 48]"
5,[0.1791775],[0.18009604],[0.17680577],"[67, 72, 42, 78, 43, 40, 45, 74, 79, 48]"
6,[0.17976865],[0.18055902],[0.17813278],"[72, 43, 42, 78, 67, 45, 79, 77, 48, 40]"
7,[0.17919325],[0.18059759],[0.],"[72, 43, 42, 78, 67, 45, 79, 77, 73, 40]"
8,[0.18022223],[0.18076381],[0.17763447],"[72, 43, 42, 78, 67, 45, 79, 74, 73, 40]"
9,[0.18052081],[0.18079356],[0.17921029],"[72, 43, 42, 78, 67, 79, 45, 74, 73, 40]"
10,[0.18063191],[0.18079356],[0.17981768],"[72, 43, 42, 78, 67, 79, 45, 74, 73, 40]"
11,[0.18069085],[0.18080851],[0.17987336],"[72, 43, 42, 78, 67, 79, 45, 40, 48, 74]"
12,[0.18073817],[0.1808672],[0.17987336],"[72, 43, 42, 67, 78, 79, 45, 40, 73, 48]"
13,[0.18075464],[0.18087289],[0.17846912],"[72, 43, 42, 67, 78, 79, 45, 40, 73, 74]"
14,[0.18078208],[0.18087289],[0.17826579],"[72, 43, 42, 67, 78, 79, 45, 40, 73, 74]"
15,[0.18079097],[0.18087289],[0.17916992],"[72, 43, 42, 67, 78, 79, 45, 40, 73, 74]"
16,[0.1807948],[0.18087289],[0.17916992],"[72, 43, 42, 67, 78, 79, 45, 40, 73, 74]"
17,[0.1808015],[0.18087289],[0.17873001],"[72, 43, 42, 67, 78, 79, 45, 40, 73, 74]"
18,[0.18078309],[0.18087289],[0.17924721],"[72, 43, 42, 67, 78, 79, 45, 40, 73, 74]"
19,[0.18077878],[0.18087289],[0.1785103],"[72, 43, 42, 67, 78, 79, 45, 40, 73, 74]"
20,[0.18081451],[0.18087289],[0.18029868],"[72, 43, 42, 67, 78, 79, 45, 40, 73, 74]"
21,[0.18080191],[0.18098988],[0.17781109],"[42, 72, 78, 67, 43, 45, 79, 40, 73, 74]"
22,[0.18078211],[0.18105357],[0.17681003],"[42, 72, 67, 43, 78, 45, 79, 40, 73, 74]"
23,[0.18047765],[0.18108332],[0.],"[42, 72, 67, 43, 78, 79, 45, 40, 73, 74]"
24,[0.18093439],[0.18108332],[0.17866297],"[42, 72, 67, 43, 78, 79, 45, 40, 73, 74]"
25,[0.18096765],[0.18109541],[0.17912911],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
26,[0.18098524],[0.18109541],[0.17755082],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
27,[0.18100265],[0.18109541],[0.178898],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
28,[0.18102713],[0.18109541],[0.18076111],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
29,[0.18100811],[0.18109541],[0.17955657],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
30,[0.18102558],[0.18109541],[0.17963587],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
31,[0.18102405],[0.18109541],[0.17911908],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
32,[0.18103282],[0.18109541],[0.17938314],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
33,[0.18103229],[0.18109541],[0.17896924],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
34,[0.18103056],[0.18109541],[0.17987242],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
35,[0.18105263],[0.18109541],[0.1796646],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
36,[0.1810261],[0.18109541],[0.1796646],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
37,[0.18102177],[0.18109541],[0.17939604],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
38,[0.18104092],[0.18109541],[0.17992084],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
39,[0.18104688],[0.18109541],[0.18014121],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
40,[0.18105047],[0.18109541],[0.1790559],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
41,[0.18098584],[0.18109541],[0.17891234],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
42,[0.18103004],[0.18109541],[0.17798289],"[42, 72, 43, 67, 78, 79, 45, 40, 73, 74]"
43,[0.1810575],[0.1810973],[0.18046138],"[72, 42, 43, 67, 79, 78, 45, 40, 73, 74]"
