Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.19252703],[0.21161806],[0.15531222],"[66, 67, 69, 40, 72, 74, 47, 51, 31, 63]"
2,[0.21172061],[0.22181905],[0.18829447],"[64, 66, 69, 70, 73, 50, 51, 54, 61, 80]"
3,[0.2202031],[0.22345632],[0.21055154],"[64, 67, 69, 40, 73, 45, 52, 49, 81, 31]"
4,[0.22434029],[0.22739683],[0.22029494],"[64, 66, 69, 70, 73, 45, 51, 48, 49, 80]"
5,[0.22802008],[0.23053844],[0.22405116],"[64, 70, 73, 48, 69, 45, 49, 80, 51, 67]"
6,[0.21440767],[0.23100878],[0.],"[69, 49, 48, 70, 45, 80, 64, 73, 67, 51]"
7,[0.21555064],[0.23132085],[0.],"[69, 49, 48, 70, 45, 80, 64, 73, 51, 67]"
8,[0.21785591],[0.23136369],[0.],"[69, 64, 49, 70, 73, 45, 48, 80, 51, 67]"
9,[0.21813756],[0.23137954],[0.],"[64, 49, 69, 70, 73, 45, 48, 80, 51, 67]"
10,[0.22221129],[0.23158843],[0.],"[49, 51, 70, 69, 73, 80, 64, 48, 45, 66]"
11,[0.2246556],[0.23162825],[0.],"[49, 69, 80, 70, 73, 51, 64, 48, 45, 66]"
12,[0.22580946],[0.23166691],[0.],"[49, 69, 80, 70, 73, 51, 64, 48, 45, 67]"
13,[0.22784561],[0.23166691],[0.],"[49, 69, 80, 70, 73, 51, 64, 48, 45, 67]"
14,[0.23029664],[0.23166691],[0.],"[49, 69, 80, 70, 73, 51, 64, 48, 45, 67]"
15,[0.22990282],[0.23173048],[0.],"[49, 69, 51, 70, 73, 80, 64, 48, 45, 67]"
16,[0.22950502],[0.23173892],[0.],"[49, 69, 73, 51, 48, 70, 64, 80, 45, 66]"
17,[0.23097725],[0.23177757],[0.],"[49, 69, 73, 51, 48, 70, 64, 80, 45, 67]"
18,[0.23104926],[0.23177757],[0.],"[49, 69, 73, 51, 48, 70, 64, 80, 45, 67]"
19,[0.23105188],[0.23177757],[0.],"[49, 69, 73, 51, 48, 70, 64, 80, 45, 67]"
20,[0.23067817],[0.23177757],[0.],"[49, 69, 73, 51, 48, 70, 64, 80, 45, 67]"
