Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18014145],[0.19760636],[0.1487329],"[66, 67, 40, 73, 74, 45, 46, 48, 62, 31]"
2,[0.19461785],[0.19872307],[0.18251482],"[66, 67, 70, 69, 45, 40, 72, 75, 78, 47]"
3,[0.19890525],[0.20067061],[0.19226297],"[66, 67, 40, 73, 80, 81, 50, 49, 78, 47]"
4,[0.20117203],[0.20233678],[0.19859814],"[67, 81, 70, 73, 72, 80, 47, 48, 62, 66]"
5,[0.20215072],[0.20398065],[0.19948787],"[67, 81, 70, 73, 72, 80, 46, 49, 62, 66]"
6,[0.20311123],[0.20458004],[0.19998445],"[67, 81, 66, 73, 72, 70, 46, 62, 49, 80]"
7,[0.2027164],[0.20512565],[0.],"[67, 81, 66, 73, 72, 70, 46, 49, 78, 80]"
8,[0.20442297],[0.20512565],[0.20211388],"[67, 81, 66, 73, 72, 70, 46, 49, 78, 80]"
9,[0.20385795],[0.20527151],[0.],"[67, 81, 49, 73, 72, 80, 66, 48, 78, 50]"
10,[0.20361725],[0.20530926],[0.],"[67, 81, 49, 73, 72, 80, 66, 48, 78, 46]"
11,[0.20491923],[0.20530926],[0.19897828],"[67, 81, 49, 73, 72, 80, 66, 48, 78, 46]"
12,[0.20498084],[0.20538134],[0.2014926],"[81, 67, 72, 66, 80, 49, 78, 73, 48, 46]"
13,[0.20256768],[0.20551953],[0.],"[67, 81, 72, 66, 80, 49, 78, 73, 48, 46]"
14,[0.20468361],[0.2055437],[0.],"[67, 81, 72, 66, 48, 49, 78, 73, 80, 46]"
15,[0.20434903],[0.2055437],[0.],"[67, 81, 72, 66, 48, 49, 78, 73, 80, 46]"
16,[0.20530822],[0.20561062],[0.20454321],"[67, 81, 72, 66, 48, 49, 73, 78, 80, 46]"
17,[0.20543141],[0.20578093],[0.20477873],"[67, 81, 72, 66, 49, 48, 73, 80, 78, 46]"
18,[0.20550703],[0.20578093],[0.20215118],"[67, 81, 72, 66, 49, 48, 73, 80, 78, 46]"
19,[0.20561433],[0.20581248],[0.20409731],"[67, 81, 72, 66, 49, 48, 73, 80, 50, 46]"
20,[0.20563403],[0.20581248],[0.20513418],"[67, 81, 72, 66, 49, 48, 73, 80, 50, 46]"
