Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18700199],[0.20323594],[0.16485583],"[37, 38, 71, 72, 78, 79, 47, 49, 83, 58]"
2,[0.20560377],[0.21483319],[0.1931889],"[66, 72, 38, 70, 77, 46, 48, 81, 58, 61]"
3,[0.21483014],[0.21894707],[0.20018825],"[66, 69, 38, 72, 78, 81, 58, 79, 48, 61]"
4,[0.21798143],[0.22359348],[0.21034975],"[81, 72, 58, 71, 78, 79, 48, 66, 38, 41]"
5,[0.21856865],[0.22359348],[0.],"[81, 72, 58, 71, 78, 79, 48, 66, 38, 41]"
6,[0.2203421],[0.22359348],[0.],"[81, 72, 58, 71, 78, 79, 48, 66, 38, 41]"
7,[0.22216208],[0.22417123],[0.],"[81, 72, 58, 71, 78, 79, 48, 66, 38, 69]"
8,[0.22302244],[0.22417123],[0.21954707],"[81, 72, 58, 71, 78, 79, 48, 66, 38, 69]"
9,[0.22200221],[0.22449442],[0.],"[81, 72, 78, 71, 79, 58, 66, 48, 38, 69]"
10,[0.22276999],[0.22462411],[0.],"[81, 72, 78, 71, 79, 58, 66, 48, 46, 69]"
11,[0.22399303],[0.22462411],[0.21925719],"[81, 72, 78, 71, 79, 58, 66, 48, 46, 69]"
12,[0.22414857],[0.22467311],[0.21971131],"[81, 72, 58, 79, 78, 69, 66, 48, 46, 71]"
13,[0.22364183],[0.22467311],[0.],"[81, 72, 58, 79, 78, 69, 66, 48, 46, 71]"
14,[0.22284649],[0.22467311],[0.],"[81, 72, 58, 79, 78, 69, 66, 48, 46, 71]"
15,[0.22330357],[0.22467311],[0.],"[81, 72, 58, 79, 78, 69, 66, 48, 46, 71]"
16,[0.22416329],[0.22467311],[0.21951911],"[81, 72, 58, 79, 78, 69, 66, 48, 46, 71]"
17,[0.22199089],[0.22467311],[0.],"[81, 72, 58, 79, 78, 69, 66, 48, 46, 71]"
18,[0.22203068],[0.22475794],[0.],"[81, 72, 78, 79, 66, 69, 58, 48, 38, 71]"
