Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.20148032],[0.21503385],[0.17801797],"[51, 50, 38, 44, 74, 79, 48, 67, 54, 34]"
2,[0.21656312],[0.22639296],[0.19855111],"[64, 71, 72, 67, 74, 79, 48, 50, 51, 54]"
3,[0.22451002],[0.22709496],[0.2179867],"[74, 71, 48, 67, 72, 51, 79, 54, 38, 50]"
4,[0.22627324],[0.22875914],[0.21980815],"[79, 74, 71, 67, 51, 81, 49, 80, 70, 54]"
5,[0.22741089],[0.23126149],[0.],"[71, 67, 49, 81, 80, 74, 79, 54, 70, 51]"
6,[0.22946341],[0.23219218],[0.],"[72, 81, 67, 70, 51, 49, 74, 80, 71, 54]"
7,[0.22575233],[0.2324786],[0.],"[72, 67, 81, 71, 74, 51, 49, 80, 70, 54]"
8,[0.22980081],[0.23275589],[0.],"[67, 72, 81, 71, 74, 51, 49, 80, 70, 54]"
9,[0.2322055],[0.23303792],[0.22855669],"[81, 67, 74, 72, 48, 70, 49, 80, 54, 71]"
10,[0.22877504],[0.23329254],[0.],"[67, 81, 72, 71, 74, 49, 80, 51, 70, 54]"
11,[0.23233076],[0.23363196],[0.],"[67, 81, 72, 71, 48, 74, 49, 70, 80, 54]"
12,[0.23314187],[0.23371527],[0.2298066],"[81, 67, 72, 71, 48, 74, 49, 70, 80, 54]"
13,[0.2333149],[0.23379124],[0.23176087],"[81, 67, 72, 71, 48, 49, 74, 70, 80, 54]"
14,[0.2335104],[0.23388099],[0.22985224],"[81, 67, 72, 71, 48, 49, 74, 70, 80, 51]"
15,[0.23369187],[0.23388099],[0.23292627],"[81, 67, 72, 71, 48, 49, 74, 70, 80, 51]"
16,[0.23373751],[0.23388099],[0.23306192],"[81, 67, 72, 71, 48, 49, 74, 70, 80, 51]"
17,[0.23374353],[0.23392689],[0.22951246],"[81, 67, 49, 71, 48, 72, 74, 70, 80, 51]"
18,[0.23378317],[0.23392689],[0.23118803],"[81, 67, 49, 71, 48, 72, 74, 70, 80, 51]"
19,[0.2338049],[0.23392689],[0.23170352],"[81, 67, 49, 71, 48, 72, 74, 70, 80, 51]"
20,[0.23380571],[0.23392689],[0.23067803],"[81, 67, 49, 71, 48, 72, 74, 70, 80, 51]"
21,[0.23382757],[0.23392689],[0.23273211],"[81, 67, 49, 71, 48, 72, 74, 70, 80, 51]"
