Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.14819796],[0.17918412],[0.12394964],"[2, 66, 3, 36, 69, 73, 43, 44, 77, 31]"
2,[0.16846373],[0.18711015],[0.1460425],"[2, 3, 36, 71, 75, 76, 78, 80, 61, 62]"
3,[0.18309007],[0.18797444],[0.16953193],"[2, 3, 36, 71, 75, 76, 78, 80, 61, 49]"
4,[0.1865791],[0.19003739],[0.17659336],"[2, 3, 37, 36, 66, 62, 61, 80, 78, 76]"
5,[0.18916153],[0.19284292],[0.18387699],"[3, 2, 36, 61, 73, 71, 37, 80, 78, 49]"
6,[0.19079267],[0.19360171],[0.16682623],"[3, 2, 36, 61, 75, 71, 37, 80, 78, 49]"
7,[0.19140542],[0.19455444],[0.],"[3, 2, 36, 61, 66, 73, 37, 80, 78, 49]"
8,[0.19287593],[0.19482652],[0.1825952],"[3, 2, 36, 61, 66, 73, 37, 80, 49, 78]"
9,[0.19361029],[0.19486453],[0.18540888],"[3, 2, 36, 61, 66, 37, 73, 80, 78, 49]"
10,[0.19399036],[0.1951366],[0.1891873],"[3, 2, 36, 61, 66, 37, 73, 80, 49, 78]"
11,[0.19450021],[0.19647347],[0.18180639],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
12,[0.19473216],[0.19647347],[0.17586112],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
13,[0.19490465],[0.19647347],[0.17913776],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
14,[0.1954143],[0.19647347],[0.18678042],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
15,[0.19558941],[0.19647347],[0.18604968],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
16,[0.19568784],[0.19647347],[0.18515836],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
17,[0.1956526],[0.19647347],[0.18533613],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
18,[0.19561906],[0.19647347],[0.1737512],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
19,[0.19578161],[0.19647347],[0.18429952],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
20,[0.19576211],[0.19647347],[0.18572853],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
21,[0.1955458],[0.19647347],[0.17822674],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
22,[0.19560937],[0.19647347],[0.18385946],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
23,[0.1954738],[0.19647347],[0.16730771],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
24,[0.19561344],[0.19647347],[0.18146515],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
25,[0.19583473],[0.19647347],[0.18431138],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
26,[0.19562395],[0.19647347],[0.15449364],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
27,[0.19461431],[0.19647347],[0.],"[3, 2, 36, 61, 37, 66, 73, 49, 78, 80]"
28,[0.19563439],[0.19656646],[0.16022934],"[3, 2, 49, 61, 37, 36, 66, 73, 78, 80]"
29,[0.19300733],[0.19656646],[0.],"[3, 2, 49, 61, 37, 36, 66, 73, 78, 80]"
30,[0.19457962],[0.19706634],[0.],"[3, 2, 36, 61, 37, 49, 66, 73, 78, 80]"
31,[0.19513321],[0.19706634],[0.],"[3, 2, 36, 61, 37, 49, 66, 73, 78, 80]"
32,[0.1957536],[0.19706634],[0.18112863],"[3, 2, 36, 61, 37, 49, 66, 73, 78, 80]"
33,[0.1961033],[0.19706634],[0.18581101],"[3, 2, 36, 61, 37, 49, 66, 73, 78, 80]"
34,[0.19609739],[0.19706634],[0.17446017],"[3, 2, 36, 61, 37, 49, 66, 73, 78, 80]"
35,[0.19617025],[0.19706634],[0.17417468],"[3, 2, 36, 61, 37, 49, 66, 73, 78, 80]"
36,[0.19632702],[0.19706634],[0.17710309],"[3, 2, 36, 61, 37, 49, 66, 73, 78, 80]"
37,[0.19638288],[0.19706634],[0.18661024],"[3, 2, 36, 61, 37, 49, 66, 73, 78, 80]"
38,[0.19643853],[0.19706634],[0.17840089],"[3, 2, 36, 61, 37, 49, 66, 73, 78, 80]"
39,[0.19637398],[0.19706634],[0.18073402],"[3, 2, 36, 61, 37, 49, 66, 73, 78, 80]"
40,[0.19631189],[0.19706634],[0.17770832],"[3, 2, 36, 61, 37, 49, 66, 73, 78, 80]"
41,[0.19651335],[0.19706634],[0.18486249],"[3, 2, 36, 61, 37, 49, 66, 73, 78, 80]"
42,[0.19639864],[0.19714676],[0.17225193],"[3, 2, 36, 61, 49, 37, 66, 73, 78, 80]"
43,[0.19648713],[0.19721198],[0.18192327],"[3, 2, 61, 36, 37, 49, 66, 73, 78, 80]"
44,[0.1966028],[0.19734113],[0.16585009],"[3, 2, 61, 36, 49, 37, 78, 66, 73, 80]"
45,[0.19677447],[0.19734113],[0.17863197],"[3, 2, 61, 36, 49, 37, 78, 66, 73, 80]"
46,[0.19687725],[0.19734113],[0.17040791],"[3, 2, 61, 36, 49, 37, 78, 66, 73, 80]"
47,[0.1969055],[0.19734113],[0.181103],"[3, 2, 61, 36, 49, 37, 78, 66, 73, 80]"
48,[0.19658697],[0.19741085],[0.],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
49,[0.19702184],[0.19741085],[0.18896148],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
50,[0.19700326],[0.19741085],[0.17075467],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
51,[0.19703226],[0.19741085],[0.18263403],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
52,[0.19711008],[0.19741085],[0.19001653],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
53,[0.19709606],[0.19741085],[0.19001653],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
54,[0.1971174],[0.19741085],[0.18826592],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
55,[0.19702475],[0.19741085],[0.17874167],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
56,[0.19687592],[0.19741085],[0.17468717],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
57,[0.19700378],[0.19741085],[0.18609369],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
58,[0.19706706],[0.19741085],[0.18180478],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
59,[0.19715514],[0.19741085],[0.19353812],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
60,[0.19705982],[0.19741085],[0.18174887],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
61,[0.19710892],[0.19741085],[0.18988454],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
62,[0.19706538],[0.19741085],[0.1839361],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
63,[0.19709406],[0.19741085],[0.19122747],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
64,[0.19696692],[0.19741085],[0.17741187],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
65,[0.19707066],[0.19741085],[0.18139058],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
66,[0.19710339],[0.19741085],[0.18752508],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
67,[0.197039],[0.19741085],[0.18950807],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
68,[0.19713355],[0.19741085],[0.18457307],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
69,[0.19712293],[0.19741085],[0.18455575],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
70,[0.19705481],[0.19741085],[0.18124392],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
71,[0.19712902],[0.19741085],[0.18317596],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
72,[0.19708891],[0.19741085],[0.18056679],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
73,[0.19701547],[0.19741085],[0.18069437],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
74,[0.19710511],[0.19741085],[0.19246453],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
75,[0.19707412],[0.19741085],[0.18765162],"[3, 2, 61, 36, 49, 37, 66, 78, 73, 80]"
