Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18196158],[0.21137017],[0.14300986],"[36, 73, 46, 79, 81, 50, 49, 55, 24, 57, 59]"
2,[0.20967709],[0.22486183],[0.17683163],"[46, 73, 48, 79, 81, 50, 49, 18, 54, 58]"
3,[0.22549337],[0.23966838],[0.20356563],"[46, 73, 48, 79, 45, 78, 49, 55, 24, 57]"
4,[0.23793128],[0.24868041],[0.21887081],"[46, 73, 48, 79, 78, 50, 49, 55, 54, 57]"
5,[0.24504755],[0.25121355],[0.23207533],"[79, 73, 48, 57, 78, 55, 50, 49, 54, 46]"
6,[0.24817469],[0.25289072],[0.23695218],"[79, 73, 48, 57, 78, 46, 49, 55, 54, 58]"
7,[0.25015066],[0.25447976],[0.24268939],"[79, 73, 48, 57, 78, 46, 49, 55, 80, 58]"
8,[0.25088066],[0.25447976],[0.],"[79, 73, 48, 57, 78, 46, 49, 55, 80, 58]"
9,[0.24819004],[0.2545948],[0.],"[48, 73, 57, 79, 78, 46, 49, 55, 80, 58]"
10,[0.25266602],[0.25482292],[0.24537642],"[48, 73, 79, 57, 78, 49, 46, 55, 80, 58]"
11,[0.25344407],[0.25497181],[0.24319173],"[48, 73, 79, 57, 78, 46, 49, 55, 80, 58]"
12,[0.25389608],[0.25497181],[0.246748],"[48, 73, 79, 57, 78, 46, 49, 55, 80, 58]"
13,[0.25433457],[0.25497181],[0.25138752],"[48, 73, 79, 57, 78, 46, 49, 55, 80, 58]"
14,[0.25456235],[0.25558196],[0.24814749],"[48, 73, 79, 57, 78, 55, 46, 49, 58, 80]"
15,[0.25310725],[0.25558196],[0.],"[48, 73, 79, 57, 78, 55, 46, 49, 58, 80]"
16,[0.25379229],[0.25558196],[0.],"[48, 73, 79, 57, 78, 55, 46, 49, 58, 80]"
17,[0.25496608],[0.25558196],[0.25004988],"[48, 73, 79, 57, 78, 55, 46, 49, 58, 80]"
18,[0.25499315],[0.25558196],[0.24580587],"[48, 73, 79, 57, 78, 55, 46, 49, 58, 80]"
19,[0.25516667],[0.25558196],[0.25093557],"[48, 73, 79, 57, 78, 55, 46, 49, 58, 80]"
20,[0.25517635],[0.25558196],[0.24917158],"[48, 73, 79, 57, 78, 55, 46, 49, 58, 80]"
21,[0.25530014],[0.25588217],[0.2521001],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
22,[0.25467721],[0.25588217],[0.],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
23,[0.25512476],[0.25588217],[0.24497232],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
24,[0.25519451],[0.25588217],[0.2483399],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
25,[0.25530298],[0.25588217],[0.25013392],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
26,[0.25541643],[0.25588217],[0.2492309],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
27,[0.25545784],[0.25588217],[0.25186306],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
28,[0.2555083],[0.25588217],[0.25238537],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
29,[0.25552006],[0.25588217],[0.24881766],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
30,[0.25555547],[0.25588217],[0.25169817],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
31,[0.2555859],[0.25588217],[0.25179794],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
32,[0.25556049],[0.25588217],[0.25262873],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
33,[0.25555633],[0.25588217],[0.24960013],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
34,[0.25560004],[0.25588217],[0.25234994],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
35,[0.25552936],[0.25588217],[0.24867159],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
36,[0.25551453],[0.25588217],[0.25138942],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
37,[0.25555054],[0.25588217],[0.25169218],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
38,[0.2554939],[0.25588217],[0.24983774],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
39,[0.25549441],[0.25588217],[0.24983821],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
40,[0.25554426],[0.25588217],[0.24931775],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
41,[0.25551638],[0.25588217],[0.25032833],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
42,[0.25559156],[0.25588217],[0.25032833],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
43,[0.2555495],[0.25588217],[0.25110271],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
44,[0.25557743],[0.25588217],[0.24814436],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
45,[0.25564013],[0.25588217],[0.25223852],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
46,[0.2555977],[0.25588217],[0.25225267],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
47,[0.25552322],[0.25588217],[0.24698906],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
48,[0.25541588],[0.25588217],[0.24452613],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
49,[0.2554263],[0.25588217],[0.25059297],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
50,[0.25553432],[0.25588217],[0.24850569],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
51,[0.25555738],[0.25588217],[0.24304184],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
52,[0.25558337],[0.25588217],[0.24944944],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
53,[0.25556835],[0.25588217],[0.25027833],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
54,[0.25556253],[0.25588217],[0.24957119],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
55,[0.25553905],[0.25588217],[0.24996203],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
56,[0.2555417],[0.25588217],[0.24756978],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
57,[0.25558113],[0.25588217],[0.25145242],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
58,[0.25552947],[0.25588217],[0.25007561],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
59,[0.25551372],[0.25588217],[0.24906998],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
60,[0.25559413],[0.25588217],[0.25145242],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
61,[0.25559736],[0.25588217],[0.25145242],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
62,[0.2556075],[0.25588217],[0.25192553],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
63,[0.25557387],[0.25588217],[0.24934314],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
64,[0.2556488],[0.25588217],[0.25398219],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
65,[0.25561856],[0.25588217],[0.25108487],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
66,[0.25560176],[0.25588217],[0.24807576],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
67,[0.25563419],[0.25588217],[0.25058338],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
68,[0.25561029],[0.25588217],[0.25182689],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
69,[0.25559973],[0.25588217],[0.25120257],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
70,[0.25554907],[0.25588217],[0.25106807],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
71,[0.2555678],[0.25588217],[0.25216936],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
72,[0.25560256],[0.25588217],[0.2505258],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
73,[0.25563326],[0.25588217],[0.25303615],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
74,[0.25558883],[0.25588217],[0.24710873],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
75,[0.25555239],[0.25588217],[0.25058138],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
76,[0.25559173],[0.25588217],[0.25129485],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
77,[0.25559833],[0.25588217],[0.25129485],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
78,[0.2555389],[0.25588217],[0.24753834],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
79,[0.25562422],[0.25588217],[0.24863806],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
80,[0.2556216],[0.25588217],[0.24965453],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
81,[0.25561546],[0.25588217],[0.25024101],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
82,[0.25559723],[0.25588217],[0.25128581],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
83,[0.25561704],[0.25588217],[0.25149975],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
84,[0.25561886],[0.25588217],[0.25106348],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
85,[0.25557972],[0.25588217],[0.249136],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
86,[0.25562369],[0.25588217],[0.25287661],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
87,[0.25560159],[0.25588217],[0.24836553],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
88,[0.25549296],[0.25588217],[0.24944632],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
89,[0.25553693],[0.25588217],[0.23942778],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
90,[0.25558702],[0.25588217],[0.24968679],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
91,[0.25555762],[0.25588217],[0.24968679],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
92,[0.25558906],[0.25588217],[0.24905783],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
93,[0.25557798],[0.25588217],[0.25103988],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
94,[0.25561624],[0.25588217],[0.2474594],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
95,[0.25560427],[0.25588217],[0.24855666],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
96,[0.25565017],[0.25588217],[0.2497398],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
97,[0.25553008],[0.25588217],[0.24837513],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
98,[0.25556528],[0.25588217],[0.25048427],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
99,[0.25552505],[0.25588217],[0.25022933],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
100,[0.25561319],[0.25588217],[0.25136499],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
101,[0.2556069],[0.25588217],[0.24815282],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
102,[0.25554532],[0.25588217],[0.2472399],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
103,[0.25560218],[0.25588217],[0.25136966],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
104,[0.25560565],[0.25588217],[0.25112886],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
105,[0.25564047],[0.25588217],[0.25030319],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
106,[0.25554628],[0.25588217],[0.24526578],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
107,[0.25545382],[0.25588217],[0.24971713],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
108,[0.25555924],[0.25588217],[0.24879445],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
109,[0.25562028],[0.25588217],[0.25166944],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
110,[0.25560794],[0.25588217],[0.2521812],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
111,[0.25564741],[0.25588217],[0.25049664],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
112,[0.25563901],[0.25588217],[0.25055198],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
113,[0.2556555],[0.25588217],[0.25184698],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
114,[0.25563411],[0.25588217],[0.2514022],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
115,[0.25565074],[0.25588217],[0.24700921],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
116,[0.25564253],[0.25588217],[0.24897675],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
117,[0.25562353],[0.25588217],[0.24727549],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
118,[0.25567747],[0.25588217],[0.25054652],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
119,[0.25564809],[0.25588217],[0.24713857],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
120,[0.25559027],[0.25588217],[0.24487625],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
121,[0.25565723],[0.25588217],[0.25030016],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
122,[0.25559616],[0.25588217],[0.25008581],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
123,[0.25559375],[0.25588217],[0.24665481],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
124,[0.25553914],[0.25588217],[0.24999967],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
125,[0.25557239],[0.25588217],[0.25158344],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
126,[0.25562801],[0.25588217],[0.25133115],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
127,[0.25561775],[0.25588217],[0.25072137],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
128,[0.25566605],[0.25588217],[0.25199969],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
129,[0.25565578],[0.25588217],[0.25199969],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
130,[0.255638],[0.25588217],[0.24951336],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
131,[0.25559189],[0.25588217],[0.24801503],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
132,[0.25565781],[0.25588217],[0.24939754],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
133,[0.2556419],[0.25588217],[0.24937858],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
134,[0.25559358],[0.25588217],[0.25008422],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
135,[0.25565597],[0.25588217],[0.25099926],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
136,[0.25558972],[0.25588217],[0.24851192],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
137,[0.2555938],[0.25588217],[0.25113283],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
138,[0.25554726],[0.25588217],[0.25118725],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
139,[0.25556819],[0.25588217],[0.25133785],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
140,[0.25537671],[0.25588217],[0.24864974],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
141,[0.25553472],[0.25588217],[0.247696],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
142,[0.25555992],[0.25588217],[0.25112199],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
143,[0.25552954],[0.25588217],[0.24440259],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
144,[0.25551035],[0.25588217],[0.24341474],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
145,[0.25542313],[0.25588217],[0.24621902],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
146,[0.25551546],[0.25588217],[0.24796397],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
147,[0.2555738],[0.25588217],[0.24581273],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
148,[0.25560217],[0.25588217],[0.25029692],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
149,[0.25558654],[0.25588217],[0.24693048],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
150,[0.25560996],[0.25588217],[0.25149793],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
151,[0.25546917],[0.25588217],[0.2466066],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
152,[0.25549698],[0.25588217],[0.24903642],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
153,[0.25559392],[0.25588217],[0.25072154],"[48, 73, 79, 78, 55, 46, 57, 49, 58, 80]"
