Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.14545936],[0.16967305],[0.11845273],"[67, 70, 39, 72, 73, 77, 49, 54, 58, 31]"
2,[0.16373048],[0.1719618],[0.14099579],"[67, 39, 58, 72, 49, 77, 54, 73, 70, 31]"
3,[0.16991295],[0.17449078],[0.15070891],"[71, 67, 54, 72, 39, 77, 49, 73, 70, 58]"
4,[0.17157351],[0.17633783],[0.],"[72, 67, 54, 58, 39, 77, 49, 73, 71, 70]"
5,[0.17364416],[0.17708174],[0.],"[67, 72, 54, 48, 77, 39, 49, 73, 70, 58]"
6,[0.1748281],[0.17725131],[0.],"[67, 72, 54, 48, 77, 39, 49, 73, 71, 70]"
7,[0.17609692],[0.17731203],[0.],"[67, 72, 54, 48, 77, 39, 49, 73, 71, 58]"
8,[0.17684345],[0.17731203],[0.17186382],"[67, 72, 54, 48, 77, 39, 49, 73, 71, 58]"
9,[0.17702858],[0.17805513],[0.17431748],"[54, 72, 67, 49, 77, 39, 48, 71, 73, 70]"
10,[0.17738845],[0.17833979],[0.16849225],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
11,[0.17765418],[0.17833979],[0.1655529],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
12,[0.17782536],[0.17833979],[0.17363659],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
13,[0.17790934],[0.17833979],[0.1725864],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
14,[0.17792554],[0.17833979],[0.17217391],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
15,[0.1779873],[0.17833979],[0.17151852],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
16,[0.17792053],[0.17833979],[0.17023938],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
17,[0.17804245],[0.17833979],[0.17096983],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
18,[0.17806389],[0.17833979],[0.17366471],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
19,[0.17800411],[0.17833979],[0.16663161],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
20,[0.17807302],[0.17833979],[0.17329226],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
21,[0.17807054],[0.17833979],[0.17602242],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
22,[0.17808688],[0.17833979],[0.1750387],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
23,[0.17809473],[0.17833979],[0.17605806],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
24,[0.17806121],[0.17833979],[0.172024],"[67, 72, 54, 49, 77, 39, 48, 71, 73, 58]"
25,[0.17817026],[0.17839106],[0.17199534],"[67, 72, 54, 49, 77, 39, 48, 71, 58, 73]"
26,[0.17821313],[0.17839106],[0.17319593],"[67, 72, 54, 49, 77, 39, 48, 71, 58, 73]"
27,[0.17826731],[0.17839106],[0.17614045],"[67, 72, 54, 49, 77, 39, 48, 71, 58, 73]"
28,[0.17825942],[0.17839106],[0.17367699],"[67, 72, 54, 49, 77, 39, 48, 71, 58, 73]"
29,[0.17829328],[0.17839106],[0.17606906],"[67, 72, 54, 49, 77, 39, 48, 71, 58, 73]"
30,[0.17827215],[0.17839106],[0.17363927],"[67, 72, 54, 49, 77, 39, 48, 71, 58, 73]"
