Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.16161086],[0.17525889],[0.13699184],"[65, 73, 42, 76, 45, 46, 79, 48, 49, 51]"
2,[0.17337132],[0.17918697],[0.16350827],"[73, 48, 49, 42, 45, 46, 79, 51, 76, 65]"
3,[0.17508937],[0.18126789],[0.],"[73, 48, 49, 42, 76, 74, 71, 46, 79, 51]"
4,[0.17586091],[0.18141015],[0.],"[73, 79, 49, 74, 76, 48, 71, 46, 42, 51]"
5,[0.17850474],[0.18217453],[0.],"[79, 48, 49, 42, 76, 74, 71, 73, 65, 51]"
6,[0.17916789],[0.18226517],[0.],"[73, 48, 49, 42, 79, 74, 71, 76, 51, 45]"
7,[0.18018402],[0.18236355],[0.],"[79, 48, 49, 42, 76, 74, 71, 73, 46, 51]"
8,[0.17907881],[0.18243868],[0.],"[49, 73, 42, 48, 79, 74, 71, 76, 51, 45]"
9,[0.1803784],[0.18258749],[0.],"[79, 48, 49, 42, 76, 74, 71, 73, 51, 45]"
10,[0.17863221],[0.18266009],[0.],"[49, 79, 42, 48, 76, 74, 71, 73, 51, 45]"
11,[0.17914933],[0.18269544],[0.],"[79, 42, 48, 73, 49, 74, 71, 76, 51, 45]"
12,[0.17929402],[0.18283907],[0.],"[79, 42, 48, 73, 49, 74, 76, 51, 71, 45]"
13,[0.18085313],[0.18283907],[0.],"[79, 42, 48, 73, 49, 74, 76, 51, 71, 45]"
14,[0.18133774],[0.18283907],[0.],"[79, 42, 48, 73, 49, 74, 76, 51, 71, 45]"
15,[0.18255557],[0.18288526],[0.18094857],"[79, 42, 48, 74, 49, 73, 76, 51, 71, 45]"
16,[0.18258824],[0.18288526],[0.17908228],"[79, 42, 48, 74, 49, 73, 76, 51, 71, 45]"
17,[0.18263204],[0.18290784],[0.17986462],"[79, 42, 48, 49, 73, 74, 76, 51, 71, 45]"
18,[0.18230492],[0.18290784],[0.],"[79, 42, 48, 49, 73, 74, 76, 51, 71, 45]"
19,[0.18232816],[0.18290784],[0.],"[79, 42, 48, 49, 73, 74, 76, 51, 71, 45]"
20,[0.18270079],[0.18290784],[0.17964859],"[79, 42, 48, 49, 73, 74, 76, 51, 71, 45]"
21,[0.1823436],[0.18290784],[0.],"[79, 42, 48, 49, 73, 74, 76, 51, 71, 45]"
22,[0.1827217],[0.18293094],[0.18088913],"[79, 42, 48, 49, 74, 73, 76, 51, 71, 45]"
23,[0.18275329],[0.18293094],[0.18088913],"[79, 42, 48, 49, 74, 73, 76, 51, 71, 45]"
24,[0.18279149],[0.18293094],[0.1822575],"[79, 42, 48, 49, 74, 73, 76, 51, 71, 45]"
25,[0.18276478],[0.18293094],[0.17825152],"[79, 42, 48, 49, 74, 73, 76, 51, 71, 45]"
26,[0.18278627],[0.18293094],[0.18095246],"[79, 42, 48, 49, 74, 73, 76, 51, 71, 45]"
27,[0.18281039],[0.18296131],[0.1815851],"[79, 42, 49, 74, 48, 73, 76, 51, 71, 45]"
28,[0.18279224],[0.18296131],[0.17968478],"[79, 42, 49, 74, 48, 73, 76, 51, 71, 45]"
29,[0.18277156],[0.18296131],[0.18010101],"[79, 42, 49, 74, 48, 73, 76, 51, 71, 45]"
30,[0.18281193],[0.18296131],[0.18156635],"[79, 42, 49, 74, 48, 73, 76, 51, 71, 45]"
31,[0.18284891],[0.18296131],[0.18174792],"[79, 42, 49, 74, 48, 73, 76, 51, 71, 45]"
32,[0.18283695],[0.18296131],[0.18092665],"[79, 42, 49, 74, 48, 73, 76, 51, 71, 45]"
