Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.15153977],[0.17073846],[0.13268101],"[64, 3, 68, 36, 42, 79, 16, 54, 23, 57]"
2,[0.16970524],[0.17861795],[0.15187038],"[64, 3, 68, 36, 42, 80, 79, 54, 23, 57]"
3,[0.1788942],[0.18326015],[0.17104767],"[64, 3, 68, 36, 42, 80, 79, 78, 55, 57]"
4,[0.18378454],[0.18935003],[0.17581256],"[36, 3, 79, 55, 42, 78, 57, 68, 64, 40]"
5,[0.18179621],[0.19033559],[0.],"[36, 3, 79, 42, 55, 57, 78, 68, 64, 40]"
6,[0.18450364],[0.19298608],[0.],"[57, 3, 42, 36, 49, 79, 68, 78, 55, 59]"
7,[0.18856285],[0.19298608],[0.],"[57, 3, 42, 36, 49, 79, 68, 78, 55, 59]"
8,[0.19091886],[0.19531853],[0.],"[3, 54, 42, 36, 49, 79, 68, 78, 55, 57]"
9,[0.19254284],[0.19531853],[0.17765396],"[3, 54, 42, 36, 49, 79, 68, 78, 55, 57]"
10,[0.19401875],[0.1956198],[0.18524306],"[3, 54, 42, 36, 49, 79, 78, 68, 55, 57]"
11,[0.19336302],[0.19590673],[0.],"[3, 49, 42, 36, 54, 79, 78, 68, 55, 57]"
12,[0.19452483],[0.19590673],[0.],"[3, 49, 42, 36, 54, 79, 78, 68, 55, 57]"
13,[0.19535247],[0.19660365],[0.19272583],"[3, 79, 42, 49, 78, 57, 68, 54, 36, 64]"
14,[0.19166099],[0.19660365],[0.],"[3, 79, 42, 49, 78, 57, 68, 54, 36, 64]"
15,[0.19398685],[0.19699494],[0.],"[3, 79, 42, 78, 49, 57, 36, 54, 68, 64]"
16,[0.19379855],[0.19753647],[0.],"[3, 42, 79, 78, 49, 57, 36, 54, 68, 64]"
17,[0.19527509],[0.19762048],[0.],"[3, 42, 79, 78, 49, 57, 36, 54, 55, 68]"
18,[0.19676879],[0.19767658],[0.18706984],"[3, 42, 79, 49, 78, 57, 36, 54, 55, 68]"
19,[0.19702902],[0.19767658],[0.19519384],"[3, 42, 79, 49, 78, 57, 36, 54, 55, 68]"
20,[0.19720494],[0.19767658],[0.19558817],"[3, 42, 79, 49, 78, 57, 36, 54, 55, 68]"
21,[0.19718226],[0.19767658],[0.18983974],"[3, 42, 79, 49, 78, 57, 36, 54, 55, 68]"
22,[0.19730733],[0.19767658],[0.19579945],"[3, 42, 79, 49, 78, 57, 36, 54, 55, 68]"
23,[0.19732687],[0.19767658],[0.1954038],"[3, 42, 79, 49, 78, 57, 36, 54, 55, 68]"
24,[0.19727186],[0.19773165],[0.18581902],"[3, 42, 79, 49, 78, 36, 54, 57, 68, 55]"
25,[0.19735324],[0.19776071],[0.18269775],"[3, 42, 79, 49, 78, 57, 54, 36, 68, 55]"
26,[0.19750814],[0.19776071],[0.18736921],"[3, 42, 79, 49, 78, 57, 54, 36, 68, 55]"
27,[0.19752258],[0.19776071],[0.18736921],"[3, 42, 79, 49, 78, 57, 54, 36, 68, 55]"
28,[0.19748752],[0.19776071],[0.18436568],"[3, 42, 79, 49, 78, 57, 54, 36, 68, 55]"
29,[0.19753833],[0.19776071],[0.19226655],"[3, 42, 79, 49, 78, 57, 54, 36, 68, 55]"
30,[0.19750226],[0.19776071],[0.19537311],"[3, 42, 79, 49, 78, 57, 54, 36, 68, 55]"
31,[0.19750485],[0.19776071],[0.19029926],"[3, 42, 79, 49, 78, 57, 54, 36, 68, 55]"
32,[0.19748703],[0.19776071],[0.19130654],"[3, 42, 79, 49, 78, 57, 54, 36, 68, 55]"
33,[0.1975259],[0.19776071],[0.19319298],"[3, 42, 79, 49, 78, 57, 54, 36, 68, 55]"
34,[0.19748604],[0.19776071],[0.1916033],"[3, 42, 79, 49, 78, 57, 54, 36, 68, 55]"
35,[0.19743457],[0.19776071],[0.19300885],"[3, 42, 79, 49, 78, 57, 54, 36, 68, 55]"
36,[0.19750367],[0.19776071],[0.19300885],"[3, 42, 79, 49, 78, 57, 54, 36, 68, 55]"
