Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18102298],[0.20133769],[0.14908318],"[70, 40, 72, 42, 79, 48, 51, 54, 56, 88]"
2,[0.20077605],[0.21030804],[0.17656579],"[70, 40, 71, 73, 75, 78, 79, 48, 46, 81]"
3,[0.20974543],[0.21756847],[0.19718983],"[78, 46, 70, 45, 79, 48, 52, 53, 81, 40]"
4,[0.21392226],[0.22387],[0.],"[70, 69, 71, 73, 42, 78, 79, 48, 46, 81]"
5,[0.21848511],[0.22507734],[0.],"[70, 69, 74, 42, 79, 78, 48, 55, 46, 81]"
6,[0.223637],[0.22779299],[0.21503732],"[46, 69, 55, 73, 79, 48, 78, 71, 70, 81]"
7,[0.22525887],[0.22977001],[0.],"[79, 55, 48, 78, 73, 74, 70, 69, 46, 81]"
8,[0.22173284],[0.22985528],[0.],"[73, 46, 79, 70, 48, 55, 78, 69, 74, 40]"
9,[0.21975178],[0.22996467],[0.],"[79, 55, 48, 78, 73, 74, 70, 69, 46, 40]"
10,[0.21978315],[0.22996467],[0.],"[79, 55, 48, 78, 73, 74, 70, 69, 46, 40]"
11,[0.22375312],[0.23002271],[0.],"[73, 46, 79, 48, 74, 78, 70, 55, 69, 81]"
12,[0.22594309],[0.23009764],[0.],"[73, 48, 79, 46, 74, 78, 70, 55, 69, 81]"
13,[0.22528539],[0.2305678],[0.],"[73, 48, 78, 79, 55, 46, 69, 74, 70, 81]"
14,[0.22420386],[0.23076246],[0.],"[73, 48, 78, 79, 55, 46, 69, 74, 70, 40]"
15,[0.22663099],[0.23076246],[0.],"[73, 48, 78, 79, 55, 46, 69, 74, 70, 40]"
16,[0.22306739],[0.23076246],[0.],"[73, 48, 78, 79, 55, 46, 69, 74, 70, 40]"
17,[0.22691838],[0.23078777],[0.],"[73, 78, 55, 79, 48, 46, 69, 74, 70, 40]"
18,[0.22794217],[0.23078777],[0.],"[73, 78, 55, 79, 48, 46, 69, 74, 70, 40]"
19,[0.22881554],[0.23094565],[0.],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
20,[0.22949079],[0.23094565],[0.],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
21,[0.23009675],[0.23094565],[0.],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
22,[0.23066044],[0.23094565],[0.22774762],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
23,[0.23071815],[0.23094565],[0.22812627],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
24,[0.23070286],[0.23094565],[0.22633591],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
25,[0.23071212],[0.23094565],[0.22732224],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
26,[0.23072882],[0.23094565],[0.22907843],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
27,[0.23026982],[0.23094565],[0.],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
28,[0.23077017],[0.23094565],[0.22963968],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
29,[0.23078499],[0.23094565],[0.22932304],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
30,[0.23073755],[0.23094565],[0.22295427],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
31,[0.23075872],[0.23094565],[0.22849422],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
32,[0.23079204],[0.23094565],[0.22849422],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
33,[0.23080931],[0.23094565],[0.22959261],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
34,[0.23082556],[0.23094565],[0.22998155],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
35,[0.23080154],[0.23094565],[0.2274009],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
36,[0.23082301],[0.23094565],[0.22872584],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
37,[0.2308102],[0.23094565],[0.22493757],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
38,[0.23079952],[0.23094565],[0.22476951],"[73, 78, 79, 55, 48, 46, 74, 69, 70, 40]"
