Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18597539],[0.20535459],[0.15020214],"[64, 69, 71, 39, 73, 46, 79, 16, 57, 60]"
2,[0.20390982],[0.21823416],[0.18733669],"[64, 69, 71, 39, 73, 46, 79, 74, 55, 80]"
3,[0.21740084],[0.22648189],[0.19771615],"[64, 69, 71, 48, 73, 46, 79, 74, 55, 80]"
4,[0.22169739],[0.22800779],[0.],"[73, 46, 71, 80, 64, 55, 79, 48, 69, 74]"
5,[0.21880646],[0.22820782],[0.],"[48, 55, 74, 73, 64, 46, 80, 79, 51, 45]"
6,[0.22187719],[0.22820782],[0.],"[48, 55, 74, 73, 64, 46, 80, 79, 51, 45]"
7,[0.22111099],[0.22830866],[0.],"[46, 69, 74, 73, 64, 55, 48, 79, 80, 45]"
8,[0.22480772],[0.22892712],[0.],"[73, 46, 74, 80, 64, 55, 79, 48, 69, 45]"
9,[0.22336492],[0.22908495],[0.],"[46, 55, 80, 79, 73, 48, 69, 74, 71, 64]"
10,[0.22316722],[0.22908495],[0.],"[46, 55, 80, 79, 73, 48, 69, 74, 71, 64]"
11,[0.22442742],[0.22916038],[0.],"[73, 79, 46, 80, 74, 55, 48, 64, 69, 71]"
12,[0.22405051],[0.22923262],[0.],"[46, 55, 73, 79, 80, 48, 69, 74, 71, 64]"
13,[0.22600644],[0.22923262],[0.],"[46, 55, 73, 79, 80, 48, 69, 74, 71, 64]"
14,[0.22517041],[0.22923262],[0.],"[46, 55, 73, 79, 80, 48, 69, 74, 71, 64]"
15,[0.22572041],[0.22923262],[0.],"[46, 55, 73, 79, 80, 48, 69, 74, 71, 64]"
16,[0.22619659],[0.22923262],[0.],"[46, 55, 73, 79, 80, 48, 69, 74, 71, 64]"
17,[0.22577825],[0.22923874],[0.],"[73, 55, 80, 46, 79, 64, 48, 74, 69, 71]"
18,[0.22722136],[0.22929927],[0.],"[73, 55, 80, 46, 79, 48, 69, 74, 71, 64]"
19,[0.22677841],[0.2293348],[0.],"[73, 55, 46, 80, 79, 48, 69, 74, 71, 64]"
20,[0.22632321],[0.22937267],[0.],"[73, 55, 46, 80, 79, 74, 69, 48, 71, 64]"
