Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18441515],[0.20323526],[0.16339733],"[69, 66, 37, 71, 72, 73, 74, 48, 82, 63]"
2,[0.20224068],[0.21518304],[0.18722683],"[69, 66, 71, 40, 45, 78, 46, 80, 50, 88]"
3,[0.2125935],[0.2199555],[0.20028214],"[69, 58, 73, 40, 71, 45, 77, 80, 50, 63]"
4,[0.21897353],[0.22388974],[0.21019383],"[78, 58, 73, 45, 46, 48, 71, 40, 62, 80]"
5,[0.2228134],[0.2250521],[0.21528601],"[69, 58, 73, 45, 46, 48, 71, 40, 62, 80]"
6,[0.22429022],[0.22559966],[0.22034534],"[69, 58, 48, 71, 73, 78, 46, 50, 80, 40]"
7,[0.22363953],[0.22598653],[0.],"[69, 58, 73, 45, 71, 78, 46, 48, 50, 80]"
8,[0.2250135],[0.22650568],[0.],"[69, 58, 73, 71, 46, 78, 74, 48, 80, 40]"
9,[0.22568932],[0.22654413],[0.22376931],"[69, 58, 71, 73, 46, 78, 74, 48, 80, 40]"
10,[0.22607239],[0.22668032],[0.22380556],"[58, 69, 71, 73, 46, 78, 74, 48, 80, 50]"
11,[0.2262919],[0.22670051],[0.22523272],"[58, 69, 71, 73, 46, 78, 74, 48, 80, 40]"
12,[0.22648037],[0.22679369],[0.22576762],"[58, 69, 71, 73, 46, 80, 74, 78, 48, 40]"
13,[0.22650962],[0.22679369],[0.22303876],"[58, 69, 71, 73, 46, 80, 74, 78, 48, 40]"
14,[0.22656193],[0.22679369],[0.22511272],"[58, 69, 71, 73, 46, 80, 74, 78, 48, 40]"
15,[0.22657709],[0.22679369],[0.22457831],"[58, 69, 71, 73, 46, 80, 74, 78, 48, 40]"
16,[0.22661384],[0.22679369],[0.22483253],"[58, 69, 71, 73, 46, 80, 74, 78, 48, 40]"
17,[0.22667046],[0.22683116],[0.22517011],"[58, 69, 71, 73, 46, 80, 74, 48, 78, 40]"
18,[0.22667815],[0.22683116],[0.22494888],"[58, 69, 71, 73, 46, 80, 74, 48, 78, 40]"
19,[0.2266924],[0.22683116],[0.22495298],"[58, 69, 71, 73, 46, 80, 74, 48, 78, 40]"
20,[0.22673069],[0.22683116],[0.22568115],"[58, 69, 71, 73, 46, 80, 74, 48, 78, 40]"
21,[0.22676093],[0.22683116],[0.22556222],"[58, 69, 71, 73, 46, 80, 74, 48, 78, 40]"
22,[0.22677666],[0.22683116],[0.22641118],"[58, 69, 71, 73, 46, 80, 74, 48, 78, 40]"
23,[0.22677374],[0.22683116],[0.22528278],"[58, 69, 71, 73, 46, 80, 74, 48, 78, 40]"
24,[0.22676994],[0.22683116],[0.2260502],"[58, 69, 71, 73, 46, 80, 74, 48, 78, 40]"
25,[0.22677676],[0.22683116],[0.22541396],"[58, 69, 71, 73, 46, 80, 74, 48, 78, 40]"
26,[0.22677241],[0.22686383],[0.22535923],"[58, 71, 69, 73, 46, 80, 74, 48, 78, 40]"
27,[0.22677235],[0.22686383],[0.22549318],"[58, 71, 69, 73, 46, 80, 74, 48, 78, 40]"
28,[0.22677708],[0.22686383],[0.2253789],"[58, 71, 69, 73, 46, 80, 74, 48, 78, 40]"
