NB_recommended_files,Best_solution,Recommended_files,Co_modified_files,Commits_hash,PRECISION,RECALL,FSCORE,SUCCESS_RATE,MRR
[7],"[[195, 185, 168, 171, 174, 144, 148, 22, 153, 124]]","[['puppet-prometheus/manifests/daemon.pp_(IaC)_', 'puppet-prometheus/manifests/elasticsearch_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/alertmanager.pp_(IaC)_', 'puppet-prometheus/manifests/ssl_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/nginx_prometheus_exporter.pp_(IaC)_', 'puppet-prometheus/templates/alertmanager.yaml.erb_(Other)_', 'puppet-prometheus/manifests/process_exporter.pp_(IaC)_', 'puppet-prometheus/spec/classes/prometheus_spec.rb_(Other)_', 'puppet-prometheus/manifests/dellhw_exporter.pp_(IaC)_', 'puppet-prometheus/files/statsd_mapping.conf_(Other)_']]","[['puppet-prometheus/manifests/config.pp_(IaC)_', 'puppet-prometheus/manifests/node_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/process_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/statsd_exporter.pp_(IaC)_', 'puppet-prometheus/templates/ipmi_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/sachet.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssh_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssl_exporter.yaml.epp_(Other)_']]",['f28e9244d2acd958bc45c4187b875390213a67ce'],[0.14285714285714285],[0.125],[0.13333333333333333],[1],[0.14285714285714285]
[7],"[[195, 165, 166, 167, 168, 134, 108, 109, 127, 95]]","[['puppet-prometheus/manifests/daemon.pp_(IaC)_', 'puppet-prometheus/manifests/collectd_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/mysqld_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/pushgateway.pp_(IaC)_', 'puppet-prometheus/manifests/alertmanager.pp_(IaC)_', 'puppet-prometheus/templates/prometheus.sles.erb_(Other)_', 'puppet-prometheus/spec/fixtures/files/prometheus1.systemd_(Other)_', 'puppet-prometheus/spec/fixtures/files/prometheus1.yaml_(Other)_', 'puppet-prometheus/templates/daemon.systemd.erb_(Other)_', 'puppet-prometheus/spec/acceptance/prometheus_exporter_spec.rb_(Other)_']]","[['puppet-prometheus/manifests/config.pp_(IaC)_', 'puppet-prometheus/manifests/node_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/process_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/statsd_exporter.pp_(IaC)_', 'puppet-prometheus/templates/ipmi_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/sachet.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssh_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssl_exporter.yaml.epp_(Other)_']]",['f28e9244d2acd958bc45c4187b875390213a67ce'],[0.0],[0.0],[0],[0],[0]
[7],"[[193, 163, 195, 168, 74, 183, 186, 155, 61, 94]]","[['puppet-prometheus/manifests/ssh_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/mesos_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/daemon.pp_(IaC)_', 'puppet-prometheus/manifests/alertmanager.pp_(IaC)_', 'puppet-prometheus/spec/acceptance/bind_exporter_spec.rb_(Other)_', 'puppet-prometheus/manifests/haproxy_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/nginx_vts_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/sachet.pp_(IaC)_', 'puppet-prometheus/spec/classes/unbound_exporter_spec.rb_(Other)_', 'puppet-prometheus/spec/acceptance/alertmanager_spec.rb_(Other)_']]","[['puppet-prometheus/manifests/config.pp_(IaC)_', 'puppet-prometheus/manifests/node_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/process_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/statsd_exporter.pp_(IaC)_', 'puppet-prometheus/templates/ipmi_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/sachet.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssh_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssl_exporter.yaml.epp_(Other)_']]",['f28e9244d2acd958bc45c4187b875390213a67ce'],[0.0],[0.0],[0],[0],[0]
[7],"[[192, 194, 195, 162, 12, 177, 82, 189, 89, 157]]","[['puppet-prometheus/manifests/grok_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/varnish_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/daemon.pp_(IaC)_', 'puppet-prometheus/manifests/redis_exporter.pp_(IaC)_', 'puppet-prometheus/types/install.pp_(IaC)_', 'puppet-prometheus/manifests/blackbox_exporter.pp_(IaC)_', 'puppet-prometheus/spec/acceptance/haproxy_exporter_spec.rb_(Other)_', 'puppet-prometheus/manifests/beanstalkd_exporter.pp_(IaC)_', 'puppet-prometheus/spec/acceptance/process_exporter_spec.rb_(Other)_', 'puppet-prometheus/manifests/snmp_exporter.pp_(IaC)_']]","[['puppet-prometheus/manifests/config.pp_(IaC)_', 'puppet-prometheus/manifests/node_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/process_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/statsd_exporter.pp_(IaC)_', 'puppet-prometheus/templates/ipmi_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/sachet.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssh_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssl_exporter.yaml.epp_(Other)_']]",['f28e9244d2acd958bc45c4187b875390213a67ce'],[0.0],[0.0],[0],[0],[0]
[7],"[[161, 194, 167, 107, 177, 147, 181, 151, 155, 189, 191]]","[['puppet-prometheus/manifests/postgres_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/varnish_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/pushgateway.pp_(IaC)_', 'puppet-prometheus/spec/fixtures/files/prometheus2.systemd_(Other)_', 'puppet-prometheus/manifests/blackbox_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/alerts.pp_(IaC)_', 'puppet-prometheus/manifests/statsd_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/pushprox_proxy.pp_(IaC)_', 'puppet-prometheus/manifests/sachet.pp_(IaC)_', 'puppet-prometheus/manifests/beanstalkd_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/init.pp_(IaC)_']]","[['puppet-prometheus/manifests/config.pp_(IaC)_', 'puppet-prometheus/manifests/node_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/process_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/statsd_exporter.pp_(IaC)_', 'puppet-prometheus/templates/ipmi_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/sachet.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssh_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssl_exporter.yaml.epp_(Other)_']]",['f28e9244d2acd958bc45c4187b875390213a67ce'],[0.14285714285714285],[0.125],[0.13333333333333333],[1],[0.14285714285714285]
[7],"[[195, 165, 166, 11, 174, 176, 148, 153, 157, 30]]","[['puppet-prometheus/manifests/daemon.pp_(IaC)_', 'puppet-prometheus/manifests/collectd_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/mysqld_exporter.pp_(IaC)_', 'puppet-prometheus/types/uri.pp_(IaC)_', 'puppet-prometheus/manifests/nginx_prometheus_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/consul_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/process_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/dellhw_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/snmp_exporter.pp_(IaC)_', 'puppet-prometheus/spec/classes/apache_exporter_spec.rb_(Other)_']]","[['puppet-prometheus/manifests/config.pp_(IaC)_', 'puppet-prometheus/manifests/node_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/process_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/statsd_exporter.pp_(IaC)_', 'puppet-prometheus/templates/ipmi_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/sachet.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssh_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssl_exporter.yaml.epp_(Other)_']]",['f28e9244d2acd958bc45c4187b875390213a67ce'],[0.14285714285714285],[0.125],[0.13333333333333333],[1],[0.14285714285714285]
[7],"[[194, 164, 165, 166, 167, 168, 53, 22, 154, 127]]","[['puppet-prometheus/manifests/varnish_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/rabbitmq_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/collectd_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/mysqld_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/pushgateway.pp_(IaC)_', 'puppet-prometheus/manifests/alertmanager.pp_(IaC)_', 'puppet-prometheus/spec/classes/snmp_exporter_spec.rb_(Other)_', 'puppet-prometheus/spec/classes/prometheus_spec.rb_(Other)_', 'puppet-prometheus/manifests/server.pp_(IaC)_', 'puppet-prometheus/templates/daemon.systemd.erb_(Other)_']]","[['puppet-prometheus/manifests/config.pp_(IaC)_', 'puppet-prometheus/manifests/node_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/process_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/statsd_exporter.pp_(IaC)_', 'puppet-prometheus/templates/ipmi_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/sachet.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssh_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssl_exporter.yaml.epp_(Other)_']]",['f28e9244d2acd958bc45c4187b875390213a67ce'],[0.0],[0.0],[0],[0],[0]
[7],"[[193, 195, 164, 168, 183, 151, 94, 90, 126, 159]]","[['puppet-prometheus/manifests/ssh_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/daemon.pp_(IaC)_', 'puppet-prometheus/manifests/rabbitmq_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/alertmanager.pp_(IaC)_', 'puppet-prometheus/manifests/haproxy_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/pushprox_proxy.pp_(IaC)_', 'puppet-prometheus/spec/acceptance/alertmanager_spec.rb_(Other)_', 'puppet-prometheus/spec/acceptance/snmp_exporter_spec.rb_(Other)_', 'puppet-prometheus/templates/jmx_exporter.yaml.erb_(Other)_', 'puppet-prometheus/manifests/jmx_exporter.pp_(IaC)_']]","[['puppet-prometheus/manifests/config.pp_(IaC)_', 'puppet-prometheus/manifests/node_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/process_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/statsd_exporter.pp_(IaC)_', 'puppet-prometheus/templates/ipmi_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/sachet.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssh_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssl_exporter.yaml.epp_(Other)_']]",['f28e9244d2acd958bc45c4187b875390213a67ce'],[0.0],[0.0],[0],[0],[0]
[7],"[[164, 168, 171, 145, 177, 147, 149, 183, 151, 124, 158]]","[['puppet-prometheus/manifests/rabbitmq_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/alertmanager.pp_(IaC)_', 'puppet-prometheus/manifests/ssl_exporter.pp_(IaC)_', 'puppet-prometheus/templates/prometheus.yaml.erb_(Other)_', 'puppet-prometheus/manifests/blackbox_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/alerts.pp_(IaC)_', 'puppet-prometheus/manifests/openldap_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/haproxy_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/pushprox_proxy.pp_(IaC)_', 'puppet-prometheus/files/statsd_mapping.conf_(Other)_', 'puppet-prometheus/manifests/config.pp_(IaC)_']]","[['puppet-prometheus/manifests/config.pp_(IaC)_', 'puppet-prometheus/manifests/node_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/process_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/statsd_exporter.pp_(IaC)_', 'puppet-prometheus/templates/ipmi_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/sachet.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssh_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssl_exporter.yaml.epp_(Other)_']]",['f28e9244d2acd958bc45c4187b875390213a67ce'],[0.0],[0.0],[0],[0],[0]
[7],"[[161, 195, 168, 12, 172, 174, 81, 87, 151, 187]]","[['puppet-prometheus/manifests/postgres_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/daemon.pp_(IaC)_', 'puppet-prometheus/manifests/alertmanager.pp_(IaC)_', 'puppet-prometheus/types/install.pp_(IaC)_', 'puppet-prometheus/manifests/postfix_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/nginx_prometheus_exporter.pp_(IaC)_', 'puppet-prometheus/spec/acceptance/postgres_exporter_spec.rb_(Other)_', 'puppet-prometheus/spec/acceptance/ipsec_exporter_spec.rb_(Other)_', 'puppet-prometheus/manifests/pushprox_proxy.pp_(IaC)_', 'puppet-prometheus/manifests/install.pp_(IaC)_']]","[['puppet-prometheus/manifests/config.pp_(IaC)_', 'puppet-prometheus/manifests/node_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/process_exporter.pp_(IaC)_', 'puppet-prometheus/manifests/statsd_exporter.pp_(IaC)_', 'puppet-prometheus/templates/ipmi_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/sachet.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssh_exporter.yaml.epp_(Other)_', 'puppet-prometheus/templates/ssl_exporter.yaml.epp_(Other)_']]",['f28e9244d2acd958bc45c4187b875390213a67ce'],[0.0],[0.0],[0],[0],[0]
