NB_recommended_files,Best_solution,Recommended_files,Co_modified_files,Commits_hash,PRECISION,RECALL,FSCORE,SUCCESS_RATE,MRR
[1],[[228]],[['puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_']],[['puppet-tripleo/spec/classes/tripleo_profile_base_horizon_spec.rb_(Other)_']],['bcb55d62e597b7bd7bdcae9134938c04a6fbc67c'],[0.0],[0.0],[0],[0],[0]
[1],[[227]],[['puppet-tripleo/manifests/profile/base/heat.pp_(IaC)_']],[['puppet-tripleo/spec/classes/tripleo_profile_base_horizon_spec.rb_(Other)_']],['bcb55d62e597b7bd7bdcae9134938c04a6fbc67c'],[0.0],[0.0],[0],[0],[0]
[1],[[228]],[['puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_']],[['puppet-tripleo/spec/classes/tripleo_profile_base_horizon_spec.rb_(Other)_']],['bcb55d62e597b7bd7bdcae9134938c04a6fbc67c'],[0.0],[0.0],[0],[0],[0]
[1],[[228]],[['puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_']],[['puppet-tripleo/spec/classes/tripleo_profile_base_horizon_spec.rb_(Other)_']],['bcb55d62e597b7bd7bdcae9134938c04a6fbc67c'],[0.0],[0.0],[0],[0],[0]
[1],[[228]],[['puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_']],[['puppet-tripleo/spec/classes/tripleo_profile_base_horizon_spec.rb_(Other)_']],['bcb55d62e597b7bd7bdcae9134938c04a6fbc67c'],[0.0],[0.0],[0],[0],[0]
[1],[[228]],[['puppet-tripleo/manifests/profile/base/keystone.pp_(IaC)_']],[['puppet-tripleo/spec/classes/tripleo_profile_base_horizon_spec.rb_(Other)_']],['bcb55d62e597b7bd7bdcae9134938c04a6fbc67c'],[0.0],[0.0],[0],[0],[0]
[1],[[227]],[['puppet-tripleo/manifests/profile/base/heat.pp_(IaC)_']],[['puppet-tripleo/spec/classes/tripleo_profile_base_horizon_spec.rb_(Other)_']],['bcb55d62e597b7bd7bdcae9134938c04a6fbc67c'],[0.0],[0.0],[0],[0],[0]
[1],[[235]],[['puppet-tripleo/manifests/profile/base/manila.pp_(IaC)_']],[['puppet-tripleo/spec/classes/tripleo_profile_base_horizon_spec.rb_(Other)_']],['bcb55d62e597b7bd7bdcae9134938c04a6fbc67c'],[0.0],[0.0],[0],[0],[0]
[1],[[227]],[['puppet-tripleo/manifests/profile/base/heat.pp_(IaC)_']],[['puppet-tripleo/spec/classes/tripleo_profile_base_horizon_spec.rb_(Other)_']],['bcb55d62e597b7bd7bdcae9134938c04a6fbc67c'],[0.0],[0.0],[0],[0],[0]
[1],[[227]],[['puppet-tripleo/manifests/profile/base/heat.pp_(IaC)_']],[['puppet-tripleo/spec/classes/tripleo_profile_base_horizon_spec.rb_(Other)_']],['bcb55d62e597b7bd7bdcae9134938c04a6fbc67c'],[0.0],[0.0],[0],[0],[0]
[1],[[301]],[['puppet-tripleo/manifests/profile/base/aodh/api.pp_(IaC)_']],[['puppet-tripleo/spec/classes/tripleo_profile_base_horizon_spec.rb_(Other)_']],['bcb55d62e597b7bd7bdcae9134938c04a6fbc67c'],[0.0],[0.0],[0],[0],[0]
[1],[[227]],[['puppet-tripleo/manifests/profile/base/heat.pp_(IaC)_']],[['puppet-tripleo/spec/classes/tripleo_profile_base_horizon_spec.rb_(Other)_']],['bcb55d62e597b7bd7bdcae9134938c04a6fbc67c'],[0.0],[0.0],[0],[0],[0]
