Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18027987],[0.22140814],[0.14695324],"[227, 226, 387, 324, 453, 392, 394, 112, 211, 376, 215, 472, 159]"
2,[0.22134733],[0.24881567],[0.18386818],"[316, 249, 387, 215, 587, 233, 51, 256, 88, 531, 376]"
3,[0.247153],[0.27252623],[0.2153233],"[316, 249, 387, 324, 204, 233, 51, 256, 88, 531, 376]"
4,[0.26767394],[0.28643302],[0.24250778],"[316, 249, 387, 324, 204, 233, 313, 256, 88, 531, 376]"
5,[0.2821584],[0.29364659],[0.26234715],"[316, 249, 387, 324, 204, 233, 313, 256, 88, 348, 376]"
6,[0.29143212],[0.29739808],[0.27489156],"[316, 249, 387, 324, 204, 233, 313, 256, 283, 348, 376]"
7,[0.29390509],[0.29845364],[0.27290465],"[316, 249, 387, 324, 204, 233, 313, 256, 283, 348, 215]"
8,[0.29607256],[0.30090972],[0.27357856],"[316, 249, 348, 387, 204, 233, 313, 256, 283, 324, 215]"
9,[0.29081081],[0.31062203],[0.],"[316, 249, 348, 387, 233, 228, 204, 88, 313, 324, 376]"
10,[0.29247253],[0.32188252],[0.],"[316, 249, 348, 387, 233, 228, 313, 256, 215, 324, 376]"
11,[0.31148903],[0.32529716],[0.28748858],"[249, 316, 387, 233, 348, 228, 313, 256, 215, 204, 283]"
12,[0.32033412],[0.32597969],[0.29791941],"[249, 233, 387, 316, 348, 228, 256, 215, 313, 324, 376]"
13,[0.32467616],[0.32884797],[0.28372912],"[249, 233, 387, 316, 228, 348, 313, 256, 215, 324, 376]"
14,[0.3265259],[0.32909263],[0.29554862],"[249, 233, 387, 316, 228, 348, 204, 256, 313, 324, 283]"
15,[0.32761847],[0.32909263],[0.31964239],"[249, 233, 387, 316, 228, 348, 204, 256, 313, 324, 283]"
16,[0.32803311],[0.32909263],[0.32490132],"[249, 233, 387, 316, 228, 348, 204, 256, 313, 324, 283]"
17,[0.32842934],[0.33160095],[0.30103447],"[249, 233, 228, 316, 387, 313, 204, 256, 324, 348, 283]"
18,[0.3274169],[0.33255956],[0.],"[249, 233, 228, 316, 387, 348, 204, 256, 313, 324, 283]"
19,[0.32882278],[0.33255956],[0.29054066],"[249, 233, 228, 316, 387, 348, 204, 256, 313, 324, 283]"
20,[0.32957362],[0.33255956],[0.30075492],"[249, 233, 228, 316, 387, 348, 204, 256, 313, 324, 283]"
21,[0.32908054],[0.33255956],[0.],"[249, 233, 228, 316, 387, 348, 204, 256, 313, 324, 283]"
22,[0.32925052],[0.33255956],[0.29439075],"[249, 233, 228, 316, 387, 348, 204, 256, 313, 324, 283]"
23,[0.32948567],[0.33255956],[0.],"[249, 233, 228, 316, 387, 348, 204, 256, 313, 324, 283]"
24,[0.33035572],[0.33255956],[0.29424704],"[249, 233, 228, 316, 387, 348, 204, 256, 313, 324, 283]"
25,[0.33132174],[0.33329841],[0.31392967],"[249, 233, 228, 316, 387, 348, 313, 256, 204, 324, 283]"
26,[0.33119727],[0.33329841],[0.30536566],"[249, 233, 228, 316, 387, 348, 313, 256, 204, 324, 283]"
27,[0.33152694],[0.33329841],[0.30536566],"[249, 233, 228, 316, 387, 348, 313, 256, 204, 324, 283]"
28,[0.33154402],[0.33329841],[0.31328019],"[249, 233, 228, 316, 387, 348, 313, 256, 204, 324, 283]"
29,[0.33182862],[0.33329841],[0.31591771],"[249, 233, 228, 316, 387, 348, 313, 256, 204, 324, 283]"
30,[0.33174319],[0.33329841],[0.31429621],"[249, 233, 228, 316, 387, 348, 313, 256, 204, 324, 283]"
31,[0.33179997],[0.33329841],[0.28936793],"[249, 233, 228, 316, 387, 348, 313, 256, 204, 324, 283]"
32,[0.33203424],[0.33329841],[0.31394011],"[249, 233, 228, 316, 387, 348, 313, 256, 204, 324, 283]"
33,[0.33190656],[0.33329841],[0.31491493],"[249, 233, 228, 316, 387, 348, 313, 256, 204, 324, 283]"
34,[0.33162451],[0.33329841],[0.30400224],"[249, 233, 228, 316, 387, 348, 313, 256, 204, 324, 283]"
35,[0.33160611],[0.33329841],[0.31312487],"[249, 233, 228, 316, 387, 348, 313, 256, 204, 324, 283]"
36,[0.33174588],[0.33329841],[0.31614546],"[249, 233, 228, 316, 387, 348, 313, 256, 204, 324, 283]"
37,[0.33183359],[0.33329841],[0.31136555],"[249, 233, 228, 316, 387, 348, 313, 256, 204, 324, 283]"
38,[0.33187804],[0.33329841],[0.31450575],"[249, 233, 228, 316, 387, 348, 313, 256, 204, 324, 283]"
