Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.16130506],[0.1877934],[0.14025833],"[224, 322, 292, 389, 300, 301, 13, 367, 337, 308, 503, 152]"
2,[0.18439018],[0.20206169],[0.16963968],"[224, 322, 292, 389, 300, 301, 295, 294, 234, 363, 270, 566]"
3,[0.19808639],[0.20592941],[0.18386057],"[261, 322, 292, 389, 300, 301, 295, 294, 234, 363]"
4,[0.20486154],[0.20892235],[0.19597381],"[292, 234, 261, 389, 295, 301, 300, 363, 322, 294]"
5,[0.18930545],[0.21203631],[0.],"[322, 257, 234, 292, 300, 295, 363, 294, 389, 261]"
6,[0.20099912],[0.21368214],[0.],"[322, 257, 234, 292, 300, 295, 301, 294, 389, 261]"
7,[0.21132882],[0.21438321],[0.20054731],"[322, 257, 234, 292, 295, 300, 301, 389, 261, 294]"
8,[0.21241661],[0.21479152],[0.],"[322, 257, 234, 292, 308, 295, 300, 294, 389, 261]"
9,[0.21393284],[0.21550866],[0.20952742],"[322, 257, 234, 292, 308, 295, 300, 389, 261, 294]"
10,[0.21464015],[0.21573922],[0.21210762],"[322, 257, 234, 292, 337, 300, 295, 389, 261, 294]"
11,[0.21526339],[0.21625554],[0.20905551],"[322, 257, 234, 292, 337, 300, 295, 389, 308, 294]"
12,[0.2157022],[0.21710777],[0.20953325],"[234, 257, 322, 292, 337, 300, 295, 389, 308, 294]"
13,[0.21617007],[0.21710777],[0.21366606],"[234, 257, 322, 292, 337, 300, 295, 389, 308, 294]"
14,[0.21582953],[0.21714669],[0.],"[234, 257, 322, 295, 337, 300, 292, 389, 308, 294]"
15,[0.21638463],[0.21714669],[0.21043571],"[234, 257, 322, 295, 337, 300, 292, 389, 308, 294]"
16,[0.21575826],[0.21714669],[0.],"[234, 257, 322, 295, 337, 300, 292, 389, 308, 294]"
17,[0.21627362],[0.21714669],[0.],"[234, 257, 322, 295, 337, 300, 292, 389, 308, 294]"
18,[0.21639461],[0.21714669],[0.],"[234, 257, 322, 295, 337, 300, 292, 389, 308, 294]"
19,[0.21684109],[0.21714954],[0.21063509],"[234, 257, 322, 295, 300, 337, 308, 389, 292, 294]"
20,[0.21692651],[0.21718938],[0.21097952],"[234, 257, 322, 295, 337, 300, 389, 292, 308, 294]"
21,[0.217011],[0.21718938],[0.21352394],"[234, 257, 322, 295, 337, 300, 389, 292, 308, 294]"
22,[0.21705375],[0.21718938],[0.21352394],"[234, 257, 322, 295, 337, 300, 389, 292, 308, 294]"
23,[0.21702837],[0.21726751],[0.21265309],"[234, 257, 322, 337, 300, 389, 295, 292, 308, 294]"
24,[0.21703323],[0.21728116],[0.21098929],"[234, 257, 322, 337, 389, 300, 295, 292, 308, 294]"
25,[0.21659981],[0.21729071],[0.],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
26,[0.21716109],[0.21729071],[0.21399414],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
27,[0.21717238],[0.21729071],[0.21420447],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
28,[0.21718999],[0.21729071],[0.21312763],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
29,[0.21676338],[0.21729071],[0.],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
30,[0.217204],[0.21729071],[0.21472937],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
31,[0.21721795],[0.21729071],[0.21613365],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
32,[0.21721519],[0.21729071],[0.21368337],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
33,[0.21721738],[0.21729071],[0.21520627],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
34,[0.21723344],[0.21729071],[0.21635854],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
35,[0.21723574],[0.21729071],[0.21635854],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
36,[0.21719601],[0.21729071],[0.21261785],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
37,[0.21722188],[0.21729071],[0.21589856],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
38,[0.21722595],[0.21729071],[0.21472475],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
39,[0.21720494],[0.21729071],[0.21188375],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
40,[0.21721413],[0.21729071],[0.2136169],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
41,[0.21723063],[0.21729071],[0.2153],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
42,[0.21723033],[0.21729071],[0.2156753],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
43,[0.21722164],[0.21729071],[0.21416423],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
44,[0.21719514],[0.21729071],[0.21488971],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
45,[0.21722484],[0.21729071],[0.21462641],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
46,[0.21719539],[0.21729071],[0.21327776],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
47,[0.21721927],[0.21729071],[0.21524993],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
48,[0.21722086],[0.21729071],[0.21527074],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
49,[0.21723141],[0.21729071],[0.21620246],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
50,[0.21722447],[0.21729071],[0.21364182],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
51,[0.21722395],[0.21729071],[0.21240636],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
52,[0.21722519],[0.21729071],[0.21363502],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
53,[0.21723349],[0.21729071],[0.21502477],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
54,[0.21723575],[0.21729071],[0.2156357],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
55,[0.21722531],[0.21729071],[0.21471086],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
56,[0.2172455],[0.21729071],[0.21400594],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
57,[0.21725432],[0.21729071],[0.21446173],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
58,[0.21723602],[0.21729071],[0.21449542],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
59,[0.21723239],[0.21729071],[0.21433908],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
60,[0.21721322],[0.21729071],[0.21243317],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
61,[0.21725359],[0.21729071],[0.21568608],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
62,[0.21724482],[0.21729071],[0.21428919],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
63,[0.21724393],[0.21729071],[0.21504338],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
64,[0.21723977],[0.21729071],[0.21504338],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
65,[0.21726341],[0.21729071],[0.21714773],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
66,[0.21724288],[0.21729071],[0.21340546],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
67,[0.21721512],[0.21729071],[0.21372879],"[234, 257, 322, 337, 389, 300, 295, 308, 292, 294]"
