Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.18468088],[0.218319],[0.15120706],"[258, 292, 259, 334, 336, 340, 343, 25, 412, 375]"
2,[0.21778263],[0.23431809],[0.18307326],"[353, 321, 259, 334, 336, 340, 397, 47, 350, 319]"
3,[0.23541546],[0.24494173],[0.218319],"[321, 336, 353, 319, 340, 259, 343, 334, 350, 47]"
4,[0.23946754],[0.24749773],[0.],"[321, 336, 353, 319, 340, 259, 343, 243, 350, 47]"
5,[0.24152848],[0.25178455],[0.],"[321, 319, 336, 295, 353, 259, 343, 243, 350, 47]"
6,[0.24868798],[0.25373568],[0.23366891],"[353, 321, 259, 295, 336, 243, 343, 334, 350, 319]"
7,[0.25033148],[0.25473175],[0.],"[353, 336, 343, 295, 321, 259, 243, 334, 319, 350]"
8,[0.25101087],[0.25618409],[0.],"[321, 292, 336, 353, 295, 259, 343, 243, 350, 383]"
9,[0.25416192],[0.25719831],[0.24430272],"[321, 292, 336, 353, 295, 259, 343, 243, 319, 350]"
10,[0.25544042],[0.25719831],[0.25191362],"[321, 292, 336, 353, 295, 259, 343, 243, 319, 350]"
11,[0.2564894],[0.2575086],[0.25407025],"[321, 353, 336, 295, 292, 259, 343, 243, 319, 350]"
12,[0.25715839],[0.25763809],[0.2547897],"[336, 295, 353, 292, 321, 259, 343, 243, 319, 350]"
13,[0.25544617],[0.25775649],[0.],"[353, 295, 336, 292, 321, 259, 343, 243, 319, 350]"
14,[0.25613288],[0.25775649],[0.],"[353, 295, 336, 292, 321, 259, 343, 243, 319, 350]"
15,[0.25720264],[0.25775649],[0.25009286],"[353, 295, 336, 292, 321, 259, 343, 243, 319, 350]"
16,[0.25729104],[0.25785409],[0.25307851],"[353, 295, 336, 292, 321, 343, 259, 243, 319, 350]"
17,[0.25744992],[0.25785409],[0.25617821],"[353, 295, 336, 292, 321, 343, 259, 243, 319, 350]"
18,[0.25751424],[0.25785409],[0.25492838],"[353, 295, 336, 292, 321, 343, 259, 243, 319, 350]"
19,[0.2575922],[0.25785409],[0.25678141],"[353, 295, 336, 292, 321, 343, 259, 243, 319, 350]"
20,[0.25757654],[0.25790945],[0.25462617],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
21,[0.25763686],[0.25790945],[0.25278024],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
22,[0.25764005],[0.25790945],[0.25341339],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
23,[0.25764889],[0.25790945],[0.25473091],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
24,[0.25768255],[0.25790945],[0.2556571],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
25,[0.25765146],[0.25790945],[0.25456263],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
26,[0.25767856],[0.25790945],[0.25506197],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
27,[0.25765665],[0.25790945],[0.2547419],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
28,[0.25768196],[0.25790945],[0.2547419],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
29,[0.25766818],[0.25790945],[0.25424444],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
30,[0.25768667],[0.25790945],[0.25519591],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
31,[0.25768549],[0.25790945],[0.2545845],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
32,[0.25769023],[0.25790945],[0.25477821],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
33,[0.25768628],[0.25790945],[0.25546751],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
34,[0.25770362],[0.25790945],[0.25572976],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
35,[0.25769461],[0.25790945],[0.25418092],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
36,[0.2577009],[0.25790945],[0.25384381],"[353, 336, 295, 292, 321, 343, 259, 243, 319, 350]"
37,[0.25775091],[0.25799351],[0.25573134],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
38,[0.2577868],[0.25799351],[0.25656081],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
39,[0.25780023],[0.25799351],[0.25484443],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
40,[0.25782942],[0.25799351],[0.25596649],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
41,[0.2578105],[0.25799351],[0.25172932],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
42,[0.2578514],[0.25799351],[0.2560862],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
43,[0.25786468],[0.25799351],[0.2560862],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
44,[0.25784474],[0.25799351],[0.25514221],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
45,[0.25786026],[0.25799351],[0.25547577],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
46,[0.25785183],[0.25799351],[0.25616887],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
47,[0.25783876],[0.25799351],[0.25336549],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
48,[0.25783654],[0.25799351],[0.25403765],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
49,[0.25783422],[0.25799351],[0.25344937],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
50,[0.25784204],[0.25799351],[0.25486591],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
51,[0.25784628],[0.25799351],[0.25594767],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
52,[0.25782386],[0.25799351],[0.25414348],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
53,[0.25786424],[0.25799351],[0.25484977],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
54,[0.25785837],[0.25799351],[0.25382517],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
55,[0.25785002],[0.25799351],[0.25557986],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
56,[0.25785359],[0.25799351],[0.25557986],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
57,[0.25784782],[0.25799351],[0.25476764],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
58,[0.25785969],[0.25799351],[0.25583666],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
59,[0.25786556],[0.25799351],[0.25514597],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
60,[0.25789279],[0.25799351],[0.25614831],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
61,[0.25787075],[0.25799351],[0.25302478],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
62,[0.25785962],[0.25799351],[0.25160115],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
63,[0.25789778],[0.25799351],[0.25667535],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
64,[0.25790141],[0.25799351],[0.25558689],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
65,[0.25789452],[0.25799351],[0.25624807],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
66,[0.25788463],[0.25799351],[0.2555024],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
67,[0.25786715],[0.25799351],[0.25509918],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
68,[0.25788948],[0.25799351],[0.25646373],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
69,[0.25789212],[0.25799351],[0.25665325],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
70,[0.25789218],[0.25799351],[0.25486338],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
71,[0.25787834],[0.25799351],[0.25619906],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
72,[0.25788677],[0.25799351],[0.25679394],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
73,[0.25789777],[0.25799351],[0.25591794],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
74,[0.25787545],[0.25799351],[0.2539704],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
75,[0.25787873],[0.25799351],[0.25591794],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
76,[0.25787185],[0.25799351],[0.25507375],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
77,[0.25783228],[0.25799351],[0.25263034],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
78,[0.25782813],[0.25799351],[0.25287314],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
79,[0.25786395],[0.25799351],[0.25502286],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
80,[0.25787471],[0.25799351],[0.25486595],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
81,[0.25784256],[0.25799351],[0.25453852],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
82,[0.25787424],[0.25799351],[0.25565141],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
83,[0.25786651],[0.25799351],[0.25588413],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
84,[0.2578759],[0.25799351],[0.25588413],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
85,[0.25790523],[0.25799351],[0.25647612],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
86,[0.25791465],[0.25799351],[0.25605295],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
87,[0.25791391],[0.25799351],[0.25436633],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
88,[0.2578909],[0.25799351],[0.25498317],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
89,[0.25789806],[0.25799351],[0.25546895],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
90,[0.25790297],[0.25799351],[0.25509314],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
91,[0.25788307],[0.25799351],[0.25546539],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
92,[0.25789152],[0.25799351],[0.25552507],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
93,[0.25782291],[0.25799351],[0.24908245],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
94,[0.25781181],[0.25799351],[0.25090482],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
95,[0.25786474],[0.25799351],[0.25523148],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
96,[0.25786569],[0.25799351],[0.25434768],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
97,[0.25789866],[0.25799351],[0.25640141],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
98,[0.25788615],[0.25799351],[0.25636631],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
99,[0.25788997],[0.25799351],[0.25154224],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
100,[0.25787421],[0.25799351],[0.2548689],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
101,[0.25789735],[0.25799351],[0.2550128],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
102,[0.25788987],[0.25799351],[0.25523605],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
103,[0.25790632],[0.25799351],[0.25394991],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
104,[0.25787555],[0.25799351],[0.25402165],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
105,[0.25792143],[0.25799351],[0.25621563],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
106,[0.25791773],[0.25799351],[0.25598731],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
107,[0.25792427],[0.25799351],[0.25681428],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
108,[0.25791357],[0.25799351],[0.25664378],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
109,[0.25791008],[0.25799351],[0.25480943],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
110,[0.25791606],[0.25799351],[0.25682811],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
111,[0.25792456],[0.25799351],[0.25537294],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
112,[0.25791266],[0.25799351],[0.25563799],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
113,[0.25789153],[0.25799351],[0.25451575],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
114,[0.25789406],[0.25799351],[0.25529278],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
115,[0.2579111],[0.25799351],[0.25381839],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
116,[0.2579045],[0.25799351],[0.25645393],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
117,[0.25790092],[0.25799351],[0.2550801],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
118,[0.25788812],[0.25799351],[0.25519895],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
119,[0.25791258],[0.25799351],[0.25682098],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
120,[0.25788442],[0.25799351],[0.25454939],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
121,[0.25790635],[0.25799351],[0.25497194],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
122,[0.25789732],[0.25799351],[0.25467142],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
123,[0.25785763],[0.25799351],[0.25320771],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
124,[0.2579011],[0.25799351],[0.2562961],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
125,[0.25789717],[0.25799351],[0.25576007],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
126,[0.25789106],[0.25799351],[0.2554892],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
127,[0.25788863],[0.25799351],[0.25474863],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
128,[0.25789601],[0.25799351],[0.2558284],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
129,[0.25790835],[0.25799351],[0.25577258],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
130,[0.25789404],[0.25799351],[0.25467317],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
131,[0.2578937],[0.25799351],[0.25258057],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
132,[0.25791155],[0.25799351],[0.25651186],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
133,[0.2579248],[0.25799351],[0.2569979],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
134,[0.25790333],[0.25799351],[0.25448629],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
135,[0.25793594],[0.25799351],[0.25723793],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
136,[0.25792487],[0.25799351],[0.25603457],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
137,[0.2579255],[0.25799351],[0.25643696],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
138,[0.25791975],[0.25799351],[0.25435885],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
139,[0.25790907],[0.25799351],[0.25503404],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
140,[0.25788509],[0.25799351],[0.25503404],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
141,[0.25787773],[0.25799351],[0.25541746],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
142,[0.25789964],[0.25799351],[0.25598824],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
143,[0.2579065],[0.25799351],[0.25609772],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
144,[0.25790381],[0.25799351],[0.25341655],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
145,[0.25788885],[0.25799351],[0.25330962],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
146,[0.25790886],[0.25799351],[0.25598945],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
147,[0.25790795],[0.25799351],[0.25383353],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
148,[0.25787604],[0.25799351],[0.25329137],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
149,[0.25790646],[0.25799351],[0.25513557],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
150,[0.25791061],[0.25799351],[0.25491987],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
151,[0.25790058],[0.25799351],[0.25581834],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
152,[0.25791854],[0.25799351],[0.25526369],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
153,[0.25788319],[0.25799351],[0.25437465],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
154,[0.25788078],[0.25799351],[0.25392516],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
155,[0.25787484],[0.25799351],[0.25505246],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
156,[0.2578955],[0.25799351],[0.25581254],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
157,[0.25791376],[0.25799351],[0.25607292],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
158,[0.25791405],[0.25799351],[0.25418188],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
159,[0.25789167],[0.25799351],[0.25452177],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
160,[0.25784142],[0.25799351],[0.25485257],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
161,[0.25789343],[0.25799351],[0.25622047],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
162,[0.25793371],[0.25799351],[0.2573787],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
163,[0.25789931],[0.25799351],[0.24876577],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
164,[0.25790221],[0.25799351],[0.25378631],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
165,[0.2578943],[0.25799351],[0.25341924],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
166,[0.2578882],[0.25799351],[0.25471555],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
167,[0.25792774],[0.25799351],[0.25657593],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
168,[0.25791623],[0.25799351],[0.25619803],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
169,[0.25792704],[0.25799351],[0.25574997],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
170,[0.25791335],[0.25799351],[0.25561022],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
171,[0.25792631],[0.25799351],[0.25616651],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
172,[0.25794112],[0.25799351],[0.25667839],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
173,[0.25788274],[0.25799351],[0.25492322],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
174,[0.25788803],[0.25799351],[0.25613987],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
175,[0.25791973],[0.25799351],[0.25495179],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
176,[0.25789467],[0.25799351],[0.2552814],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
177,[0.25789865],[0.25799351],[0.25555705],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
178,[0.25790541],[0.25799351],[0.25589361],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
179,[0.25792473],[0.25799351],[0.25672172],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
180,[0.25792115],[0.25799351],[0.25639676],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
181,[0.25790271],[0.25799351],[0.2554147],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
182,[0.25789271],[0.25799351],[0.25584368],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
183,[0.25786361],[0.25799351],[0.25204608],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
184,[0.2578914],[0.25799351],[0.25599365],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
185,[0.25790127],[0.25799351],[0.25599365],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
186,[0.25791341],[0.25799351],[0.25506814],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
187,[0.25790481],[0.25799351],[0.25499238],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
188,[0.25790528],[0.25799351],[0.25537728],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
189,[0.25791663],[0.25799351],[0.2529629],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
190,[0.25792596],[0.25799351],[0.25653508],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
191,[0.25789532],[0.25799351],[0.25188176],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
192,[0.25786723],[0.25799351],[0.25434429],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
193,[0.25785474],[0.25799351],[0.25491689],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
194,[0.25789448],[0.25799351],[0.25642717],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
195,[0.25786826],[0.25799351],[0.25531449],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
196,[0.25792077],[0.25799351],[0.25704557],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
197,[0.25790118],[0.25799351],[0.25359871],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
198,[0.25789531],[0.25799351],[0.25529129],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
199,[0.25791115],[0.25799351],[0.25635874],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
200,[0.25788304],[0.25799351],[0.25533605],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
201,[0.25787965],[0.25799351],[0.2555879],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
202,[0.25787098],[0.25799351],[0.2540862],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
203,[0.25789024],[0.25799351],[0.25551543],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
204,[0.25788935],[0.25799351],[0.25562339],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
205,[0.2579005],[0.25799351],[0.25597271],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
206,[0.25788964],[0.25799351],[0.25100481],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
207,[0.25791453],[0.25799351],[0.25652089],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
208,[0.25789416],[0.25799351],[0.25596514],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
209,[0.25789157],[0.25799351],[0.25522404],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
210,[0.25789807],[0.25799351],[0.25613039],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
211,[0.25788672],[0.25799351],[0.25517036],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
212,[0.25789335],[0.25799351],[0.2555848],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
213,[0.25791305],[0.25799351],[0.25653805],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
214,[0.25786143],[0.25799351],[0.25327727],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
215,[0.25790765],[0.25799351],[0.25585426],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
216,[0.25787699],[0.25799351],[0.25330199],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
217,[0.25788752],[0.25799351],[0.2542354],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
218,[0.25788017],[0.25799351],[0.25430285],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
219,[0.25792051],[0.25799351],[0.25623079],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
220,[0.25792845],[0.25799351],[0.25394599],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
221,[0.25787642],[0.25799351],[0.25465256],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
222,[0.2579099],[0.25799351],[0.25457398],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
223,[0.25791657],[0.25799351],[0.25356062],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
224,[0.25789562],[0.25799351],[0.25526028],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
225,[0.25789792],[0.25799351],[0.2543137],"[353, 336, 295, 292, 321, 343, 243, 259, 319, 350]"
