Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.19477734],[0.23266077],[0.14324275],"[224, 258, 227, 228, 516, 232, 395, 400, 434, 115]"
2,[0.23873333],[0.25867059],[0.20479953],"[384, 324, 227, 228, 233, 170, 302, 534, 341, 247, 24, 379]"
3,[0.27030163],[0.3042939],[0.2389253],"[384, 324, 227, 228, 233, 232, 395, 400, 248, 247, 24, 379]"
4,[0.29420316],[0.31104627],[0.26483675],"[384, 387, 227, 228, 233, 232, 395, 400, 248, 247, 24, 379]"
5,[0.30104887],[0.31638383],[0.],"[384, 387, 227, 228, 233, 232, 302, 400, 248, 247, 24, 379]"
6,[0.30693254],[0.32403908],[0.],"[228, 227, 387, 232, 233, 400, 248, 384, 302, 395, 24, 379]"
7,[0.30990541],[0.32975913],[0.],"[248, 387, 227, 228, 233, 384, 395, 400, 232, 302, 247, 379]"
8,[0.31189382],[0.33145024],[0.],"[248, 227, 387, 228, 233, 384, 395, 400, 232, 302, 247, 379]"
9,[0.3164406],[0.33145024],[0.],"[248, 227, 387, 228, 233, 384, 395, 400, 232, 302, 247, 379]"
10,[0.31882741],[0.33145024],[0.],"[248, 227, 387, 228, 233, 384, 395, 400, 232, 302, 247, 379]"
11,[0.31671225],[0.33145024],[0.],"[248, 227, 387, 228, 233, 384, 395, 400, 232, 302, 247, 379]"
12,[0.31293056],[0.33320334],[0.],"[248, 227, 387, 228, 233, 384, 232, 400, 395, 302, 247, 379]"
13,[0.32279545],[0.33320334],[0.],"[248, 227, 387, 228, 233, 384, 232, 400, 395, 302, 247, 379]"
14,[0.32271876],[0.33409293],[0.],"[248, 227, 387, 228, 233, 384, 232, 400, 302, 395, 247, 379]"
15,[0.32663691],[0.33409293],[0.],"[248, 227, 387, 228, 233, 384, 232, 400, 302, 395, 247, 379]"
16,[0.32509843],[0.33409293],[0.],"[248, 227, 387, 228, 233, 384, 232, 400, 302, 395, 247, 379]"
17,[0.32839026],[0.33409293],[0.],"[248, 227, 387, 228, 233, 384, 232, 400, 302, 395, 247, 379]"
18,[0.32947422],[0.33409293],[0.],"[248, 227, 387, 228, 233, 384, 232, 400, 302, 395, 247, 379]"
19,[0.32940404],[0.33445529],[0.],"[248, 227, 228, 233, 387, 384, 247, 400, 302, 395, 232, 379]"
20,[0.32715153],[0.33677776],[0.],"[248, 227, 228, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
21,[0.33065664],[0.33686491],[0.],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
22,[0.33269778],[0.33686491],[0.29687313],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
23,[0.33343331],[0.33686491],[0.31243366],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
24,[0.33410923],[0.33686491],[0.3103861],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
25,[0.33430219],[0.33686491],[0.30936922],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
26,[0.33452396],[0.33686491],[0.31123555],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
27,[0.33443957],[0.33686491],[0.31671537],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
28,[0.33442482],[0.33686491],[0.30579466],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
29,[0.3345956],[0.33686491],[0.32273078],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
30,[0.3348066],[0.33686491],[0.30872255],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
31,[0.33452009],[0.33686491],[0.30899575],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
32,[0.33416475],[0.33686491],[0.28837194],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
33,[0.33146638],[0.33686491],[0.],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
34,[0.33195699],[0.33686491],[0.],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
35,[0.33057648],[0.33686491],[0.],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
36,[0.33032231],[0.33686491],[0.],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
37,[0.33234116],[0.33686491],[0.],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
38,[0.33154203],[0.33686491],[0.],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
39,[0.33410296],[0.33686491],[0.30141906],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
40,[0.33389069],[0.33686491],[0.28836998],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
41,[0.32861888],[0.33686491],[0.],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
42,[0.32475373],[0.33686491],[0.],"[227, 228, 248, 233, 387, 384, 232, 400, 302, 395, 247, 379]"
43,[0.33180364],[0.33718713],[0.],"[248, 227, 228, 233, 387, 302, 232, 384, 400, 395, 247, 379]"
44,[0.33329418],[0.33727428],[0.],"[227, 228, 248, 233, 387, 302, 232, 384, 400, 395, 247, 379]"
45,[0.33377155],[0.33727428],[0.],"[227, 228, 248, 233, 387, 302, 232, 384, 400, 395, 247, 379]"
46,[0.33643084],[0.3373296],[0.32395454],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 395, 247, 379]"
47,[0.33675231],[0.3373296],[0.33298749],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 395, 247, 379]"
48,[0.33663608],[0.3373296],[0.31352771],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 395, 247, 379]"
49,[0.33680225],[0.3373296],[0.32415734],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 395, 247, 379]"
50,[0.33686621],[0.3373296],[0.33026245],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 395, 247, 379]"
51,[0.33671139],[0.3373296],[0.31599348],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 395, 247, 379]"
52,[0.33673248],[0.3373296],[0.29811115],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 395, 247, 379]"
53,[0.33679945],[0.3373296],[0.31483217],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 395, 247, 379]"
54,[0.3368531],[0.33762553],[0.31939596],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
55,[0.33668628],[0.33762553],[0.28066396],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
56,[0.33703999],[0.33762553],[0.32017274],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
57,[0.33697167],[0.33762553],[0.31801142],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
58,[0.33691208],[0.33762553],[0.31120459],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
59,[0.33685495],[0.33762553],[0.31801142],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
60,[0.33704815],[0.33762553],[0.31776513],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
61,[0.33699825],[0.33762553],[0.30684685],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
62,[0.33703587],[0.33762553],[0.32729205],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
63,[0.33689489],[0.33762553],[0.31517982],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
64,[0.33698374],[0.33762553],[0.31339873],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
65,[0.33690472],[0.33762553],[0.30444755],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
66,[0.33706247],[0.33762553],[0.31739975],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
67,[0.33686045],[0.33762553],[0.31787594],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
68,[0.33728547],[0.33762553],[0.32774126],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
69,[0.33684077],[0.33762553],[0.29879964],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
70,[0.33698902],[0.33762553],[0.31882378],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
71,[0.33683019],[0.33762553],[0.32076705],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
72,[0.33669159],[0.33762553],[0.31129131],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
73,[0.33694756],[0.33762553],[0.31640993],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
74,[0.33715954],[0.33762553],[0.32125048],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
75,[0.33718249],[0.33762553],[0.32343138],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
76,[0.3369953],[0.33762553],[0.30962294],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
77,[0.33654237],[0.33762553],[0.31030203],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
78,[0.33712356],[0.33762553],[0.32266853],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
79,[0.33704266],[0.33762553],[0.31899549],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
80,[0.33715675],[0.33762553],[0.31125592],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
81,[0.33705899],[0.33762553],[0.2990261],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
82,[0.33685153],[0.33762553],[0.3038802],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
83,[0.3371197],[0.33762553],[0.31340419],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
84,[0.33719483],[0.33762553],[0.30554059],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
85,[0.33724762],[0.33762553],[0.31589157],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
86,[0.33709531],[0.33762553],[0.31754078],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
87,[0.33691224],[0.33762553],[0.30164124],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
88,[0.33697305],[0.33762553],[0.31493289],"[227, 248, 228, 233, 387, 302, 232, 384, 400, 247, 395, 379]"
89,[0.33709025],[0.337654],[0.31890559],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
90,[0.33669314],[0.337654],[0.3066086],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
91,[0.33696862],[0.337654],[0.30225813],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
92,[0.33655463],[0.337654],[0.30311302],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
93,[0.33694723],[0.337654],[0.31495361],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
94,[0.33653394],[0.337654],[0.29613972],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
95,[0.33670522],[0.337654],[0.30413335],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
96,[0.33694451],[0.337654],[0.30634851],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
97,[0.33679909],[0.337654],[0.31024728],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
98,[0.33672097],[0.337654],[0.31066643],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
99,[0.33666018],[0.337654],[0.29248546],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
100,[0.33692135],[0.337654],[0.30324962],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
101,[0.33717331],[0.337654],[0.32237516],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
102,[0.33705162],[0.337654],[0.30380605],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
103,[0.3368566],[0.337654],[0.31034439],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
104,[0.33678472],[0.337654],[0.30209742],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
105,[0.33692546],[0.337654],[0.30653607],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
106,[0.33710884],[0.337654],[0.31891599],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
107,[0.33711078],[0.337654],[0.31944373],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
108,[0.33706348],[0.337654],[0.30903654],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
109,[0.33713025],[0.337654],[0.31765644],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
110,[0.33723259],[0.337654],[0.31827281],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
111,[0.33692132],[0.337654],[0.31560917],"[227, 248, 228, 233, 387, 384, 302, 232, 400, 247, 395, 379]"
