Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.17922753],[0.22267145],[0.14074645],"[225, 226, 357, 231, 9, 140, 333, 243, 438, 410, 61]"
2,[0.24147806],[0.29576351],[0.19729226],"[225, 226, 202, 235, 228, 227, 232, 453, 312, 402, 61]"
3,[0.29381367],[0.3246333],[0.24657849],"[225, 226, 227, 330, 235, 233, 334, 270, 179, 243, 61]"
4,[0.32446313],[0.34533036],[0.28142709],"[225, 226, 227, 330, 235, 233, 232, 251, 312, 243, 61]"
5,[0.34414508],[0.36007339],[0.3225896],"[225, 226, 227, 235, 228, 233, 333, 251, 209, 242, 61]"
6,[0.36079419],[0.36962687],[0.34200616],"[225, 226, 227, 235, 228, 233, 232, 251, 307, 242, 61]"
7,[0.3669999],[0.37517581],[0.34688051],"[225, 228, 227, 235, 233, 251, 232, 226, 307, 242, 61]"
8,[0.3635827],[0.37562768],[0.],"[225, 228, 227, 235, 233, 251, 232, 226, 242, 307, 61]"
9,[0.36955452],[0.37617322],[0.],"[225, 228, 227, 235, 233, 251, 232, 226, 242, 307, 209]"
10,[0.372588],[0.37885063],[0.32192923],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
11,[0.37422828],[0.37885063],[0.34405868],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
12,[0.37588657],[0.37885063],[0.36140999],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
13,[0.37647177],[0.37885063],[0.36861436],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
14,[0.37682064],[0.37885063],[0.36651151],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
15,[0.37706003],[0.37885063],[0.37091461],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
16,[0.37708645],[0.37885063],[0.35943559],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
17,[0.37709983],[0.37885063],[0.36123637],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
18,[0.3769069],[0.37885063],[0.34569876],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
19,[0.37683684],[0.37885063],[0.33933493],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
20,[0.37701047],[0.37885063],[0.35418396],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
21,[0.37703475],[0.37885063],[0.35617746],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
22,[0.37713131],[0.37885063],[0.36395662],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
23,[0.37721484],[0.37885063],[0.35746421],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
24,[0.37723825],[0.37885063],[0.36327409],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
25,[0.37715019],[0.37885063],[0.35088657],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
26,[0.37767168],[0.37885063],[0.37178205],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
27,[0.3776043],[0.37885063],[0.35673731],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
28,[0.37755221],[0.37885063],[0.35128294],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
29,[0.37741811],[0.37885063],[0.35894165],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
30,[0.37728838],[0.37885063],[0.36071308],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
31,[0.37738459],[0.37885063],[0.35672026],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
32,[0.37767991],[0.37885063],[0.36508653],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
33,[0.37769578],[0.37885063],[0.35672095],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
34,[0.37781059],[0.37885063],[0.34623806],"[251, 227, 228, 235, 233, 225, 232, 226, 242, 307, 209]"
35,[0.37793407],[0.37897502],[0.36385438],"[235, 227, 251, 228, 233, 225, 226, 307, 242, 232, 209]"
36,[0.37669537],[0.37897502],[0.],"[235, 227, 251, 228, 233, 225, 226, 307, 242, 232, 209]"
37,[0.37783],[0.37992878],[0.35483422],"[251, 227, 228, 235, 233, 225, 226, 232, 242, 307, 209]"
38,[0.37816104],[0.37999315],[0.33606623],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
39,[0.37845322],[0.37999315],[0.36281339],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
40,[0.37855527],[0.37999315],[0.3578579],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
41,[0.37866574],[0.37999315],[0.34549422],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
42,[0.37847234],[0.37999315],[0.33750884],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
43,[0.37845536],[0.37999315],[0.3446212],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
44,[0.3784595],[0.37999315],[0.34507899],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
45,[0.37844353],[0.37999315],[0.33661037],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
46,[0.3786201],[0.37999315],[0.32991352],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
47,[0.37803647],[0.37999315],[0.],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
48,[0.37894743],[0.37999315],[0.3645282],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
49,[0.37898442],[0.37999315],[0.36578202],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
50,[0.37890096],[0.37999315],[0.35028839],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
51,[0.37856056],[0.37999315],[0.32194496],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
52,[0.37884183],[0.37999315],[0.34630221],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
53,[0.37899989],[0.37999315],[0.36141306],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
54,[0.37888841],[0.37999315],[0.35087976],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
55,[0.37889926],[0.37999315],[0.32538423],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
56,[0.37861892],[0.37999315],[0.34241626],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
57,[0.37879817],[0.37999315],[0.35101421],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
58,[0.3787734],[0.37999315],[0.34102133],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
59,[0.37849614],[0.37999315],[0.35276643],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
60,[0.37865355],[0.37999315],[0.33511764],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
61,[0.37903623],[0.37999315],[0.35553112],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
62,[0.37844195],[0.37999315],[0.33536903],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
63,[0.37900262],[0.37999315],[0.34868509],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
64,[0.37905213],[0.37999315],[0.33702454],"[235, 227, 251, 228, 233, 225, 226, 232, 242, 307, 209]"
65,[0.37814501],[0.3800894],[0.],"[251, 227, 235, 228, 233, 225, 226, 232, 242, 307, 209]"
66,[0.37911237],[0.3800894],[0.34780441],"[251, 227, 235, 228, 233, 225, 226, 232, 242, 307, 209]"
