Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.21211532],[0.26612738],[0.16093914],"[228, 354, 227, 259, 325, 390, 10, 395, 396, 217, 443]"
2,[0.27615625],[0.31282602],[0.20819031],"[226, 324, 228, 294, 264, 204, 237, 239, 251, 374]"
3,[0.31469782],[0.33498209],[0.27728248],"[226, 227, 235, 294, 264, 204, 237, 239, 251, 374]"
4,[0.33663797],[0.35140434],[0.31446601],"[226, 227, 235, 294, 233, 204, 237, 239, 251, 374]"
5,[0.347137],[0.35853778],[0.32237827],"[226, 227, 235, 294, 233, 251, 237, 239, 204, 374]"
6,[0.35309146],[0.36178835],[0.33240156],"[226, 227, 235, 251, 233, 294, 237, 374, 204, 239]"
7,[0.3554398],[0.36395058],[0.],"[226, 227, 235, 251, 233, 294, 396, 239, 204, 374]"
8,[0.35887419],[0.36431833],[0.],"[227, 226, 235, 251, 233, 294, 396, 239, 204, 374]"
9,[0.35990267],[0.36431833],[0.],"[227, 226, 235, 251, 233, 294, 396, 239, 204, 374]"
10,[0.36044258],[0.36706815],[0.],"[227, 226, 235, 251, 233, 294, 325, 239, 204, 374]"
11,[0.36360053],[0.36706815],[0.34202935],"[227, 226, 235, 251, 233, 294, 325, 239, 204, 374]"
12,[0.36476778],[0.36797565],[0.33466772],"[226, 235, 227, 251, 233, 294, 325, 204, 239, 374]"
13,[0.36581397],[0.36906597],[0.32448793],"[227, 226, 235, 251, 233, 294, 325, 204, 237, 374]"
14,[0.36683749],[0.36906597],[0.35490526],"[227, 226, 235, 251, 233, 294, 325, 204, 237, 374]"
15,[0.36691435],[0.36906597],[0.33751632],"[227, 226, 235, 251, 233, 294, 325, 204, 237, 374]"
16,[0.36694561],[0.36906597],[0.33601644],"[227, 226, 235, 251, 233, 294, 325, 204, 237, 374]"
17,[0.36714702],[0.36906597],[0.3328767],"[227, 226, 235, 251, 233, 294, 325, 204, 237, 374]"
18,[0.36713436],[0.36998668],[0.33757526],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
19,[0.36760645],[0.36998668],[0.33442282],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
20,[0.36779832],[0.36998668],[0.33864782],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
21,[0.36793198],[0.36998668],[0.33542233],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
22,[0.36805118],[0.36998668],[0.34216776],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
23,[0.36840291],[0.36998668],[0.35312191],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
24,[0.36841461],[0.36998668],[0.33232285],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
25,[0.36849421],[0.36998668],[0.34755643],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
26,[0.36779398],[0.36998668],[0.],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
27,[0.36827965],[0.36998668],[0.34370817],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
28,[0.36843305],[0.36998668],[0.34888391],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
29,[0.36856384],[0.36998668],[0.3486625],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
30,[0.36855575],[0.36998668],[0.34373402],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
31,[0.3684881],[0.36998668],[0.34138125],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
32,[0.36838701],[0.36998668],[0.33110969],"[235, 227, 226, 251, 233, 294, 325, 204, 237, 374]"
33,[0.36875104],[0.37047107],[0.33445112],"[235, 227, 251, 233, 226, 294, 325, 204, 237, 374]"
34,[0.36866073],[0.37047107],[0.33046322],"[235, 227, 251, 233, 226, 294, 325, 204, 237, 374]"
35,[0.36897395],[0.37047107],[0.34042168],"[235, 227, 251, 233, 226, 294, 325, 204, 237, 374]"
36,[0.36904317],[0.37047107],[0.35222153],"[235, 227, 251, 233, 226, 294, 325, 204, 237, 374]"
37,[0.36893367],[0.37051482],[0.33233148],"[235, 251, 227, 233, 226, 294, 325, 204, 237, 374]"
38,[0.369221],[0.37051482],[0.34939088],"[235, 251, 227, 233, 226, 294, 325, 204, 237, 374]"
39,[0.36931678],[0.37051482],[0.35447269],"[235, 251, 227, 233, 226, 294, 325, 204, 237, 374]"
40,[0.36925895],[0.3705726],[0.33508658],"[235, 227, 251, 233, 226, 325, 294, 204, 237, 374]"
41,[0.36956803],[0.37061634],[0.34705443],"[235, 251, 227, 233, 226, 325, 294, 204, 237, 374]"
42,[0.36964573],[0.37061634],[0.34705443],"[235, 251, 227, 233, 226, 325, 294, 204, 237, 374]"
43,[0.36965435],[0.37061634],[0.34842947],"[235, 251, 227, 233, 226, 325, 294, 204, 237, 374]"
44,[0.3694932],[0.37061634],[0.35377797],"[235, 251, 227, 233, 226, 325, 294, 204, 237, 374]"
45,[0.3688842],[0.37061634],[0.],"[235, 251, 227, 233, 226, 325, 294, 204, 237, 374]"
46,[0.36965914],[0.37061634],[0.33810705],"[235, 251, 227, 233, 226, 325, 294, 204, 237, 374]"
47,[0.36980468],[0.37061634],[0.35866776],"[235, 251, 227, 233, 226, 325, 294, 204, 237, 374]"
48,[0.36960915],[0.37061634],[0.34751924],"[235, 251, 227, 233, 226, 325, 294, 204, 237, 374]"
49,[0.36967821],[0.37061634],[0.35389112],"[235, 251, 227, 233, 226, 325, 294, 204, 237, 374]"
50,[0.3697595],[0.37061634],[0.3497386],"[235, 251, 227, 233, 226, 325, 294, 204, 237, 374]"
51,[0.36967558],[0.37061634],[0.34971079],"[235, 251, 227, 233, 226, 325, 294, 204, 237, 374]"
52,[0.36979875],[0.37061634],[0.35587391],"[235, 251, 227, 233, 226, 325, 294, 204, 237, 374]"
53,[0.36977381],[0.37061634],[0.35227193],"[235, 251, 227, 233, 226, 325, 294, 204, 237, 374]"
54,[0.36985916],[0.37061634],[0.34673335],"[235, 251, 227, 233, 226, 325, 294, 204, 237, 374]"
