Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.17053066],[0.19832139],[0.13845101],"[249, 233, 237, 334, 399, 401, 402, 115, 473, 410, 382]"
2,[0.20375453],[0.22165425],[0.18652828],"[249, 233, 237, 334, 232, 331, 21, 375, 219, 413, 382]"
3,[0.22595714],[0.24410312],[0.20834264],"[225, 228, 293, 357, 232, 331, 21, 310, 219, 88]"
4,[0.24173534],[0.25186577],[0.22642866],"[225, 228, 293, 357, 232, 401, 337, 310, 219, 88]"
5,[0.24846575],[0.25226856],[0.23904399],"[225, 233, 293, 334, 232, 401, 337, 310, 219, 88]"
6,[0.25017878],[0.25226856],[0.24410312],"[225, 233, 293, 334, 232, 401, 337, 310, 219, 88]"
7,[0.25069151],[0.25226856],[0.23733969],"[225, 233, 293, 334, 232, 401, 337, 310, 219, 88]"
8,[0.25125821],[0.25341932],[0.24675994],"[225, 233, 293, 334, 232, 310, 337, 357, 219, 88]"
9,[0.25147099],[0.25341932],[0.2434387],"[225, 233, 293, 334, 232, 310, 337, 357, 219, 88]"
10,[0.25180548],[0.25341932],[0.2344232],"[225, 233, 293, 334, 232, 310, 337, 357, 219, 88]"
11,[0.25190151],[0.25596647],[0.21843898],"[225, 228, 293, 334, 232, 233, 337, 357, 219, 88]"
12,[0.25395989],[0.25954246],[0.23344765],"[233, 293, 228, 232, 357, 334, 337, 225, 219, 88]"
13,[0.25457695],[0.26051103],[0.],"[233, 228, 293, 310, 232, 334, 337, 225, 219, 88]"
14,[0.25763079],[0.26327732],[0.22804748],"[233, 228, 293, 310, 232, 334, 357, 225, 219, 88]"
15,[0.26008778],[0.26422661],[0.24675994],"[233, 293, 228, 310, 232, 334, 357, 225, 219, 88]"
16,[0.26155766],[0.26441315],[0.22444751],"[233, 293, 228, 232, 310, 334, 357, 225, 219, 88]"
17,[0.26186587],[0.26441315],[0.24365049],"[233, 293, 228, 232, 310, 334, 357, 225, 219, 88]"
18,[0.26224241],[0.26441315],[0.25077008],"[233, 293, 228, 232, 310, 334, 357, 225, 219, 88]"
19,[0.26217293],[0.26441315],[0.23395387],"[233, 293, 228, 232, 310, 334, 357, 225, 219, 88]"
20,[0.2628703],[0.26441315],[0.25880351],"[233, 293, 228, 232, 310, 334, 357, 225, 219, 88]"
21,[0.26291994],[0.26441315],[0.25410298],"[233, 293, 228, 232, 310, 334, 357, 225, 219, 88]"
22,[0.26280775],[0.26441315],[0.23910552],"[233, 293, 228, 232, 310, 334, 357, 225, 219, 88]"
23,[0.26273445],[0.26441315],[0.24785241],"[233, 293, 228, 232, 310, 334, 357, 225, 219, 88]"
24,[0.26245793],[0.26441315],[0.24144573],"[233, 293, 228, 232, 310, 334, 357, 225, 219, 88]"
25,[0.26263681],[0.26441315],[0.22661348],"[233, 293, 228, 232, 310, 334, 357, 225, 219, 88]"
26,[0.26292686],[0.26441315],[0.22661348],"[233, 293, 228, 232, 310, 334, 357, 225, 219, 88]"
27,[0.26299003],[0.26441315],[0.24223741],"[233, 293, 228, 232, 310, 334, 357, 225, 219, 88]"
28,[0.26322359],[0.26441315],[0.24161983],"[233, 293, 228, 232, 310, 334, 357, 225, 219, 88]"
29,[0.26363329],[0.26471139],[0.25382574],"[233, 293, 228, 232, 225, 357, 310, 334, 219, 88]"
30,[0.26360453],[0.26471139],[0.2354232],"[233, 293, 228, 232, 225, 357, 310, 334, 219, 88]"
31,[0.26306686],[0.26501444],[0.],"[293, 228, 232, 225, 233, 310, 357, 334, 219, 88]"
32,[0.26218221],[0.26595395],[0.],"[293, 228, 233, 232, 225, 310, 357, 334, 219, 88]"
33,[0.26296521],[0.26595395],[0.],"[293, 228, 233, 232, 225, 310, 357, 334, 219, 88]"
34,[0.26469784],[0.26597455],[0.24115835],"[293, 228, 233, 232, 225, 310, 334, 357, 219, 88]"
35,[0.26500297],[0.26597455],[0.25316999],"[293, 228, 233, 232, 225, 310, 334, 357, 219, 88]"
36,[0.26512811],[0.26597455],[0.25826137],"[293, 228, 233, 232, 225, 310, 334, 357, 219, 88]"
37,[0.26517957],[0.26597455],[0.25178324],"[293, 228, 233, 232, 225, 310, 334, 357, 219, 88]"
38,[0.26518424],[0.26597455],[0.25178355],"[293, 228, 233, 232, 225, 310, 334, 357, 219, 88]"
39,[0.26509622],[0.26597455],[0.24980103],"[293, 228, 233, 232, 225, 310, 334, 357, 219, 88]"
40,[0.26511157],[0.26597455],[0.2496677],"[293, 228, 233, 232, 225, 310, 334, 357, 219, 88]"
41,[0.26524656],[0.26597455],[0.25403927],"[293, 228, 233, 232, 225, 310, 334, 357, 219, 88]"
42,[0.26528411],[0.26597455],[0.25425905],"[293, 228, 233, 232, 225, 310, 334, 357, 219, 88]"
43,[0.265314],[0.26597455],[0.24344551],"[293, 228, 233, 232, 225, 310, 334, 357, 219, 88]"
44,[0.26531122],[0.26597455],[0.24877407],"[293, 228, 233, 232, 225, 310, 334, 357, 219, 88]"
45,[0.26520475],[0.26597455],[0.24059195],"[293, 228, 233, 232, 225, 310, 334, 357, 219, 88]"
46,[0.26477294],[0.26597455],[0.24643512],"[293, 228, 233, 232, 225, 310, 334, 357, 219, 88]"
47,[0.26500564],[0.26597455],[0.24522554],"[293, 228, 233, 232, 225, 310, 334, 357, 219, 88]"
